"Status","Year","Age","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","East of England","15","15","22600","22400"
"In post","2023","16-19","Home Office","Operational Delivery","London","25","20","27290","26400"
"In post","2023","16-19","Home Office","Operational Delivery","North East (England)","10","5","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","North West (England)","25","20","22680","22400"
"In post","2023","16-19","Home Office","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","South East (England)","40","40","23260","22400"
"In post","2023","16-19","Home Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","16-19","Home Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","South West (England)","15","15","19540","19460"
"In post","2023","16-19","Ministry of Defence","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","Scotland","10","10","19630","18780"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","South East (England)","15","15","19630","18780"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","South West (England)","15","15","20560","19460"
"In post","2023","16-19","Ministry of Defence","Other","Unknown","30","30","19370","17400"
"In post","2023","16-19","Ministry of Defence","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","South West (England)","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","South West (England)","90","90","19700","18780"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","Wales","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Statistics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","East Midlands (England)","50","50","25870","25930"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","East of England","40","40","26110","25070"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","London","15","15","28050","26630"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","North East (England)","20","20","25770","28880"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","North West (England)","40","40","25240","23640"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","South East (England)","50","50","25610","23230"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","South West (England)","25","25","25850","23650"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","Wales","15","15","23870","23230"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","West Midlands (England)","40","40","24470","23230"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","Yorkshire and The Humber","45","45","25420","23430"
"In post","2023","16-19","Ministry of Justice","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Psychology","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Operational Delivery","Scotland","20","20","23880","23700"
"In post","2023","16-19","Scottish Government","Other","Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Government","Unknown","Scotland","50","50","23060","22460"
"In post","2023","16-19","The National Archives","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
