"Status","Year","Disability","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Other","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Policy","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Operational Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","Other","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","40","35","49080","43840"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","Economics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Other","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Social Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","Statistics","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Other","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Social Research","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Infrastructure Commission","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Teaching Regulation Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","The Insolvency Service","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","The Insolvency Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","The Insolvency Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Debt Management Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Space Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Operational Delivery","45","40","32810","31660"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Social Research","80","75","38420","39190"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Statistics","70","65","43080","39300"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Animal and Plant Health Agency","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Building Digital UK","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Commercial","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Policy","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Civil Service Fast Stream","Commercial","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Commercial Service","Commercial","30","30","39220","39860"
"In post","2023","Declared disabled","Commercial","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Prosecution Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Equipment and Support","Commercial","95","90","41190","42620"
"In post","2023","Declared disabled","Commercial","Defence Science and Technology Laboratory","Commercial","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Commercial","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
