"Status","Year","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","20","20","35900","34950"
"In post","2023","Animal and Plant Health Agency","Manchester","20","20","33070","29740"
"In post","2023","Animal and Plant Health Agency","Mid Kent","25","25","30550","29150"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","90","85","30680","25920"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","140","135","31890","26990"
"In post","2023","Animal and Plant Health Agency","North and West Norfolk","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Norwich and East Norfolk","15","15","33230","30320"
"In post","2023","Animal and Plant Health Agency","Nottingham","10","10","31060","26380"
"In post","2023","Animal and Plant Health Agency","Oxfordshire CC","10","10","40190","37980"
"In post","2023","Animal and Plant Health Agency","Perth and Kinross, and Stirling","45","45","30810","26320"
"In post","2023","Animal and Plant Health Agency","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Powys","20","15","35260","34150"
"In post","2023","Animal and Plant Health Agency","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scottish Borders","15","15","33620","30320"
"In post","2023","Animal and Plant Health Agency","Shropshire","45","40","35170","31110"
"In post","2023","Animal and Plant Health Agency","Somerset CC","30","30","37050","37300"
"In post","2023","Animal and Plant Health Agency","South Ayrshire","15","15","30730","25920"
"In post","2023","Animal and Plant Health Agency","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Lanarkshire","15","15","34280","33810"
"In post","2023","Animal and Plant Health Agency","South Nottinghamshire","20","20","30190","30320"
"In post","2023","Animal and Plant Health Agency","South West Wales","155","145","28980","25920"
"In post","2023","Animal and Plant Health Agency","South and West Derbyshire","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Staffordshire CC","95","90","27530","22150"
"In post","2023","Animal and Plant Health Agency","Suffolk CC","45","45","33480","31840"
"In post","2023","Animal and Plant Health Agency","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Tyneside","55","50","33200","29180"
"In post","2023","Animal and Plant Health Agency","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Essex","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Surrey","655","630","34130","29240"
"In post","2023","Animal and Plant Health Agency","West Sussex (North East)","25","25","34070","30990"
"In post","2023","Animal and Plant Health Agency","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Westminster","20","20","44260","47300"
"In post","2023","Animal and Plant Health Agency","Wiltshire","10","10","31150","26850"
"In post","2023","Animal and Plant Health Agency","Worcestershire CC","170","155","30710","27500"
"In post","2023","Animal and Plant Health Agency","York","130","130","27000","24920"
"In post","2023","Attorney General's Office","Westminster","50","50","50950","43000"
"In post","2023","Building Digital UK","Belfast","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","Building Digital UK","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Darlington","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Manchester","60","60","42750","39930"
"In post","2023","Building Digital UK","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Westminster","140","140","48800","53010"
"In post","2023","Cabinet Office (excl. agencies)","Ards and North Down","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Belfast","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Berkshire","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Birmingham","60","60","62460","53420"
"In post","2023","Cabinet Office (excl. agencies)","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bristol, City of","130","125","48520","51290"
"In post","2023","Cabinet Office (excl. agencies)","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","45","45","46640","51290"
"In post","2023","Cabinet Office (excl. agencies)","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","City of Edinburgh","10","10","41920","38460"
"In post","2023","Cabinet Office (excl. agencies)","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Dorset","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Glasgow City","375","365","37590","33020"
"In post","2023","Cabinet Office (excl. agencies)","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Greater Manchester South East","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Greater Manchester South West","85","85","43080","38460"
"In post","2023","Cabinet Office (excl. agencies)","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Leeds","65","60","44220","41050"
"In post","2023","Cabinet Office (excl. agencies)","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Liverpool","30","30","33080","33020"
"In post","2023","Cabinet Office (excl. agencies)","Manchester","155","155","47200","50690"
"In post","2023","Cabinet Office (excl. agencies)","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Milton Keynes","70","65","35000","34320"
"In post","2023","Cabinet Office (excl. agencies)","North Hampshire","25","25","42870","37110"
"In post","2023","Cabinet Office (excl. agencies)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","North Yorkshire CC","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Norwich and East Norfolk","45","45","50140","51290"
"In post","2023","Cabinet Office (excl. agencies)","Nottingham","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Portsmouth","10","10","34880","34320"
"In post","2023","Cabinet Office (excl. agencies)","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Sheffield","45","40","43740","39580"
"In post","2023","Cabinet Office (excl. agencies)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Tower Hamlets","1185","1155","56250","56430"
"In post","2023","Cabinet Office (excl. agencies)","Tyneside","335","310","29490","24860"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","165","160","42460","36460"
"In post","2023","Cabinet Office (excl. agencies)","West Cumbria","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Westminster","2375","2335","52630","55790"
"In post","2023","Cabinet Office (excl. agencies)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","York","575","550","34310","33020"
"In post","2023","Central Civil Service Fast Stream","Bath and North East Somerset, North Somerset and South Gloucestershire","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Berkshire","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Birmingham","45","45","30770","30130"
"In post","2023","Central Civil Service Fast Stream","Blackpool","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Bristol, City of","25","25","30240","30130"
"In post","2023","Central Civil Service Fast Stream","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cardiff and Vale of Glamorgan","35","35","30760","30130"
"In post","2023","Central Civil Service Fast Stream","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Central Hampshire","10","10","30750","30130"
"In post","2023","Central Civil Service Fast Stream","City of Edinburgh","20","20","30310","30130"
"In post","2023","Central Civil Service Fast Stream","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Glasgow City","30","30","31190","30130"
"In post","2023","Central Civil Service Fast Stream","Greater Manchester South West","45","45","30670","30130"
"In post","2023","Central Civil Service Fast Stream","Hackney and Newham","30","30","30990","30130"
"In post","2023","Central Civil Service Fast Stream","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Leeds","50","50","30800","30130"
"In post","2023","Central Civil Service Fast Stream","Liverpool","15","15","30870","30130"
"In post","2023","Central Civil Service Fast Stream","Manchester","40","40","30190","30130"
"In post","2023","Central Civil Service Fast Stream","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Nottingham","20","20","31100","30130"
"In post","2023","Central Civil Service Fast Stream","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Sheffield","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","South Hampshire","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Tower Hamlets","60","60","30620","30130"
"In post","2023","Central Civil Service Fast Stream","Tyneside","40","40","30530","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Westminster","1095","1090","30760","30130"
"In post","2023","Central Civil Service Fast Stream","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","York","25","25","29880","28840"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Dorset","160","150","35380","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Suffolk CC","475","450","36290","31270"
"In post","2023","Charity Commission","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2023","Charity Commission","Sefton","380","360","33830","30170"
"In post","2023","Charity Commission","Somerset CC","35","30","34850","32360"
"In post","2023","Charity Commission","Westminster","80","80","45710","41370"
"In post","2023","Companies House","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Belfast","25","25","26290","25610"
"In post","2023","Companies House","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Cardiff and Vale of Glamorgan","1100","1020","32600","28070"
"In post","2023","Companies House","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","City of Edinburgh","45","45","25940","25610"
"In post","2023","Companies House","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","York","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Belfast","15","15","59620","59300"
"In post","2023","Competition and Markets Authority","Cardiff and Vale of Glamorgan","10","10","56500","57910"
"In post","2023","Competition and Markets Authority","City of Edinburgh","70","65","59150","55950"
"In post","2023","Competition and Markets Authority","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Manchester","15","15","48150","42920"
"In post","2023","Competition and Markets Authority","Tower Hamlets","795","770","62880","58330"
"In post","2023","Criminal Injuries Compensation Authority","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Glasgow City","335","310","28020","25830"
"In post","2023","Criminal Injuries Compensation Authority","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Birmingham","30","30","33640","32110"
"In post","2023","Crown Commercial Service","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Liverpool","375","365","39760","40450"
"In post","2023","Crown Commercial Service","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Monmouthshire and Newport","110","110","37800","32350"
"In post","2023","Crown Commercial Service","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Norwich and East Norfolk","140","135","39660","39860"
"In post","2023","Crown Commercial Service","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Solihull","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Tower Hamlets","60","60","56910","57000"
"In post","2023","Crown Commercial Service","Wakefield","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","West Surrey","[c]","[c]","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","Aberdeen City and Aberdeenshire","130","120","36590","31540"
"In post","2023","Crown Office and Procurator Fiscal Service","Angus and Dundee City","115","105","39230","33120"
