"Status","Year","Function_of_post","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Intelligence Analysis","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Female","Heterosexual / straight","280","260","34380","32280"
"In post","2023","Analysis","Operational Delivery","Female","LGBO","25","20","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Female","Unknown","85","75","32600","31060"
"In post","2023","Analysis","Operational Delivery","Male","Heterosexual / straight","210","205","36650","34370"
"In post","2023","Analysis","Operational Delivery","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Male","Unknown","110","105","34040","31620"
"In post","2023","Analysis","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","Female","Heterosexual / straight","240","225","45420","43160"
"In post","2023","Analysis","Operational Research","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Operational Research","Female","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","Female","Unknown","45","45","40970","39040"
"In post","2023","Analysis","Operational Research","Male","Heterosexual / straight","310","300","48000","49260"
"In post","2023","Analysis","Operational Research","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Operational Research","Male","Undeclared","40","40","47180","46600"
"In post","2023","Analysis","Operational Research","Male","Unknown","90","85","43660","43540"
"In post","2023","Analysis","Operational Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","Female","Heterosexual / straight","200","185","50030","43140"
"In post","2023","Analysis","Other","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Other","Female","Undeclared","25","20","[c]","[c]"
"In post","2023","Analysis","Other","Female","Unknown","40","35","39420","35770"
"In post","2023","Analysis","Other","Male","Heterosexual / straight","205","200","57340","48070"
"In post","2023","Analysis","Other","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Other","Male","Undeclared","40","35","55960","45330"
"In post","2023","Analysis","Other","Male","Unknown","55","50","43200","37680"
"In post","2023","Analysis","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","Female","Heterosexual / straight","90","85","49820","43760"
"In post","2023","Analysis","Policy","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Policy","Male","Heterosexual / straight","95","95","49400","47010"
"In post","2023","Analysis","Policy","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Policy","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Female","Heterosexual / straight","230","215","41070","39890"
"In post","2023","Analysis","Science and Engineering","Female","LGBO","35","35","35810","32540"
"In post","2023","Analysis","Science and Engineering","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Female","Unknown","170","165","35770","30650"
"In post","2023","Analysis","Science and Engineering","Male","Heterosexual / straight","525","510","44810","44420"
"In post","2023","Analysis","Science and Engineering","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Male","Unknown","310","305","43000","39890"
"In post","2023","Analysis","Science and Engineering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","Female","Heterosexual / straight","740","695","44980","42000"
"In post","2023","Analysis","Social Research","Female","LGBO","95","90","42590","39300"
"In post","2023","Analysis","Social Research","Female","Undeclared","65","65","43040","39450"
"In post","2023","Analysis","Social Research","Female","Unknown","130","125","42840","39630"
"In post","2023","Analysis","Social Research","Male","Heterosexual / straight","275","270","46980","42370"
"In post","2023","Analysis","Social Research","Male","LGBO","45","45","41350","37150"
"In post","2023","Analysis","Social Research","Male","Undeclared","25","20","[c]","[c]"
"In post","2023","Analysis","Social Research","Male","Unknown","60","60","44630","39450"
"In post","2023","Analysis","Social Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Female","Heterosexual / straight","865","805","47120","43510"
"In post","2023","Analysis","Statistics","Female","LGBO","120","120","43170","39370"
"In post","2023","Analysis","Statistics","Female","Undeclared","75","70","43360","38910"
"In post","2023","Analysis","Statistics","Female","Unknown","200","195","38830","37720"
"In post","2023","Analysis","Statistics","Male","Heterosexual / straight","1020","1000","45340","41760"
"In post","2023","Analysis","Statistics","Male","LGBO","100","100","43670","39640"
"In post","2023","Analysis","Statistics","Male","Undeclared","105","105","45600","43250"
"In post","2023","Analysis","Statistics","Male","Unknown","235","230","42480","39300"
"In post","2023","Analysis","Statistics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Tax","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","Heterosexual / straight","35","35","44430","39430"
"In post","2023","Analysis","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","Male","Heterosexual / straight","65","65","50610","43750"
"In post","2023","Analysis","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","Male","Unknown","35","35","47100","45610"
"In post","2023","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Female","Heterosexual / straight","2400","2295","45760","40850"
"In post","2023","Commercial","Commercial","Female","LGBO","105","100","44530","38120"
"In post","2023","Commercial","Commercial","Female","Undeclared","245","235","43740","42570"
"In post","2023","Commercial","Commercial","Female","Unknown","565","545","45060","39850"
"In post","2023","Commercial","Commercial","Male","Heterosexual / straight","2005","1980","51620","43400"
"In post","2023","Commercial","Commercial","Male","LGBO","125","125","46140","41500"
"In post","2023","Commercial","Commercial","Male","Undeclared","225","220","48000","42620"
"In post","2023","Commercial","Commercial","Male","Unknown","590","585","50700","43590"
"In post","2023","Commercial","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Economics","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Female","Heterosexual / straight","35","30","46400","51290"
"In post","2023","Commercial","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Female","Heterosexual / straight","130","125","41200","37300"
"In post","2023","Commercial","Operational Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Male","Heterosexual / straight","160","160","52540","49370"
"In post","2023","Commercial","Operational Delivery","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","Female","Heterosexual / straight","85","75","39770","37420"
"In post","2023","Commercial","Other","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Other","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","Male","Heterosexual / straight","60","60","43660","45150"
"In post","2023","Commercial","Other","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Other","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Commercial","Policy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Policy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Male","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Commercial","Policy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Female","Heterosexual / straight","35","35","40420","37590"
"In post","2023","Commercial","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Male","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
