"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Active Travel England","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","SEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","EO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","HEO","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","HEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","SEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","AO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","EO","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","EO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G7","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G7","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","HEO","Female","40","35","38270","39300"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","HEO","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","EO","Female","35","35","25400","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","EO","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","Female","40","35","33060","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","SEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","SEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","EO","Female","35","30","25530","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","EO","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","Female","35","30","33550","32350"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","Male","30","25","33560","32510"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","SEO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","SEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","EO","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","EO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","HEO","Female","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","HEO","Male","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","SEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","SEO","Male","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","HEO","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","EO","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","EO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","HEO","Female","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","SEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","SEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","Female","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","HEO","Female","25","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","Female","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","HEO","Female","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","HEO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","SEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","AO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","EO","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","EO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","G7","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","HEO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","HEO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","SEO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","SEO","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","AO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","EO","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","EO","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","HEO","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","HEO","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","SEO","Female","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","SEO","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G7","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","HEO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","HEO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","AO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","EO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","G7","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","HEO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","SEO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","AO","Female","95","85","22280","22150"
"In post","2023","Animal and Plant Health Agency","North West (England)","AO","Male","60","60","22240","22150"
"In post","2023","Animal and Plant Health Agency","North West (England)","EO","Female","50","50","26360","25920"
"In post","2023","Animal and Plant Health Agency","North West (England)","EO","Male","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","G7","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","G7","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","HEO","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","HEO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","SEO","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","SEO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","AO","Female","30","25","22230","22150"
"In post","2023","Animal and Plant Health Agency","Scotland","AO","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","EO","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","EO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","G6","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","G7","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","HEO","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","HEO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","SEO","Female","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","SEO","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","AO","Female","115","105","25320","25340"
"In post","2023","Animal and Plant Health Agency","South East (England)","AO","Male","70","70","25340","25340"
"In post","2023","Animal and Plant Health Agency","South East (England)","EO","Female","145","135","28810","29080"
"In post","2023","Animal and Plant Health Agency","South East (England)","EO","Male","80","75","28670","29080"
"In post","2023","Animal and Plant Health Agency","South East (England)","G6","Female","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","G7","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","G7","Male","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","HEO","Female","100","95","33710","33830"
"In post","2023","Animal and Plant Health Agency","South East (England)","HEO","Male","65","65","33480","33830"
"In post","2023","Animal and Plant Health Agency","South East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","SEO","Female","80","75","40670","40260"
"In post","2023","Animal and Plant Health Agency","South East (England)","SEO","Male","55","55","40960","40260"
"In post","2023","Animal and Plant Health Agency","South East (England)","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","AO","Female","110","105","22150","22150"
"In post","2023","Animal and Plant Health Agency","South West (England)","AO","Male","75","70","22190","22150"
"In post","2023","Animal and Plant Health Agency","South West (England)","EO","Female","65","60","26080","25920"
"In post","2023","Animal and Plant Health Agency","South West (England)","EO","Male","60","60","26270","25920"
"In post","2023","Animal and Plant Health Agency","South West (England)","G6","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","G7","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","G7","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","HEO","Female","40","40","30890","30320"
"In post","2023","Animal and Plant Health Agency","South West (England)","HEO","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","SEO","Female","45","40","39170","37330"
"In post","2023","Animal and Plant Health Agency","South West (England)","SEO","Male","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","AO","Female","100","90","22160","22150"
"In post","2023","Animal and Plant Health Agency","Wales","AO","Male","35","35","22090","22150"
"In post","2023","Animal and Plant Health Agency","Wales","EO","Female","45","40","26300","25920"
"In post","2023","Animal and Plant Health Agency","Wales","EO","Male","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","G6","Female","[c]","[c]","[c]","[c]"
