"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","235","230","34510","34670"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","255","250","42490","41360"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","EO","20","20","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6/G7","G7","55","55","54930","53390"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","60","60","37000","35620"
"In post","2023","Asian","Department for Education","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","EO","EO","130","130","27690","26940"
"In post","2023","Asian","Department for Education","G6/G7","G6","55","55","66320","66110"
"In post","2023","Asian","Department for Education","G6/G7","G7","200","200","53660","52150"
"In post","2023","Asian","Department for Education","SCS level","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education","SEO/HEO","HEO","205","195","32300","30710"
"In post","2023","Asian","Department for Education","SEO/HEO","SEO","250","245","40210","38210"
"In post","2023","Asian","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","AA/AO","AO","95","90","23000","22150"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","EO","EO","105","100","27870","29080"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","G6/G7","G7","80","80","53240","54330"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","105","105","33150","33830"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","95","95","39540","40260"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","EO","EO","30","30","29210","29280"
"In post","2023","Asian","Department for International Trade","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Asian","Department for International Trade","G6/G7","G7","75","75","56950","55500"
"In post","2023","Asian","Department for International Trade","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","SEO/HEO","HEO","80","80","35320","35010"
"In post","2023","Asian","Department for International Trade","SEO/HEO","SEO","90","90","42450","41550"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","EO","EO","40","40","29100","28850"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","G6/G7","G6","35","35","66300","64970"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","G6/G7","G7","65","65","53410","54630"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","95","95","34380","34310"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","60","60","40350","40590"
"In post","2023","Asian","Department for Transport","AA/AO","AA","15","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","AA/AO","AO","140","130","24040","22500"
"In post","2023","Asian","Department for Transport","EO","EO","145","140","29510","30300"
"In post","2023","Asian","Department for Transport","G6/G7","G6","35","35","72350","68150"
"In post","2023","Asian","Department for Transport","G6/G7","G7","110","110","57090","56340"
"In post","2023","Asian","Department for Transport","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport","SEO/HEO","HEO","140","140","34910","35400"
"In post","2023","Asian","Department for Transport","SEO/HEO","SEO","120","115","44330","43750"
"In post","2023","Asian","Department for Work and Pensions","AA/AO","AA","30","25","21310","21250"
"In post","2023","Asian","Department for Work and Pensions","AA/AO","AO","2285","1930","22530","21690"
"In post","2023","Asian","Department for Work and Pensions","EO","EO","4470","4080","29710","28120"
"In post","2023","Asian","Department for Work and Pensions","G6/G7","G6","35","35","72270","71830"
"In post","2023","Asian","Department for Work and Pensions","G6/G7","G7","165","165","55470","55150"
"In post","2023","Asian","Department for Work and Pensions","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","SEO/HEO","HEO","625","600","36590","36230"
"In post","2023","Asian","Department for Work and Pensions","SEO/HEO","SEO","275","270","43430","42470"
"In post","2023","Asian","Department of Health and Social Care","AA/AO","AA","20","15","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","AA/AO","AO","80","70","23550","23980"
"In post","2023","Asian","Department of Health and Social Care","EO","EO","205","195","28110","28220"
"In post","2023","Asian","Department of Health and Social Care","G6/G7","G6","80","75","72000","68260"
"In post","2023","Asian","Department of Health and Social Care","G6/G7","G7","195","190","55240","54690"
"In post","2023","Asian","Department of Health and Social Care","SCS level","SCS level","75","70","107770","106000"
"In post","2023","Asian","Department of Health and Social Care","SEO/HEO","HEO","250","245","33640","33650"
"In post","2023","Asian","Department of Health and Social Care","SEO/HEO","SEO","260","255","41890","41870"
"In post","2023","Asian","Estyn","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","EO","EO","10","10","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","AA/AO","AO","35","35","27910","28950"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","EO","EO","85","80","31790","31460"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","G6/G7","G6","45","45","68580","67220"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","G6/G7","G7","100","100","57770","56490"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","170","165","37030","36800"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","35","35","45120","44450"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","AA/AO","AO","65","60","23850","23390"
"In post","2023","Asian","HM Land Registry","EO","EO","80","75","28890","28080"
"In post","2023","Asian","HM Land Registry","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SEO/HEO","HEO","45","45","36800","34850"
"In post","2023","Asian","HM Land Registry","SEO/HEO","SEO","20","15","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","AA/AO","AA","20","15","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","AA/AO","AO","1880","1690","23180","22520"
"In post","2023","Asian","HM Revenue and Customs","EO","EO","1555","1480","29350","28130"
"In post","2023","Asian","HM Revenue and Customs","G6/G7","G6","120","115","74060","72960"
"In post","2023","Asian","HM Revenue and Customs","G6/G7","G7","515","505","60360","59180"
"In post","2023","Asian","HM Revenue and Customs","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","SEO/HEO","HEO","1665","1615","36390","35000"
"In post","2023","Asian","HM Revenue and Customs","SEO/HEO","SEO","705","690","43910","42510"
"In post","2023","Asian","HM Treasury","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","HM Treasury","EO","EO","50","50","28040","28380"
"In post","2023","Asian","HM Treasury","G6/G7","G6","30","30","66520","64970"
"In post","2023","Asian","HM Treasury","G6/G7","G7","85","85","55230","54130"
"In post","2023","Asian","HM Treasury","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","HM Treasury","SEO/HEO","HEO","100","100","34800","33820"
"In post","2023","Asian","HM Treasury","SEO/HEO","SEO","50","50","42840","42700"
"In post","2023","Asian","Home Office","AA/AO","AA","120","100","22630","23500"
"In post","2023","Asian","Home Office","AA/AO","AO","895","780","24610","26400"
"In post","2023","Asian","Home Office","EO","EO","1830","1680","28860","29890"
"In post","2023","Asian","Home Office","G6/G7","G6","65","65","72170","70840"
"In post","2023","Asian","Home Office","G6/G7","G7","295","290","60310","59290"
"In post","2023","Asian","Home Office","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Home Office","SEO/HEO","HEO","825","790","35320","36180"
"In post","2023","Asian","Home Office","SEO/HEO","SEO","505","495","43250","43210"
"In post","2023","Asian","Home Office","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","Asian","Ministry of Defence","AA/AO","AA","120","115","22430","21380"
"In post","2023","Asian","Ministry of Defence","AA/AO","AO","300","285","25560","24400"
"In post","2023","Asian","Ministry of Defence","EO","EO","200","190","29780","28830"
"In post","2023","Asian","Ministry of Defence","G6/G7","G6","45","45","78120","74210"
"In post","2023","Asian","Ministry of Defence","G6/G7","G7","140","135","58000","57160"
"In post","2023","Asian","Ministry of Defence","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Ministry of Defence","SEO/HEO","HEO","335","330","34900","34300"
"In post","2023","Asian","Ministry of Defence","SEO/HEO","SEO","325","315","44080","43660"
"In post","2023","Asian","Ministry of Defence","Unknown","Unknown","50","50","40570","39500"
"In post","2023","Asian","Ministry of Justice","AA/AO","AA","285","260","23170","23230"
"In post","2023","Asian","Ministry of Justice","AA/AO","AO","1930","1750","25230","21780"
"In post","2023","Asian","Ministry of Justice","EO","EO","625","605","28690","28480"
"In post","2023","Asian","Ministry of Justice","G6/G7","G6","40","40","69450","68810"
"In post","2023","Asian","Ministry of Justice","G6/G7","G7","200","200","58190","56080"
"In post","2023","Asian","Ministry of Justice","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Ministry of Justice","SEO/HEO","HEO","540","500","35620","35410"
"In post","2023","Asian","Ministry of Justice","SEO/HEO","SEO","480","460","44700","43650"
"In post","2023","Asian","Ministry of Justice","Unknown","Unknown","940","875","29500","27280"
"In post","2023","Asian","National Crime Agency","AA/AO","AO","25","20","[c]","[c]"
"In post","2023","Asian","National Crime Agency","EO","EO","140","135","35670","34670"
"In post","2023","Asian","National Crime Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Asian","National Crime Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","SEO/HEO","HEO","90","85","42300","42240"
"In post","2023","Asian","National Crime Agency","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","20","20","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","EO","EO","20","20","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","40","35","46330","44250"
"In post","2023","Asian","Office of Gas and Electricity Markets","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","Office of Gas and Electricity Markets","EO","EO","60","60","27130","26060"
"In post","2023","Asian","Office of Gas and Electricity Markets","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Asian","Office of Gas and Electricity Markets","G6/G7","G7","40","40","53250","50000"
"In post","2023","Asian","Office of Gas and Electricity Markets","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Gas and Electricity Markets","SEO/HEO","HEO","30","30","35680","34950"
"In post","2023","Asian","Office of Gas and Electricity Markets","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","EO","EO","5","5","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government","AA/AO","AA","35","35","23450","23340"
"In post","2023","Asian","Scottish Government","AA/AO","AO","45","45","25610","25710"
"In post","2023","Asian","Scottish Government","EO","EO","75","75","30420","29450"
"In post","2023","Asian","Scottish Government","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Asian","Scottish Government","G6/G7","G7","45","45","56990","54870"
"In post","2023","Asian","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government","SEO/HEO","HEO","65","65","36520","35480"
"In post","2023","Asian","Scottish Government","SEO/HEO","SEO","55","50","47270","46640"
"In post","2023","Asian","The National Archives","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","The National Archives","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","The National Archives","EO","EO","5","5","[c]","[c]"
"In post","2023","Asian","The National Archives","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","The National Archives","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","The National Archives","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","The National Archives","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2023","Asian","The National Archives","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2023","Asian","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Export Finance","EO","EO","20","20","[c]","[c]"
"In post","2023","Asian","UK Export Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Asian","UK Export Finance","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Asian","UK Export Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Export Finance","SEO/HEO","HEO","25","20","[c]","[c]"
"In post","2023","Asian","UK Export Finance","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","AA/AO","AA","10","5","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","AA/AO","AO","50","40","22630","21200"
"In post","2023","Asian","UK Statistics Authority","EO","EO","25","25","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","G6/G7","G7","35","30","54150","52250"
"In post","2023","Asian","UK Statistics Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","SEO/HEO","HEO","65","60","31960","31560"
"In post","2023","Asian","UK Statistics Authority","SEO/HEO","SEO","45","45","39140","39200"
"In post","2023","Asian","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","EO","EO","10","10","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Welsh Government","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Asian","Welsh Government","EO","EO","10","10","[c]","[c]"
"In post","2023","Asian","Welsh Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Welsh Government","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Asian","Welsh Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Welsh Government","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Welsh Government","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Black","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Attorney General's Departments","AA/AO","AO","130","125","24100","24480"
"In post","2023","Black","Attorney General's Departments","EO","EO","155","150","29020","28410"
"In post","2023","Black","Attorney General's Departments","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Black","Attorney General's Departments","G6/G7","G7","210","200","57800","55230"
"In post","2023","Black","Attorney General's Departments","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Black","Attorney General's Departments","SEO/HEO","HEO","65","60","35130","33990"
"In post","2023","Black","Attorney General's Departments","SEO/HEO","SEO","35","35","40770","40800"
"In post","2023","Black","Cabinet Office","AA/AO","AO","20","20","[c]","[c]"
"In post","2023","Black","Cabinet Office","EO","EO","60","60","28230","28370"
"In post","2023","Black","Cabinet Office","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Black","Cabinet Office","G6/G7","G7","80","80","58770","56430"
"In post","2023","Black","Cabinet Office","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Black","Cabinet Office","SEO/HEO","HEO","105","105","33310","32960"
"In post","2023","Black","Cabinet Office","SEO/HEO","SEO","60","60","41260","41870"
"In post","2023","Black","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
