"Status","Year","Disability","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","1385","1345","36270","37300"
"In post","2023","Declared non-disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department for International Trade","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department for International Trade","EO","90","85","29130","29280"
"In post","2023","Declared non-disabled","No function","Department for International Trade","G6/G7","460","450","59100","55500"
"In post","2023","Declared non-disabled","No function","Department for International Trade","SCS level","70","70","86880","77320"
"In post","2023","Declared non-disabled","No function","Department for International Trade","SEO/HEO","625","615","39210","41550"
"In post","2023","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","100","95","29330","28850"
"In post","2023","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","745","725","57360","54630"
"In post","2023","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","105","100","85100","77320"
"In post","2023","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","690","670","37050","37540"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","AA/AO","65","55","28380","26510"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","EO","145","140","30450","30920"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","G6/G7","605","590","62520","57290"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","SCS level","130","120","90430","79020"
"In post","2023","Declared non-disabled","No function","Department for Transport (excl. agencies)","SEO/HEO","505","495","40050","39820"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","AA/AO","15330","13120","21960","21690"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","EO","25745","22985","28790","28120"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","G6/G7","575","555","55320","50160"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","SCS level","100","100","88230","78370"
"In post","2023","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","SEO/HEO","4000","3775","35890","34170"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","EO","45","45","29270","29280"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","G6/G7","305","290","59840","56560"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","SCS level","90","85","84840","78500"
"In post","2023","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","SEO/HEO","240","230","38160","38120"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","AA/AO","2560","2170","21680","22500"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","EO","435","410","27270","27260"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","G6/G7","60","55","72610","73920"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","SEO/HEO","205","195","34730","32950"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Standards Agency","AA/AO","655","600","25730","27490"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Standards Agency","EO","1510","1390","29130","27450"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Standards Agency","G6/G7","35","35","53580","51540"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Standards Agency","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Driver and Vehicle Standards Agency","SEO/HEO","445","440","35300","33850"
"In post","2023","Declared non-disabled","No function","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Education and Skills Funding Agency","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Education and Skills Funding Agency","G6/G7","85","85","56090","52530"
"In post","2023","Declared non-disabled","No function","Education and Skills Funding Agency","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Education and Skills Funding Agency","SEO/HEO","145","140","35710","37590"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","EO","275","260","28440","28090"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","G6/G7","125","120","56030","55850"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","SCS level","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Food Standards Agency","SEO/HEO","330","325","36380","37720"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","45","40","27550","28950"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","EO","170","165","32030","31340"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","840","825","60920","59770"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","250","250","88040","79000"
"In post","2023","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","910","905","37960","36620"
"In post","2023","Declared non-disabled","No function","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Government Internal Audit Agency","EO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Government Internal Audit Agency","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Government Internal Audit Agency","SEO/HEO","35","30","40100","41740"
"In post","2023","Declared non-disabled","No function","HM Courts and Tribunals Service","AA/AO","6280","5435","22220","21780"
"In post","2023","Declared non-disabled","No function","HM Courts and Tribunals Service","EO","1945","1830","27040","25830"
"In post","2023","Declared non-disabled","No function","HM Courts and Tribunals Service","G6/G7","400","390","58870","58330"
"In post","2023","Declared non-disabled","No function","HM Courts and Tribunals Service","SCS level","40","40","83020","78770"
"In post","2023","Declared non-disabled","No function","HM Courts and Tribunals Service","SEO/HEO","1660","1545","37760","37680"
"In post","2023","Declared non-disabled","No function","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","HM Land Registry","AA/AO","525","480","23540","23390"
"In post","2023","Declared non-disabled","No function","HM Land Registry","EO","1320","1145","28220","28080"
"In post","2023","Declared non-disabled","No function","HM Land Registry","G6/G7","30","30","62350","61390"
"In post","2023","Declared non-disabled","No function","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","HM Land Registry","SEO/HEO","1275","1110","36960","34850"
"In post","2023","Declared non-disabled","No function","HM Prison and Probation Service","AA/AO","18580","17625","29180","29890"
"In post","2023","Declared non-disabled","No function","HM Prison and Probation Service","EO","4665","4480","33370","34170"
"In post","2023","Declared non-disabled","No function","HM Prison and Probation Service","G6/G7","675","660","74470","70980"
"In post","2023","Declared non-disabled","No function","HM Prison and Probation Service","SCS level","70","70","102790","106090"
"In post","2023","Declared non-disabled","No function","HM Prison and Probation Service","SEO/HEO","4995","4785","42160","40660"
"In post","2023","Declared non-disabled","No function","HM Prison and Probation Service","Unknown","13415","12545","30920","29050"
"In post","2023","Declared non-disabled","No function","HM Revenue and Customs (excl. agencies)","AA/AO","6445","5655","22630","22520"
"In post","2023","Declared non-disabled","No function","HM Revenue and Customs (excl. agencies)","EO","4895","4565","28530","28130"
"In post","2023","Declared non-disabled","No function","HM Revenue and Customs (excl. agencies)","G6/G7","2165","2075","62260","57970"
"In post","2023","Declared non-disabled","No function","HM Revenue and Customs (excl. agencies)","SCS level","100","100","84960","80500"
"In post","2023","Declared non-disabled","No function","HM Revenue and Customs (excl. agencies)","SEO/HEO","7215","6925","37680","35000"
"In post","2023","Declared non-disabled","No function","HM Treasury (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","HM Treasury (excl. agencies)","EO","105","105","27780","27820"
"In post","2023","Declared non-disabled","No function","HM Treasury (excl. agencies)","G6/G7","480","475","58400","54440"
"In post","2023","Declared non-disabled","No function","HM Treasury (excl. agencies)","SCS level","95","90","84990","78620"
"In post","2023","Declared non-disabled","No function","HM Treasury (excl. agencies)","SEO/HEO","330","330","34610","33630"
"In post","2023","Declared non-disabled","No function","Health and Safety Executive","AA/AO","200","180","23110","23500"
"In post","2023","Declared non-disabled","No function","Health and Safety Executive","EO","300","285","28300","27320"
"In post","2023","Declared non-disabled","No function","Health and Safety Executive","G6/G7","350","340","62230","59400"
"In post","2023","Declared non-disabled","No function","Health and Safety Executive","SCS level","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Health and Safety Executive","SEO/HEO","910","865","46100","42940"
"In post","2023","Declared non-disabled","No function","Home Office","AA/AO","4140","3545","23090","22400"
"In post","2023","Declared non-disabled","No function","Home Office","EO","9285","8485","27700","26410"
"In post","2023","Declared non-disabled","No function","Home Office","G6/G7","2230","2175","61640","59290"
"In post","2023","Declared non-disabled","No function","Home Office","SCS level","205","200","88220","81670"
"In post","2023","Declared non-disabled","No function","Home Office","SEO/HEO","6640","6405","36740","36180"
"In post","2023","Declared non-disabled","No function","Home Office","Unknown","155","155","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Intellectual Property Office","AA/AO","115","105","22940","23100"
"In post","2023","Declared non-disabled","No function","Intellectual Property Office","EO","220","200","27060","25040"
"In post","2023","Declared non-disabled","No function","Intellectual Property Office","G6/G7","210","195","62210","61980"
"In post","2023","Declared non-disabled","No function","Intellectual Property Office","SCS level","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Intellectual Property Office","SEO/HEO","205","195","39230","41630"
"In post","2023","Declared non-disabled","No function","Legal Aid Agency","AA/AO","255","230","21820","21780"
"In post","2023","Declared non-disabled","No function","Legal Aid Agency","EO","250","230","26370","25830"
"In post","2023","Declared non-disabled","No function","Legal Aid Agency","G6/G7","75","70","60800","58700"
"In post","2023","Declared non-disabled","No function","Legal Aid Agency","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Legal Aid Agency","SEO/HEO","225","220","37370","37680"
"In post","2023","Declared non-disabled","No function","Maritime and Coastguard Agency","AA/AO","85","75","22520","22500"
"In post","2023","Declared non-disabled","No function","Maritime and Coastguard Agency","EO","100","100","27290","27190"
"In post","2023","Declared non-disabled","No function","Maritime and Coastguard Agency","G6/G7","100","95","56540","57570"
"In post","2023","Declared non-disabled","No function","Maritime and Coastguard Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Maritime and Coastguard Agency","SEO/HEO","300","290","38200","39430"
"In post","2023","Declared non-disabled","No function","Ministry of Defence (excl. agencies)","AA/AO","4325","4110","22290","22220"
"In post","2023","Declared non-disabled","No function","Ministry of Defence (excl. agencies)","EO","1710","1655","28760","27470"
"In post","2023","Declared non-disabled","No function","Ministry of Defence (excl. agencies)","G6/G7","855","805","67140","62180"
"In post","2023","Declared non-disabled","No function","Ministry of Defence (excl. agencies)","SCS level","120","110","92360","82740"
"In post","2023","Declared non-disabled","No function","Ministry of Defence (excl. agencies)","SEO/HEO","2780","2700","39640","38680"
"In post","2023","Declared non-disabled","No function","Ministry of Defence (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Ministry of Justice (excl. agencies)","AA/AO","115","110","23360","21780"
"In post","2023","Declared non-disabled","No function","Ministry of Justice (excl. agencies)","EO","185","180","29100","29660"
"In post","2023","Declared non-disabled","No function","Ministry of Justice (excl. agencies)","G6/G7","395","380","59510","57520"
"In post","2023","Declared non-disabled","No function","Ministry of Justice (excl. agencies)","SCS level","65","60","86950","78840"
"In post","2023","Declared non-disabled","No function","Ministry of Justice (excl. agencies)","SEO/HEO","650","635","39130","37680"
"In post","2023","Declared non-disabled","No function","National Crime Agency","AA/AO","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Crime Agency","EO","435","420","37450","38310"
"In post","2023","Declared non-disabled","No function","National Crime Agency","G6/G7","115","110","68200","67840"
"In post","2023","Declared non-disabled","No function","National Crime Agency","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Crime Agency","SEO/HEO","695","680","46280","46160"
"In post","2023","Declared non-disabled","No function","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Infrastructure Commission","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Infrastructure Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Infrastructure Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Savings and Investments","EO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Savings and Investments","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Savings and Investments","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","National Savings and Investments","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office for Budget Responsibility","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office for Budget Responsibility","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","140","125","22480","22490"
"In post","2023","Declared non-disabled","No function","Office for Standards in Education, Children's Services and Skills","EO","115","110","27580","27140"
"In post","2023","Declared non-disabled","No function","Office for Standards in Education, Children's Services and Skills","G6/G7","545","540","76810","77470"
"In post","2023","Declared non-disabled","No function","Office for Standards in Education, Children's Services and Skills","SCS level","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office for Standards in Education, Children's Services and Skills","SEO/HEO","495","480","47550","52750"
"In post","2023","Declared non-disabled","No function","Office of Gas and Electricity Markets","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Gas and Electricity Markets","EO","205","200","26060","25750"
"In post","2023","Declared non-disabled","No function","Office of Gas and Electricity Markets","G6/G7","205","200","57060","57120"
"In post","2023","Declared non-disabled","No function","Office of Gas and Electricity Markets","SCS level","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Gas and Electricity Markets","SEO/HEO","135","135","35210","34900"
"In post","2023","Declared non-disabled","No function","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Qualifications and Examinations Regulation","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Qualifications and Examinations Regulation","G6/G7","80","80","54520","50600"
"In post","2023","Declared non-disabled","No function","Office of Qualifications and Examinations Regulation","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Qualifications and Examinations Regulation","SEO/HEO","100","95","36350","38380"
"In post","2023","Declared non-disabled","No function","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Rail and Road","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Rail and Road","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of Rail and Road","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Public Guardian","AA/AO","535","490","21760","21780"
"In post","2023","Declared non-disabled","No function","Office of the Public Guardian","EO","265","255","25870","25830"
"In post","2023","Declared non-disabled","No function","Office of the Public Guardian","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Public Guardian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Public Guardian","SEO/HEO","115","110","33070","31270"
"In post","2023","Declared non-disabled","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Secretary of State for Wales","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Secretary of State for Wales","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Office of the Secretary of State for Wales","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Planning Inspectorate","AA/AO","85","80","22300","21960"
"In post","2023","Declared non-disabled","No function","Planning Inspectorate","EO","55","50","27110","26590"
"In post","2023","Declared non-disabled","No function","Planning Inspectorate","G6/G7","365","330","59660","60050"
"In post","2023","Declared non-disabled","No function","Planning Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Planning Inspectorate","SEO/HEO","65","60","34890","33450"
"In post","2023","Declared non-disabled","No function","Registers of Scotland","AA/AO","125","120","26210","26410"
"In post","2023","Declared non-disabled","No function","Registers of Scotland","EO","150","145","32140","32510"
"In post","2023","Declared non-disabled","No function","Registers of Scotland","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Registers of Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Registers of Scotland","SEO/HEO","135","130","41470","39590"
"In post","2023","Declared non-disabled","No function","Scottish Courts and Tribunals Service","AA/AO","420","380","23470","23190"
"In post","2023","Declared non-disabled","No function","Scottish Courts and Tribunals Service","EO","150","145","30270","31970"
"In post","2023","Declared non-disabled","No function","Scottish Courts and Tribunals Service","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Scottish Courts and Tribunals Service","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Scottish Courts and Tribunals Service","SEO/HEO","100","100","39580","38170"
"In post","2023","Declared non-disabled","No function","Scottish Prison Service","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Scottish Prison Service","EO","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Scottish Prison Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Scottish Prison Service","SEO/HEO","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Serious Fraud Office","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Serious Fraud Office","EO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Serious Fraud Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Serious Fraud Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Serious Fraud Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Standards and Testing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Teaching Regulation Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Teaching Regulation Agency","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Teaching Regulation Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Teaching Regulation Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Teaching Regulation Agency","SEO/HEO","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","The Insolvency Service","AA/AO","255","230","22700","22180"
"In post","2023","Declared non-disabled","No function","The Insolvency Service","EO","100","90","26780","26940"
"In post","2023","Declared non-disabled","No function","The Insolvency Service","G6/G7","40","40","60510","57660"
"In post","2023","Declared non-disabled","No function","The Insolvency Service","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","The Insolvency Service","SEO/HEO","250","240","38660","40280"
"In post","2023","Declared non-disabled","No function","The National Archives","AA/AO","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","The National Archives","EO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","The National Archives","G6/G7","30","30","52820","51690"
"In post","2023","Declared non-disabled","No function","The National Archives","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","No function","The National Archives","SEO/HEO","125","120","34340","34940"
"In post","2023","Declared non-disabled","No function","UK Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Debt Management Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Health Security Agency","AA/AO","260","230","22740","22820"
"In post","2023","Declared non-disabled","No function","UK Health Security Agency","EO","295","280","26940","27160"
"In post","2023","Declared non-disabled","No function","UK Health Security Agency","G6/G7","535","510","60340","55200"
"In post","2023","Declared non-disabled","No function","UK Health Security Agency","SCS level","145","130","108960","106560"
"In post","2023","Declared non-disabled","No function","UK Health Security Agency","SEO/HEO","930","890","37110","37060"
"In post","2023","Declared non-disabled","No function","UK Hydrographic Office","AA/AO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Hydrographic Office","EO","115","110","28340","27610"
"In post","2023","Declared non-disabled","No function","UK Hydrographic Office","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Hydrographic Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Hydrographic Office","SEO/HEO","205","195","37630","34370"
"In post","2023","Declared non-disabled","No function","UK Statistics Authority","AA/AO","645","440","21480","21200"
"In post","2023","Declared non-disabled","No function","UK Statistics Authority","EO","155","145","25450","24840"
"In post","2023","Declared non-disabled","No function","UK Statistics Authority","G6/G7","155","155","54610","51460"
"In post","2023","Declared non-disabled","No function","UK Statistics Authority","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","No function","UK Statistics Authority","SEO/HEO","270","260","34720","33910"
"In post","2023","Declared non-disabled","No function","Vehicle Certification Agency","AA/AO","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Vehicle Certification Agency","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Vehicle Certification Agency","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Vehicle Certification Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Vehicle Certification Agency","SEO/HEO","70","65","43010","40310"
"In post","2023","Declared non-disabled","No function","Veterinary Medicines Directorate","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Veterinary Medicines Directorate","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Veterinary Medicines Directorate","G6/G7","45","45","58480","56090"
"In post","2023","Declared non-disabled","No function","Veterinary Medicines Directorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Veterinary Medicines Directorate","SEO/HEO","40","40","37800","39090"
"In post","2023","Declared non-disabled","No function","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Water Services Regulation Authority","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Water Services Regulation Authority","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Water Services Regulation Authority","SEO/HEO","50","45","49180","46920"
"In post","2023","Declared non-disabled","No function","Welsh Revenue Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Welsh Revenue Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Welsh Revenue Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Welsh Revenue Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Active Travel England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Active Travel England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Advisory, Conciliation and Arbitration Service","EO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Advisory, Conciliation and Arbitration Service","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Advisory, Conciliation and Arbitration Service","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Animal and Plant Health Agency","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Animal and Plant Health Agency","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Animal and Plant Health Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Animal and Plant Health Agency","SEO/HEO","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Building Digital UK","EO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Building Digital UK","G6/G7","60","60","55120","53030"
"In post","2023","Declared non-disabled","Project Delivery","Building Digital UK","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Building Digital UK","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Cabinet Office (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Cabinet Office (excl. agencies)","G6/G7","50","45","60980","60630"
"In post","2023","Declared non-disabled","Project Delivery","Cabinet Office (excl. agencies)","SCS level","50","45","118530","118450"
