"Status","Year","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Finance","Outside London","Female","315","[c]","37050","34170"
"Leaver CS","2023","Finance","Outside London","Male","305","[c]","40490","36590"
"Leaver CS","2023","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Finance","Unknown","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Grants Management","Outside London","Female","115","[c]","23460","22150"
"Leaver CS","2023","Grants Management","Outside London","Male","85","[c]","24360","22150"
"Leaver CS","2023","Human Resources","London","Female","190","[c]","46110","41580"
"Leaver CS","2023","Human Resources","London","Male","90","[c]","51730","44730"
"Leaver CS","2023","Human Resources","Outside London","Female","680","[c]","30190","25750"
"Leaver CS","2023","Human Resources","Outside London","Male","480","[c]","33520","31470"
"Leaver CS","2023","Human Resources","Overseas","Female","40","[c]","50130","48580"
"Leaver CS","2023","Human Resources","Overseas","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","London","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","London","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Outside London","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Outside London","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","London","Female","260","[c]","47070","51250"
"Leaver CS","2023","Legal","London","Male","180","[c]","55030","55000"
"Leaver CS","2023","Legal","Outside London","Female","310","[c]","39620","35000"
"Leaver CS","2023","Legal","Outside London","Male","140","[c]","45080","46390"
"Leaver CS","2023","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","No function","London","Female","3560","[c]","38570","32520"
"Leaver CS","2023","No function","London","Male","2725","[c]","42640","35660"
"Leaver CS","2023","No function","Outside London","Female","13570","[c]","27890","25750"
"Leaver CS","2023","No function","Outside London","Male","10750","[c]","30250","27190"
"Leaver CS","2023","No function","Overseas","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","No function","Overseas","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","No function","Unknown","Female","65","[c]","27620","27570"
"Leaver CS","2023","No function","Unknown","Male","40","[c]","29980","27610"
"Leaver CS","2023","Project Delivery","London","Female","155","[c]","46070","40940"
"Leaver CS","2023","Project Delivery","London","Male","165","[c]","51070","45500"
"Leaver CS","2023","Project Delivery","Outside London","Female","450","[c]","40110","37720"
"Leaver CS","2023","Project Delivery","Outside London","Male","600","[c]","43090","40430"
"Leaver CS","2023","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","London","Female","50","[c]","41270","37180"
"Leaver CS","2023","Property","London","Male","70","[c]","45470","45750"
"Leaver CS","2023","Property","Outside London","Female","225","[c]","31300","27000"
"Leaver CS","2023","Property","Outside London","Male","335","[c]","34960","33000"
"Leaver CS","2023","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","London","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Security","London","Male","75","[c]","39130","35740"
"Leaver CS","2023","Security","Outside London","Female","165","[c]","30650","28090"
"Leaver CS","2023","Security","Outside London","Male","650","[c]","32030","27500"
"Leaver CS","2023","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","London","Female","530","[c]","43750","38440"
"Leaver CS","2023","Unknown","London","Male","380","[c]","46650","39780"
"Leaver CS","2023","Unknown","Outside London","Female","905","[c]","37740","33260"
"Leaver CS","2023","Unknown","Outside London","Male","790","[c]","40050","34730"
"Leaver CS","2023","Unknown","Overseas","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Female","55","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Male","200","[c]","37650","34250"
"Leaver Dept.","2023","Analysis","London","Female","155","[c]","40530","36590"
"Leaver Dept.","2023","Analysis","London","Male","185","[c]","44610","37680"
"Leaver Dept.","2023","Analysis","Outside London","Female","115","[c]","37950","36720"
"Leaver Dept.","2023","Analysis","Outside London","Male","95","[c]","38460","37340"
"Leaver Dept.","2023","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","London","Female","45","[c]","39670","38160"
"Leaver Dept.","2023","Commercial","London","Male","40","[c]","44860","41420"
"Leaver Dept.","2023","Commercial","Outside London","Female","105","[c]","39350","39000"
"Leaver Dept.","2023","Commercial","Outside London","Male","95","[c]","37320","37590"
"Leaver Dept.","2023","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","London","Female","140","[c]","42300","38160"
"Leaver Dept.","2023","Communications","London","Male","85","[c]","41900","39350"
"Leaver Dept.","2023","Communications","Outside London","Female","40","[c]","32700","31320"
"Leaver Dept.","2023","Communications","Outside London","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","London","Female","45","[c]","32640","32520"
"Leaver Dept.","2023","Counter Fraud","London","Male","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","Outside London","Female","125","[c]","29140","28120"
"Leaver Dept.","2023","Counter Fraud","Outside London","Male","105","[c]","29020","28120"
"Leaver Dept.","2023","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Debt","London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Debt","London","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Debt","Outside London","Female","110","[c]","23800","21690"
"Leaver Dept.","2023","Debt","Outside London","Male","65","[c]","[c]","[c]"
"Leaver Dept.","2023","Digital, Data & Technology","London","Female","110","[c]","47290","43410"
"Leaver Dept.","2023","Digital, Data & Technology","London","Male","130","[c]","47430","43700"
"Leaver Dept.","2023","Digital, Data & Technology","Outside London","Female","210","[c]","38180","36050"
"Leaver Dept.","2023","Digital, Data & Technology","Outside London","Male","290","[c]","39530","37590"
"Leaver Dept.","2023","Digital, Data & Technology","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","London","Female","95","[c]","46900","39550"
"Leaver Dept.","2023","Finance","London","Male","100","[c]","50310","43110"
"Leaver Dept.","2023","Finance","Outside London","Female","140","[c]","40300","35310"
"Leaver Dept.","2023","Finance","Outside London","Male","115","[c]","40840","37350"
"Leaver Dept.","2023","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Finance","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Grants Management","Outside London","Female","30","[c]","23890","22150"
"Leaver Dept.","2023","Grants Management","Outside London","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","London","Female","190","[c]","43290","36670"
"Leaver Dept.","2023","Human Resources","London","Male","60","[c]","43520","40340"
"Leaver Dept.","2023","Human Resources","Outside London","Female","355","[c]","34140","31990"
"Leaver Dept.","2023","Human Resources","Outside London","Male","150","[c]","34450","31660"
"Leaver Dept.","2023","Human Resources","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","London","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","London","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","Outside London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Internal Audit","Outside London","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Legal","London","Female","105","[c]","48220","50500"
"Leaver Dept.","2023","Legal","London","Male","70","[c]","49210","51830"
"Leaver Dept.","2023","Legal","Outside London","Female","70","[c]","36470","30280"
"Leaver Dept.","2023","Legal","Outside London","Male","40","[c]","41810","31180"
"Leaver Dept.","2023","No function","London","Female","2095","[c]","43470","39050"
"Leaver Dept.","2023","No function","London","Male","1655","[c]","45850","40600"
"Leaver Dept.","2023","No function","Outside London","Female","3070","[c]","28890","27570"
"Leaver Dept.","2023","No function","Outside London","Male","2150","[c]","30460","27570"
"Leaver Dept.","2023","No function","Overseas","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","No function","Overseas","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","No function","Unknown","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","No function","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","London","Female","140","[c]","41410","35750"
"Leaver Dept.","2023","Project Delivery","London","Male","85","[c]","41010","34980"
"Leaver Dept.","2023","Project Delivery","Outside London","Female","155","[c]","39630","36840"
"Leaver Dept.","2023","Project Delivery","Outside London","Male","155","[c]","39510","37680"
"Leaver Dept.","2023","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","London","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","Outside London","Female","90","[c]","32920","31460"
"Leaver Dept.","2023","Property","Outside London","Male","85","[c]","34900","30190"
"Leaver Dept.","2023","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","London","Female","50","[c]","41000","36180"
"Leaver Dept.","2023","Security","London","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","Outside London","Female","55","[c]","32790","30090"
"Leaver Dept.","2023","Security","Outside London","Male","80","[c]","29560","27500"
"Leaver Dept.","2023","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","London","Female","460","[c]","37640","32000"
"Leaver Dept.","2023","Unknown","London","Male","340","[c]","36760","32000"
"Leaver Dept.","2023","Unknown","Outside London","Female","265","[c]","38580","33260"
"Leaver Dept.","2023","Unknown","Outside London","Male","190","[c]","39480","34730"
"Leaver Dept.","2023","Unknown","Overseas","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Overseas","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Analysis","London","Female","295","[c]","35080","34480"
"New entrant CS","2023","Analysis","London","Male","335","[c]","35810","34480"
"New entrant CS","2023","Analysis","Outside London","Female","385","[c]","31820","31270"
"New entrant CS","2023","Analysis","Outside London","Male","465","[c]","32420","31270"
"New entrant CS","2023","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Commercial","London","Female","80","[c]","43740","35010"
"New entrant CS","2023","Commercial","London","Male","80","[c]","41440","34600"
"New entrant CS","2023","Commercial","Outside London","Female","320","[c]","36350","31640"
"New entrant CS","2023","Commercial","Outside London","Male","265","[c]","40470","33830"
"New entrant CS","2023","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Communications","London","Female","185","[c]","39610","37790"
"New entrant CS","2023","Communications","London","Male","115","[c]","41620","37520"
"New entrant CS","2023","Communications","Outside London","Female","165","[c]","34420","31640"
"New entrant CS","2023","Communications","Outside London","Male","100","[c]","37060","34260"
"New entrant CS","2023","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Counter Fraud","London","Female","60","[c]","34360","32260"
"New entrant CS","2023","Counter Fraud","London","Male","65","[c]","31480","32260"
"New entrant CS","2023","Counter Fraud","Outside London","Female","285","[c]","27330","25610"
"New entrant CS","2023","Counter Fraud","Outside London","Male","245","[c]","28280","27650"
"New entrant CS","2023","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Debt","London","Female","95","[c]","26870","26920"
"New entrant CS","2023","Debt","London","Male","55","[c]","26920","26920"
"New entrant CS","2023","Debt","Outside London","Female","880","[c]","22320","22520"
"New entrant CS","2023","Debt","Outside London","Male","650","[c]","22400","22520"
"New entrant CS","2023","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Digital, Data & Technology","London","Female","265","[c]","41540","38020"
"New entrant CS","2023","Digital, Data & Technology","London","Male","440","[c]","46460","40880"
"New entrant CS","2023","Digital, Data & Technology","Outside London","Female","880","[c]","36370","34400"
"New entrant CS","2023","Digital, Data & Technology","Outside London","Male","1605","[c]","38820","34850"
"New entrant CS","2023","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Digital, Data & Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Finance","London","Female","95","[c]","40240","38660"
"New entrant CS","2023","Finance","London","Male","100","[c]","39630","35410"
"New entrant CS","2023","Finance","Outside London","Female","365","[c]","31810","27390"
