"Status","Year","Ethnicity","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","200","195","40090","37300"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","135","130","42220","38810"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Female","160","155","45140","41550"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Male","150","150","47280","41880"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","175","165","43830","37590"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","125","120","44230","39260"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","Female","175","175","46960","43750"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","Male","185","180","47370","43750"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","4610","3930","29060","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","3205","3105","29530","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","175","165","46050","41950"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","95","90","43190","41950"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","Female","5","5","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Female","60","50","27400","22500"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Male","75","70","25810","22500"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","Female","45","45","30740","31260"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","Male","110","105","29750","29310"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","Female","60","55","39940","37740"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","Male","45","45","45430","41940"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Female","25","25","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Male","35","35","39670","32860"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","Female","40","35","43880","38100"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","Male","30","30","37480","37720"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","255","245","44710","39220"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","185","185","48500","40810"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","Female","20","20","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","Cabinet Office","Female","25","25","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","Cabinet Office","Male","45","45","71380","66270"
"In post","2023","Asian","Government Commercial Organisation","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","Female","55","50","41900","42700"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","Male","30","30","50900","50750"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","Female","230","210","50670","52020"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","Male","105","105","47920","52020"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Cabinet Office","Female","15","15","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Cabinet Office","Male","25","25","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","Female","1115","975","27640","25480"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","Male","565","545","28100","25480"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","HM Land Registry","Female","125","115","31140","28080"
"In post","2023","Asian","HM Land Registry","HM Land Registry","Male","95","90","33130","28080"
"In post","2023","Asian","HM Land Registry","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","Female","1085","1010","31400","29050"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","Male","1085","1025","32990","31510"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","2890","2645","34200","32260"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","3350","3260","34630","34370"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","Female","140","140","44630","40120"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","Male","95","95","43790","38660"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","Female","40","35","38130","36640"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","Male","40","40","53220","51600"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Home Office","Home Office","Female","2650","2390","33260","30140"
"In post","2023","Asian","Home Office","Home Office","Male","1930","1855","33810","30140"
"In post","2023","Asian","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Female","25","25","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Male","10","10","[c]","[c]"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","25","25","[c]","[c]"
"In post","2023","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal Aid Agency","Ministry of Justice","Female","50","45","27650","21780"
"In post","2023","Asian","Legal Aid Agency","Ministry of Justice","Male","30","30","28490","21780"
"In post","2023","Asian","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","Department for Transport","Female","15","15","[c]","[c]"
"In post","2023","Asian","Maritime and Coastguard Agency","Department for Transport","Male","40","40","49940","48480"
"In post","2023","Asian","Maritime and Coastguard Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","190","185","42880","41190"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","100","100","44680","41190"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2023","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Male","20","20","[c]","[c]"
"In post","2023","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","500","475","37160","33990"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","545","540","37750","34300"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","375","360","40970","37680"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","270","270","44640","43650"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","National Crime Agency","Female","170","165","38960","38640"
"In post","2023","Asian","National Crime Agency","National Crime Agency","Male","120","115","40270","39630"
"In post","2023","Asian","National Crime Agency","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Infrastructure Commission","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Savings and Investments","Chancellor's other departments","Female","5","5","[c]","[c]"
"In post","2023","Asian","National Savings and Investments","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2023","Asian","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Budget Responsibility","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","85","80","42020","40640"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","40","35","42450","36170"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","105","105","41770","38000"
"In post","2023","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","90","90","43210","38500"
"In post","2023","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","25","25","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","10","10","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Office of Rail and Road","Female","20","20","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Office of Rail and Road","Male","15","15","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Public Guardian","Ministry of Justice","Female","250","225","22740","21780"
"In post","2023","Asian","Office of the Public Guardian","Ministry of Justice","Male","220","210","23570","21780"
"In post","2023","Asian","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Scottish Charity Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Scottish Charity Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","10","10","[c]","[c]"
"In post","2023","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","10","10","[c]","[c]"
"In post","2023","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Registers of Scotland","Scottish Government","Female","5","5","[c]","[c]"
"In post","2023","Asian","Registers of Scotland","Scottish Government","Male","5","5","[c]","[c]"
"In post","2023","Asian","Registers of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Revenue Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Revenue Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Revenue Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Royal Fleet Auxiliary","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Royal Fleet Auxiliary","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","35","30","24030","22150"
"In post","2023","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","25","25","[c]","[c]"
"In post","2023","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Courts and Tribunals Service","Scottish Government","Female","10","10","[c]","[c]"
"In post","2023","Asian","Scottish Courts and Tribunals Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2023","Asian","Scottish Courts and Tribunals Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Fiscal Commission","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Fiscal Commission","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Fiscal Commission","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Forestry","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Forestry","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Forestry","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government (excl. agencies)","Scottish Government","Female","75","70","42180","38520"
"In post","2023","Asian","Scottish Government (excl. agencies)","Scottish Government","Male","50","50","44720","42860"
"In post","2023","Asian","Scottish Government (excl. agencies)","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Housing Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Housing Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Housing Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Prison Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Prison Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2023","Asian","Scottish Prison Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Public Pensions Agency","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Public Pensions Agency","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Public Pensions Agency","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
