"Status","Year","Organisation","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","HEO","60","55","33070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","SEO","15","15","41690","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","East Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester North West","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester South East","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","EO","55","55","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","HEO","60","55","33490","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","SEO","15","15","42140","41330"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Mid Lancashire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Sefton","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","EO","30","30","25530","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","HEO","45","40","33110","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","SEO","15","10","43780","44310"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Perth and Kinross, and Stirling","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Central Hampshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Kent Thames Gateway","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Medway","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Mid Kent","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Oxfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","West Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","HEO","20","20","33040","32130"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Devon CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Devon CC","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","EO","30","30","25600","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","HEO","40","35","32840","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","SEO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","South West Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","South West Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Swansea","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","EO","20","20","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","HEO","35","35","32980","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","SEO","15","15","41710","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Staffordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Warwickshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","EO","20","20","25650","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","HEO","35","30","33280","32310"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","SEO","10","10","42190","41240"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Nottingham","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Nottingham","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Nottingham","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","HEO","10","10","30670","30320"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Essex Haven Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Heart of Essex","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Heart of Essex","EO","15","15","27650","27950"
"In post","2023","Animal and Plant Health Agency","East of England","Heart of Essex","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Heart of Essex","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Heart of Essex","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Hertfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Hertfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Hertfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Hertfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","North and West Norfolk","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","North and West Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Suffolk CC","AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Suffolk CC","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Suffolk CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Suffolk CC","HEO","15","15","32280","31840"
"In post","2023","Animal and Plant Health Agency","East of England","Suffolk CC","SEO","15","10","41350","37640"
"In post","2023","Animal and Plant Health Agency","East of England","Thurrock","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Thurrock","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","West Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Harrow and Hillingdon","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Harrow and Hillingdon","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Harrow and Hillingdon","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Harrow and Hillingdon","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Harrow and Hillingdon","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","EO","25","25","32190","32720"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","HEO","10","10","35530","36040"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Lewisham and Southwark","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Lewisham and Southwark","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Redbridge and Waltham Forest","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Redbridge and Waltham Forest","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","G7","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Northumberland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","AO","15","10","22150","22150"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","EO","15","10","26480","25920"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","G7","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Cheshire East","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Cheshire East","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Cheshire East","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Cheshire East","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","AO","125","120","22280","22150"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","EO","35","30","26380","25920"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","SEO","15","15","39510","38200"
"In post","2023","Animal and Plant Health Agency","North West (England)","Greater Manchester North West","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Manchester","EO","10","10","26890","25920"
"In post","2023","Animal and Plant Health Agency","North West (England)","Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Manchester","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Manchester","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","AO","30","25","22210","22150"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","EO","30","30","26450","25920"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","HEO","15","15","30950","30320"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","SEO","10","10","39220","37300"
"In post","2023","Animal and Plant Health Agency","North West (England)","West Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Caithness and Sutherland, and Ross and Cromarty","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Caithness and Sutherland, and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","City of Edinburgh","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","AO","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Perth and Kinross, and Stirling","AO","15","15","22170","22150"
"In post","2023","Animal and Plant Health Agency","Scotland","Perth and Kinross, and Stirling","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Perth and Kinross, and Stirling","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Perth and Kinross, and Stirling","G7","[c]","[c]","[c]","[c]"
