"Status","Year","Age","Disability","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","AA/AO","45","45","21860","21690"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","AA/AO","45","40","20910","22500"
"In post","2023","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","FCDO Services","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Forestry and Land Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Courts and Tribunals Service","AA/AO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Prison and Probation Service","AA/AO","170","170","26710","28880"
"In post","2023","16-19","Declared non-disabled","HM Prison and Probation Service","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","AA/AO","90","85","22670","22520"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Health and Safety Executive","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Met Office","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Public Guardian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Rural Payments Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Public Pensions Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Social Security Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Health Security Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Valuation Office Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Welsh Government (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Department for Work and Pensions (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HM Prison and Probation Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Social Security Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Attorney General's Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Cabinet Office (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Crown Prosecution Service","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Equipment and Support","AA/AO","80","80","18930","18780"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","AA/AO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Education (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Driver and Vehicle Licensing Agency","AA/AO","30","25","20310","19000"
"In post","2023","16-19","Unknown","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","HM Courts and Tribunals Service","AA/AO","15","10","[c]","[c]"
"In post","2023","16-19","Unknown","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","HM Prison and Probation Service","AA/AO","95","90","26860","28880"
"In post","2023","16-19","Unknown","HM Prison and Probation Service","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","HM Revenue and Customs (excl. agencies)","AA/AO","65","65","22790","22520"
"In post","2023","16-19","Unknown","HM Revenue and Customs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Home Office","AA/AO","105","95","23090","22400"
"In post","2023","16-19","Unknown","Home Office","EO","30","30","27000","25750"
"In post","2023","16-19","Unknown","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","AA/AO","30","30","22140","22220"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Public Guardian","AA/AO","5","5","[c]","[c]"
