"Status","Year","Age","Disability","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Heterosexual / straight","35","35","21560","20980"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Heterosexual / straight","45","40","21630","22500"
"In post","2023","16-19","Declared non-disabled","Department for Transport","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Heterosexual / straight","55","55","23130","21690"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Heterosexual / straight","90","85","23310","22520"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Heterosexual / straight","35","35","20080","19460"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Heterosexual / straight","175","170","25860","25650"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","LGBO","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Welsh Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
