"Status","Year","Function_of_post","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","130","130","43020","37350"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Male","Unknown","30","30","42360","39080"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","45","45","50750","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","65","65","51000","56300"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Female","Heterosexual / straight","260","240","45680","43490"
"In post","2023","Analysis","Department for Education","Female","LGBO","35","30","44250","43250"
"In post","2023","Analysis","Department for Education","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Education","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Education","Male","Heterosexual / straight","200","200","46850","46600"
"In post","2023","Analysis","Department for Education","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Male","Undeclared","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Education","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","105","95","35000","30820"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Female","Unknown","125","115","32380","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","105","105","37200","30820"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Male","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Male","Unknown","155","150","37660","37300"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Female","Heterosexual / straight","65","60","47180","42460"
"In post","2023","Analysis","Department for International Trade","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Male","Heterosexual / straight","100","100","50290","55370"
"In post","2023","Analysis","Department for International Trade","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Male","Unknown","35","35","50990","55370"
"In post","2023","Analysis","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Female","Heterosexual / straight","85","80","47440","49700"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Male","Heterosexual / straight","135","130","49460","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Female","Heterosexual / straight","130","120","48170","44140"
"In post","2023","Analysis","Department for Transport","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Female","Unknown","35","35","42760","39430"
"In post","2023","Analysis","Department for Transport","Male","Heterosexual / straight","140","135","47970","50340"
"In post","2023","Analysis","Department for Transport","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Male","Undeclared","25","20","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Male","Unknown","50","50","45520","43320"
"In post","2023","Analysis","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Female","Heterosexual / straight","265","240","46290","41510"
"In post","2023","Analysis","Department for Work and Pensions","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Female","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Male","Heterosexual / straight","245","240","45630","39150"
"In post","2023","Analysis","Department for Work and Pensions","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Male","Undeclared","35","30","42790","39150"
"In post","2023","Analysis","Department for Work and Pensions","Male","Unknown","50","50","47700","43760"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Female","Heterosexual / straight","100","95","43690","41480"
"In post","2023","Analysis","Department of Health and Social Care","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Female","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Male","Heterosexual / straight","80","80","48520","50960"
"In post","2023","Analysis","Department of Health and Social Care","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Female","Heterosexual / straight","250","230","50550","45560"
"In post","2023","Analysis","HM Revenue and Customs","Female","LGBO","35","35","46270","41780"
"In post","2023","Analysis","HM Revenue and Customs","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Female","Unknown","50","50","43150","42100"
"In post","2023","Analysis","HM Revenue and Customs","Male","Heterosexual / straight","330","325","50240","45370"
"In post","2023","Analysis","HM Revenue and Customs","Male","LGBO","40","40","48470","45370"
"In post","2023","Analysis","HM Revenue and Customs","Male","Undeclared","30","30","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Male","Unknown","80","75","44310","41780"
"In post","2023","Analysis","HM Revenue and Customs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Female","Heterosexual / straight","65","65","44820","41360"
"In post","2023","Analysis","HM Treasury","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Male","Heterosexual / straight","100","100","46870","42510"
"In post","2023","Analysis","HM Treasury","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Female","Heterosexual / straight","165","155","48200","44710"
"In post","2023","Analysis","Home Office","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Home Office","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Home Office","Female","Unknown","95","95","37370","36580"
"In post","2023","Analysis","Home Office","Male","Heterosexual / straight","165","160","49610","44170"
"In post","2023","Analysis","Home Office","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Home Office","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Home Office","Male","Unknown","90","90","40170","36710"
"In post","2023","Analysis","Home Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","Female","Heterosexual / straight","280","260","43270","39890"
"In post","2023","Analysis","Ministry of Defence","Female","LGBO","40","40","37130","34120"
"In post","2023","Analysis","Ministry of Defence","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","Female","Unknown","85","85","42090","39890"
"In post","2023","Analysis","Ministry of Defence","Male","Heterosexual / straight","655","635","45440","46390"
"In post","2023","Analysis","Ministry of Defence","Male","LGBO","35","35","39170","39890"
"In post","2023","Analysis","Ministry of Defence","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","Male","Unknown","235","235","44190","45750"
"In post","2023","Analysis","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","Female","Heterosexual / straight","255","245","48170","43650"
"In post","2023","Analysis","Ministry of Justice","Female","LGBO","30","30","42630","38090"
"In post","2023","Analysis","Ministry of Justice","Female","Undeclared","30","25","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","Female","Unknown","70","70","43980","40960"
"In post","2023","Analysis","Ministry of Justice","Male","Heterosexual / straight","220","215","47390","43650"
"In post","2023","Analysis","Ministry of Justice","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","Male","Undeclared","35","35","47760","43650"
"In post","2023","Analysis","Ministry of Justice","Male","Unknown","95","95","42470","37680"
"In post","2023","Analysis","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Female","Heterosexual / straight","65","60","44150","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Female","Undeclared","10","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Male","Heterosexual / straight","70","70","42940","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Female","Heterosexual / straight","40","40","44640","38070"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Male","Heterosexual / straight","65","65","48710","45730"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Male","Heterosexual / straight","30","30","53680","53410"
"In post","2023","Analysis","Office of Rail and Road","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Female","Heterosexual / straight","760","715","39660","38680"
"In post","2023","Analysis","UK Statistics Authority","Female","LGBO","100","95","36970","32170"
"In post","2023","Analysis","UK Statistics Authority","Female","Undeclared","55","55","36880","34560"
"In post","2023","Analysis","UK Statistics Authority","Female","Unknown","175","160","38570","37760"
"In post","2023","Analysis","UK Statistics Authority","Male","Heterosexual / straight","540","525","40190","37760"
"In post","2023","Analysis","UK Statistics Authority","Male","LGBO","55","55","36720","32170"
"In post","2023","Analysis","UK Statistics Authority","Male","Undeclared","40","40","38580","37690"
"In post","2023","Analysis","UK Statistics Authority","Male","Unknown","190","185","41470","37760"
"In post","2023","Analysis","UK Statistics Authority","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Female","LGBO","[c]","[c]","[c]","[c]"
