"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SEO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","AO","35","30","21550","21520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","270","250","25790","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G7","15","15","55790","53650"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","HEO","400","365","33770","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO","110","100","42830","41440"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AO","775","725","22630","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","EO","645","615","27010","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G6","30","30","62340","61900"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G7","70","70","51310","49970"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","HEO","355","340","31420","30320"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SEO","220","205","38840","37300"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","HEO","10","10","30690","30320"
"In post","2023","Animal and Plant Health Agency","Project Delivery","SEO","10","10","38830","37500"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AO","160","150","24590","25340"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","EO","150","140","28610","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G6","15","10","64970","64850"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G7","45","40","53300","54330"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","HEO","125","120","33440","33830"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SEO","80","75","40340","40260"
"In post","2023","Animal and Plant Health Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","EO","25","25","25920","25920"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G6","25","20","62510","61270"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G7","80","75","52710","52330"
"In post","2023","Animal and Plant Health Agency","Veterinarian","HEO","10","10","30330","30320"
"In post","2023","Animal and Plant Health Agency","Veterinarian","SEO","180","165","40380","38200"
"In post","2023","Attorney General's Office","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","HEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","HEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","HEO","15","15","37860","39040"
"In post","2023","Building Digital UK","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","G7","10","10","53960","54010"
"In post","2023","Building Digital UK","Other","HEO","30","30","34660","35040"
"In post","2023","Building Digital UK","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","EO","15","15","26890","27230"
"In post","2023","Building Digital UK","Project Delivery","G6","15","15","64970","64480"
"In post","2023","Building Digital UK","Project Delivery","G7","60","60","53120","53030"
"In post","2023","Building Digital UK","Project Delivery","HEO","25","25","33930","34000"
"In post","2023","Building Digital UK","Project Delivery","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","EO","15","15","27720","28370"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","G6","20","20","67630","67540"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","G7","50","45","55260","56430"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","HEO","20","20","34270","33020"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","SCS level","25","25","111750","106940"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","SEO","25","25","39910","38820"
"In post","2023","Cabinet Office (excl. agencies)","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","G6","20","20","67450","66530"
"In post","2023","Cabinet Office (excl. agencies)","Communications","G7","45","45","57530","56430"
"In post","2023","Cabinet Office (excl. agencies)","Communications","HEO","30","30","36510","35650"
"In post","2023","Cabinet Office (excl. agencies)","Communications","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","SEO","40","40","41700","41870"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","G7","10","10","55830","56430"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","EO","40","40","27570","28370"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","G6","120","120","67220","66530"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","G7","495","485","56140","56430"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","HEO","145","145","34740","35240"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","SCS level","45","45","102170","98000"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","SEO","185","185","40960","41870"
"In post","2023","Cabinet Office (excl. agencies)","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","G7","10","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","HEO","10","10","35530","35440"
"In post","2023","Cabinet Office (excl. agencies)","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","EO","15","15","27720","28370"
"In post","2023","Cabinet Office (excl. agencies)","Finance","G6","15","15","68040","66610"
"In post","2023","Cabinet Office (excl. agencies)","Finance","G7","15","15","57270","56430"
"In post","2023","Cabinet Office (excl. agencies)","Finance","HEO","25","25","35230","35650"
"In post","2023","Cabinet Office (excl. agencies)","Finance","SCS level","20","15","122870","118450"
"In post","2023","Cabinet Office (excl. agencies)","Finance","SEO","20","20","41920","41870"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","AO","130","115","21810","21720"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","EO","140","130","26620","26300"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","G6","65","65","66710","66530"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","G7","195","185","55750","56430"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","HEO","160","150","33990","33980"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","SCS level","40","35","88870","78510"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","SEO","160","155","40590","40940"
"In post","2023","Cabinet Office (excl. agencies)","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","AO","10","10","23860","25280"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","EO","15","10","28350","28370"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","G7","15","15","56700","56430"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","HEO","10","10","35810","35650"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","SCS level","55","50","86860","81600"
"In post","2023","Cabinet Office (excl. agencies)","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Policy","EO","10","10","27150","28370"
"In post","2023","Cabinet Office (excl. agencies)","Policy","G6","45","45","67080","66530"
"In post","2023","Cabinet Office (excl. agencies)","Policy","G7","150","145","56100","56430"
"In post","2023","Cabinet Office (excl. agencies)","Policy","HEO","65","65","35320","35650"
"In post","2023","Cabinet Office (excl. agencies)","Policy","SCS level","15","15","89220","83210"
"In post","2023","Cabinet Office (excl. agencies)","Policy","SEO","95","95","41480","41870"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","G6","10","10","66390","66530"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","G7","30","30","56620","56430"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","HEO","20","20","33740","33020"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","SCS level","10","10","103880","91700"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","SEO","10","10","40100","40800"
"In post","2023","Cabinet Office (excl. agencies)","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","G7","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Security","AO","35","35","23120","21830"
"In post","2023","Cabinet Office (excl. agencies)","Security","EO","25","25","27340","27430"
"In post","2023","Cabinet Office (excl. agencies)","Security","G6","25","25","67490","66530"
"In post","2023","Cabinet Office (excl. agencies)","Security","G7","30","30","59810","56430"
"In post","2023","Cabinet Office (excl. agencies)","Security","HEO","230","220","34790","34320"
"In post","2023","Cabinet Office (excl. agencies)","Security","SCS level","25","25","92410","82890"
"In post","2023","Cabinet Office (excl. agencies)","Security","SEO","25","25","41860","41870"
"In post","2023","Cabinet Office (excl. agencies)","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","AO","235","220","22820","21830"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","EO","480","460","27070","27430"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","G6","275","270","67190","66530"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","G7","590","575","56040","56430"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","HEO","400","390","34720","35240"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SCS level","195","190","93800","82730"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SEO","315","315","41240","41870"
"In post","2023","Central Civil Service Fast Stream","Commercial","HEO","90","90","30450","30130"
"In post","2023","Central Civil Service Fast Stream","Communications","HEO","10","10","33660","34250"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","HEO","155","155","30760","30130"
"In post","2023","Central Civil Service Fast Stream","Finance","HEO","90","90","31290","30130"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","HEO","260","260","30730","30130"
"In post","2023","Central Civil Service Fast Stream","Property","HEO","40","40","29690","30130"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","HEO","100","100","30250","30130"
"In post","2023","Central Civil Service Fast Stream","Statistics","HEO","115","110","31120","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","HEO","800","800","30670","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","G7","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","EO","15","15","25940","25920"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","G7","10","10","[c]","[c]"
