"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Charity Commission","Statistics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","London","95","85","65980","60600"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Outside London","15","15","56460","55130"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","London","30","30","57490","55950"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Outside London","15","15","37590","30650"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","Outside London","195","190","42650","42270"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Outside London","835","810","45100","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","130","130","40250","34670"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Outside London","20","20","31190","31120"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","London","25","25","49230","47060"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","London","60","60","52850","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","London","20","20","52070","56900"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","London","15","15","47790","42850"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","London","55","55","54930","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Outside London","30","30","41340","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","London","35","35","52250","47410"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Outside London","55","55","44140","43290"
"In post","2023","Analysis","Department for Education (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","London","50","45","49350","47410"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Outside London","85","80","45710","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","London","75","70","48560","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Outside London","170","160","43660","43250"
"In post","2023","Analysis","Department for International Trade","Economics","London","130","130","50130","55370"
"In post","2023","Analysis","Department for International Trade","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","London","15","15","42050","35200"
"In post","2023","Analysis","Department for International Trade","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","London","10","10","51940","47270"
"In post","2023","Analysis","Department for International Trade","Social Research","London","30","25","48800","49000"
"In post","2023","Analysis","Department for International Trade","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","London","55","55","48450","47550"
"In post","2023","Analysis","Department for International Trade","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","London","55","55","50220","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","London","25","25","53860","56370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","London","125","125","48240","44180"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Outside London","30","30","40100","37060"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","London","160","155","51860","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","London","15","10","51180","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","London","30","30","53930","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","London","45","40","53610","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","London","65","65","46680","43750"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","Outside London","10","10","37240","36110"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","London","20","20","50010","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Outside London","15","15","46120","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Outside London","15","15","37970","34570"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","Outside London","20","20","34220","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","Outside London","15","15","44560","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","London","25","25","44610","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","Outside London","25","20","33910","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","London","95","95","50140","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Outside London","105","95","44760","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","Outside London","10","10","37570","36320"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","London","25","20","48200","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","Outside London","25","20","47710","43770"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","London","45","40","54800","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Outside London","160","155","43250","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","London","20","20","51150","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","Outside London","10","10","41890","37380"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","London","15","15","50040","52740"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","Outside London","10","10","46460","51830"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Other","Outside London","15","15","46130","42480"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","London","15","15","54640","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","London","25","25","54050","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Outside London","35","35","47180","50830"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","Outside London","50","50","30540","28780"
"In post","2023","Analysis","Education and Skills Funding Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Statistics","Outside London","20","20","39600","37590"
"In post","2023","Analysis","Estyn","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Economics","London","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Intelligence Analysis","Outside London","15","15","33490","32390"
"In post","2023","Analysis","Food Standards Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Social Research","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","London","40","40","52250","53500"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Other","London","170","160","72380","67430"
"In post","2023","Analysis","Government Actuary's Department","Other","Outside London","15","10","70680","70000"
"In post","2023","Analysis","Government Legal Department","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Delivery","London","20","20","47180","43650"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Delivery","Outside London","15","15","34590","31270"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Research","London","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Statistics","London","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Finance","London","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Finance","Outside London","20","20","41440","39520"
"In post","2023","Analysis","HM Prison and Probation Service","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Statistics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Economics","London","95","95","51500","45170"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Outside London","55","55","39590","34700"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","London","15","10","39380","34370"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outside London","15","15","39680","36990"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","London","40","35","51400","45950"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Outside London","65","65","49080","42900"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","London","70","65","55170","53460"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Outside London","65","60","44730","41780"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","London","175","170","54570","45990"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Outside London","150","145","44410","42140"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Tax","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","London","15","15","57380","59180"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Economics","London","155","155","45890","40330"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Economics","Outside London","15","15","38320","32790"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Statistics","London","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Science and Engineering","Outside London","40","35","43140","40840"
"In post","2023","Analysis","Health and Safety Executive","Statistics","Outside London","15","15","50100","59400"
"In post","2023","Analysis","Home Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Digital, Data and Technology","Outside London","15","15","37670","32160"
"In post","2023","Analysis","Home Office","Economics","London","105","105","49860","44170"
"In post","2023","Analysis","Home Office","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Home Office","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Operational Delivery","London","30","30","39580","36310"
"In post","2023","Analysis","Home Office","Operational Delivery","Outside London","30","30","40270","35610"
"In post","2023","Analysis","Home Office","Operational Research","London","55","55","51240","45750"
"In post","2023","Analysis","Home Office","Operational Research","Outside London","10","10","48030","55090"
"In post","2023","Analysis","Home Office","Other","London","30","25","38180","36180"
"In post","2023","Analysis","Home Office","Other","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","Policy","London","25","20","54520","59290"
"In post","2023","Analysis","Home Office","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Social Research","London","115","115","49340","44710"
"In post","2023","Analysis","Home Office","Social Research","Outside London","20","20","40830","39920"
"In post","2023","Analysis","Home Office","Statistics","London","95","95","40520","36730"
"In post","2023","Analysis","Home Office","Statistics","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Economics","London","5","5","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Intelligence Analysis","Outside London","30","30","34840","31750"
"In post","2023","Analysis","Intellectual Property Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Statistics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","London","45","45","29010","27840"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","London","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Statistics","London","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Statistics","London","140","140","46890","45750"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Statistics","Outside London","180","175","39180","36990"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","London","70","70","48100","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Outside London","25","25","42700","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Economics","London","65","65","47480","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Operational Research","London","85","85","52890","55720"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Operational Research","Outside London","15","15","42980","39590"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Other","London","95","90","41650","36110"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Other","Outside London","75","75","35670","33610"
