"Status","Year","Region_ITL2","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","SEO/HEO","95","90","35360","34170"
"In post","2023","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","Unknown","150","140","30290","29050"
"In post","2023","Eastern Scotland","Angus and Dundee City","Outside London","AA/AO","1145","1060","22800","22180"
"In post","2023","Eastern Scotland","Angus and Dundee City","Outside London","EO","875","830","29170","29100"
"In post","2023","Eastern Scotland","Angus and Dundee City","Outside London","G6/G7","120","115","63980","65280"
"In post","2023","Eastern Scotland","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Eastern Scotland","Angus and Dundee City","Outside London","SEO/HEO","390","375","37610","35020"
"In post","2023","Eastern Scotland","City of Edinburgh","Outside London","AA/AO","2920","2780","24690","24490"
"In post","2023","Eastern Scotland","City of Edinburgh","Outside London","EO","2770","2635","30720","29730"
"In post","2023","Eastern Scotland","City of Edinburgh","Outside London","G6/G7","2925","2795","64990","65280"
"In post","2023","Eastern Scotland","City of Edinburgh","Outside London","SCS level","260","250","91980","85200"
"In post","2023","Eastern Scotland","City of Edinburgh","Outside London","SEO/HEO","5275","5065","41060","40510"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Outside London","AA/AO","390","365","24850","24490"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Outside London","EO","495","460","31820","29450"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Outside London","G6/G7","65","65","62040","56930"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Outside London","SEO/HEO","280","260","38870","38470"
"In post","2023","Eastern Scotland","Clackmannanshire and Fife","Outside London","Unknown","25","25","49160","51560"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Outside London","AA/AO","10","10","22080","21690"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Outside London","EO","90","80","28170","28120"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Outside London","G6/G7","15","10","63620","65280"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Eastern Scotland","East Lothian and Midlothian","Outside London","SEO/HEO","25","25","37040","34970"
"In post","2023","Eastern Scotland","Falkirk","Outside London","AA/AO","750","635","23080","21690"
"In post","2023","Eastern Scotland","Falkirk","Outside London","EO","725","650","31060","28120"
"In post","2023","Eastern Scotland","Falkirk","Outside London","G6/G7","70","65","62010","56620"
"In post","2023","Eastern Scotland","Falkirk","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Eastern Scotland","Falkirk","Outside London","SEO/HEO","225","210","39270","38470"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","AA/AO","475","450","25650","25010"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","EO","575","535","33160","31970"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","G6/G7","85","80","59800","57260"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","SEO/HEO","265","250","41670","41570"
"In post","2023","Eastern Scotland","West Lothian","Outside London","AA/AO","135","125","24870","24690"
"In post","2023","Eastern Scotland","West Lothian","Outside London","EO","155","140","29430","28120"
"In post","2023","Eastern Scotland","West Lothian","Outside London","G6/G7","75","75","66040","65280"
"In post","2023","Eastern Scotland","West Lothian","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Eastern Scotland","West Lothian","Outside London","SEO/HEO","85","85","40950","40510"
"In post","2023","Essex","Essex Haven Gateway","Outside London","AA/AO","185","170","24250","22490"
"In post","2023","Essex","Essex Haven Gateway","Outside London","EO","400","370","29760","31280"
"In post","2023","Essex","Essex Haven Gateway","Outside London","G6/G7","40","35","63150","59840"
"In post","2023","Essex","Essex Haven Gateway","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Essex","Essex Haven Gateway","Outside London","SEO/HEO","190","185","38740","37520"
"In post","2023","Essex","Essex Haven Gateway","Outside London","Unknown","105","95","30070","26840"
"In post","2023","Essex","Essex Thames Gateway","Outside London","AA/AO","350","315","24890","25610"
"In post","2023","Essex","Essex Thames Gateway","Outside London","EO","360","320","31190","31280"
"In post","2023","Essex","Essex Thames Gateway","Outside London","G6/G7","15","15","57230","55150"
"In post","2023","Essex","Essex Thames Gateway","Outside London","SEO/HEO","80","75","38820","37520"
"In post","2023","Essex","Essex Thames Gateway","Outside London","Unknown","120","110","29380","26840"
"In post","2023","Essex","Heart of Essex","Outside London","AA/AO","465","430","26800","25340"
"In post","2023","Essex","Heart of Essex","Outside London","EO","290","275","30710","30560"
"In post","2023","Essex","Heart of Essex","Outside London","G6/G7","120","115","62200","59590"
"In post","2023","Essex","Heart of Essex","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Essex","Heart of Essex","Outside London","SEO/HEO","195","190","39760","38910"
"In post","2023","Essex","Heart of Essex","Outside London","Unknown","155","145","29520","26840"
"In post","2023","Essex","Southend-on-Sea","Outside London","AA/AO","110","90","23280","22520"
