"Status","Year","Organisation","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","Heterosexual / straight","35","30","43240","35620"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","Undeclared","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","Heterosexual / straight","90","90","49510","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","Undeclared","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","Heterosexual / straight","110","110","57500","54220"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","Undeclared","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","Heterosexual / straight","85","85","52510","55250"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","Unknown","45","45","51390","56110"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Heterosexual / straight","710","700","52400","55790"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","LGBO","100","95","51100","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Undeclared","100","95","53010","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Unknown","125","120","53160","55790"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Heterosexual / straight","85","85","58570","44580"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Heterosexual / straight","715","675","42010","38460"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","LGBO","50","50","44660","43620"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Undeclared","50","50","42550","38660"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Unknown","70","70","37700","35650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","Heterosexual / straight","35","35","39010","35650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","Heterosexual / straight","40","40","80150","81600"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Heterosexual / straight","230","225","50470","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","LGBO","40","40","44690","41410"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Undeclared","40","35","50440","43810"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Unknown","75","70","54520","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","Heterosexual / straight","65","65","57720","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","Heterosexual / straight","265","255","41150","34320"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","Undeclared","30","30","39410","34320"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","Unknown","75","70","42760","35650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Heterosexual / straight","1600","1550","45670","41160"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","LGBO","195","190","44800","41460"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Undeclared","160","160","46400","44240"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Unknown","535","525","48340","41870"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Commercial","Unknown","80","80","30280","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","Unknown","115","115","30160","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","Unknown","55","55","30470","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","Heterosexual / straight","60","60","32760","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","Unknown","190","190","30020","28840"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Property","Unknown","35","35","29650","28840"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","Unknown","70","70","29540","28840"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Statistics","Heterosexual / straight","35","35","33140","32960"
