"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Commercial","EO","420","395","27720","27250"
"In post","2023","Declared non-disabled","Commercial","G6/G7","1620","1585","63240","62030"
"In post","2023","Declared non-disabled","Commercial","SCS level","215","210","114980","109590"
"In post","2023","Declared non-disabled","Commercial","SEO/HEO","2070","2005","38530","38210"
"In post","2023","Declared non-disabled","Commercial","Unknown","110","110","44160","42620"
"In post","2023","Declared non-disabled","Communications","AA/AO","105","95","23160","22350"
"In post","2023","Declared non-disabled","Communications","EO","295","275","28740","28300"
"In post","2023","Declared non-disabled","Communications","G6/G7","695","675","59980","58160"
"In post","2023","Declared non-disabled","Communications","SCS level","85","85","91510","84210"
"In post","2023","Declared non-disabled","Communications","SEO/HEO","1295","1240","39210","39590"
"In post","2023","Declared non-disabled","Communications","Unknown","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","AA/AO","1510","1320","23180","22520"
"In post","2023","Declared non-disabled","Counter Fraud","EO","4965","4565","29130","28120"
"In post","2023","Declared non-disabled","Counter Fraud","G6/G7","895","855","62300","58370"
"In post","2023","Declared non-disabled","Counter Fraud","SCS level","35","35","83060","80500"
"In post","2023","Declared non-disabled","Counter Fraud","SEO/HEO","4025","3845","37910","35240"
"In post","2023","Declared non-disabled","Debt","AA/AO","3515","3115","22530","22520"
"In post","2023","Declared non-disabled","Debt","EO","895","815","28800","28130"
"In post","2023","Declared non-disabled","Debt","G6/G7","35","35","61090","57970"
"In post","2023","Declared non-disabled","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","SEO/HEO","300","275","36890","35000"
"In post","2023","Declared non-disabled","Digital, Data & Technology","AA/AO","525","505","22500","22220"
"In post","2023","Declared non-disabled","Digital, Data & Technology","EO","2350","2230","28380","28120"
"In post","2023","Declared non-disabled","Digital, Data & Technology","G6/G7","5190","5080","59050","57440"
"In post","2023","Declared non-disabled","Digital, Data & Technology","SCS level","255","255","94110","87400"
"In post","2023","Declared non-disabled","Digital, Data & Technology","SEO/HEO","8395","8160","38750","38470"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Unknown","50","50","37060","33390"
"In post","2023","Declared non-disabled","Finance","AA/AO","1110","950","22760","22520"
"In post","2023","Declared non-disabled","Finance","EO","1305","1230","28330","28120"
"In post","2023","Declared non-disabled","Finance","G6/G7","2035","1980","60100","58440"
"In post","2023","Declared non-disabled","Finance","SCS level","245","235","90890","82560"
"In post","2023","Declared non-disabled","Finance","SEO/HEO","3820","3680","38860","38470"
"In post","2023","Declared non-disabled","Finance","Unknown","45","45","53910","48680"
"In post","2023","Declared non-disabled","Grants Management","AA/AO","720","655","22130","22150"
"In post","2023","Declared non-disabled","Grants Management","EO","375","355","26050","25920"
"In post","2023","Declared non-disabled","Grants Management","G6/G7","65","65","54460","51280"
"In post","2023","Declared non-disabled","Grants Management","SCS level","[c]","[c]","[c]","[c]"
