"Status","Year","Age","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","No function","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Heterosexual / straight","355","345","24110","23230"
"In post","2023","16-19","No function","Operational Delivery","LGBO","40","40","24500","23230"
"In post","2023","16-19","No function","Operational Delivery","Undeclared","20","20","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","Unknown","350","325","23720","22520"
"In post","2023","16-19","No function","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","No function","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Other","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Policy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","No function","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Science and Engineering","Heterosexual / straight","30","30","19560","18780"
"In post","2023","16-19","No function","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Science and Engineering","Unknown","35","35","18790","18280"
"In post","2023","16-19","No function","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Science and Engineering","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Property","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Other","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Property","Property","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Property","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Property","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Security","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","Unknown","30","30","19620","17650"
"In post","2023","16-19","Unknown","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Science and Engineering","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","35","35","22860","22180"
"In post","2023","20-29","Analysis","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","20-29","Analysis","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Digital, Data and Technology","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Analysis","Economics","Heterosexual / straight","700","700","39920","36430"
"In post","2023","20-29","Analysis","Economics","LGBO","85","85","40080","35940"
"In post","2023","20-29","Analysis","Economics","Undeclared","65","65","36930","35000"
"In post","2023","20-29","Analysis","Economics","Unknown","215","210","39490","35880"
"In post","2023","20-29","Analysis","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","Heterosexual / straight","95","95","33300","31060"
"In post","2023","20-29","Analysis","Operational Delivery","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","Unknown","40","40","31560","31060"
"In post","2023","20-29","Analysis","Operational Research","Heterosexual / straight","150","150","38160","35730"
"In post","2023","20-29","Analysis","Operational Research","LGBO","35","35","38710","37680"
"In post","2023","20-29","Analysis","Operational Research","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Research","Unknown","60","60","36640","36000"
"In post","2023","20-29","Analysis","Other","Heterosexual / straight","85","85","36460","32940"
"In post","2023","20-29","Analysis","Other","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Other","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Other","Unknown","35","35","38910","35780"
"In post","2023","20-29","Analysis","Policy","Heterosexual / straight","75","75","39780","38470"
"In post","2023","20-29","Analysis","Policy","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Policy","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Policy","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Analysis","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Science and Engineering","Heterosexual / straight","155","155","33200","30650"
"In post","2023","20-29","Analysis","Science and Engineering","LGBO","30","30","[c]","[c]"
"In post","2023","20-29","Analysis","Science and Engineering","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Science and Engineering","Unknown","115","115","29830","30320"
"In post","2023","20-29","Analysis","Social Research","Heterosexual / straight","380","380","39110","39150"
"In post","2023","20-29","Analysis","Social Research","LGBO","75","75","36320","34180"
"In post","2023","20-29","Analysis","Social Research","Undeclared","35","35","39770","39190"
"In post","2023","20-29","Analysis","Social Research","Unknown","80","80","38540","37260"
"In post","2023","20-29","Analysis","Statistics","Heterosexual / straight","565","560","38200","35760"
"In post","2023","20-29","Analysis","Statistics","LGBO","110","110","38770","36990"
"In post","2023","20-29","Analysis","Statistics","Undeclared","50","50","36650","34480"
"In post","2023","20-29","Analysis","Statistics","Unknown","235","235","35010","31640"
"In post","2023","20-29","Analysis","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","Heterosexual / straight","30","30","35950","34400"
"In post","2023","20-29","Analysis","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Commercial","Heterosexual / straight","615","610","34810","32500"
"In post","2023","20-29","Commercial","Commercial","LGBO","70","70","37420","35400"
"In post","2023","20-29","Commercial","Commercial","Undeclared","40","40","36500","35330"
"In post","2023","20-29","Commercial","Commercial","Unknown","305","305","35290","30350"
"In post","2023","20-29","Commercial","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","Heterosexual / straight","60","60","38540","35920"
"In post","2023","20-29","Commercial","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Other","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Commercial","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Other","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Communications","Heterosexual / straight","425","425","35790","34250"
"In post","2023","20-29","Communications","Communications","LGBO","65","65","35080","34020"
"In post","2023","20-29","Communications","Communications","Undeclared","40","40","35040","35050"
"In post","2023","20-29","Communications","Communications","Unknown","210","210","37710","37670"
"In post","2023","20-29","Communications","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Other","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Counter Fraud","Heterosexual / straight","850","840","29300","28120"
"In post","2023","20-29","Counter Fraud","Counter Fraud","LGBO","95","95","29540","28120"
