"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","EO","25","25","30860","30920"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","G6","45","40","68810","68020"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","G7","140","135","56480","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","HEO","70","70","34290","35400"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","SCS level","10","10","78740","78980"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","SEO","65","65","43150","43750"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","50","45","29230","28210"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6","40","40","72990","70570"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G7","165","155","57110","56360"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","HEO","200","195","36280","34810"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO","145","130","41240","38750"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6","20","20","68550","67890"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G7","65","60","54210","54670"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","HEO","35","35","33070","34190"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO","30","30","40540","41210"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","AO","15","15","22500","22500"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","EO","10","10","27530","27320"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","HEO","15","15","34430","33850"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","SEO","10","10","39980","38210"
"In post","2023","Analysis","Estyn","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","HEO","15","15","33210","33000"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","SEO","20","20","40590","41160"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AO","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6","10","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G7","15","15","58170","58340"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","HEO","15","15","35170","34400"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","EO","15","15","30090","30090"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","G6","105","95","92800","86150"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","G7","15","15","59120","58970"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","HEO","25","25","36310","36740"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","SEO","25","25","48540","48410"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","G7","15","15","59250","60360"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","HEO","20","20","34770","35410"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","SEO","20","20","42070","43650"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","G7","10","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","HEO","10","10","35820","34850"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Ministry of Justice","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Ministry of Justice","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","40","40","30110","28130"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6","60","60","75280","77850"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G7","215","205","61150","61530"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","HEO","220","215","37220","39110"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","15","15","85580","83590"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO","220","210","44010","44320"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","AO","10","10","23210","23210"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","EO","20","20","25050","24790"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","G6","20","20","65220","64950"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","G7","50","50","54960","54090"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","HEO","65","65","35090","33820"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","G7","20","20","58930","59400"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","HEO","15","15","34200","33150"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","SEO","20","15","41450","40840"
"In post","2023","Analysis","Home Office","Home Office","AA","25","25","23180","23500"
"In post","2023","Analysis","Home Office","Home Office","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Home Office","Home Office","EO","50","50","29640","29890"
"In post","2023","Analysis","Home Office","Home Office","G6","35","35","71210","70840"
"In post","2023","Analysis","Home Office","Home Office","G7","135","130","60790","61260"
"In post","2023","Analysis","Home Office","Home Office","HEO","160","155","35510","36180"
"In post","2023","Analysis","Home Office","Home Office","SCS level","10","10","83830","81390"
"In post","2023","Analysis","Home Office","Home Office","SEO","155","155","43570","43780"
"In post","2023","Analysis","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","10","10","26260","25040"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G7","10","10","60080","60230"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","HEO","10","10","32400","31750"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO","15","15","42540","41640"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","EO","35","35","28050","27840"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G6","10","10","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SEO","15","15","41540","41480"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","AO","10","10","23920","23560"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","50","50","29300","29140"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","G6","10","10","69190","69140"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","G7","45","45","59070","59530"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","HEO","105","105","36690","36990"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO","95","95","44600","44800"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","50","45","29400","29660"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","G6","50","45","70090","69140"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","G7","195","190","58500","60150"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","HEO","180","175","34280","35410"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SCS level","10","10","83360","82510"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO","205","200","42520","43650"
"In post","2023","Analysis","National Infrastructure Commission","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","HM Treasury","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","HM Treasury","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","G7","10","10","54630","50590"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","G7","15","15","56350","54810"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","EO","25","25","27410","27140"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G7","25","25","61890","61480"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","HEO","60","55","33750","33130"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SEO","50","50","41370","41050"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","25","25","26830","26130"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6","40","40","69730","67320"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G7","40","40","51940","48720"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","HEO","35","35","34210","33400"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO","20","20","39440","40000"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","G6","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","G7","25","20","58620","57150"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","SEO","10","10","42560","41620"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","EO","15","15","26060","25920"
"In post","2023","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
