"Status","Year","Organisation","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","HEO","20","20","33370","33680"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Swansea","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Thurrock","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","EO","55","50","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","HEO","60","55","33070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","SEO","15","15","41690","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Warwickshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","AO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","EO","25","20","29820","30330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","G7","20","20","61250","60400"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","HEO","65","60","38430","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","SEO","45","40","48180","48480"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","AO","55","55","22150","22150"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Buckinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Calderdale and Kirklees","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","HEO","10","10","30670","30320"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","AO","45","40","22120","22150"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","EO","20","20","26020","25920"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","HEO","10","10","30320","30320"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","SEO","15","15","37840","37300"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","EO","15","15","27370","26230"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
