"Status","Year","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","The Insolvency Service","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","210","195","38430","37760"
"In post","2023","Declared disabled","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Animal and Plant Health Agency","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office (excl. agencies)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Civil Service Fast Stream","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Crown Commercial Service","30","30","39220","39860"
"In post","2023","Declared disabled","Commercial","Crown Prosecution Service","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Defence Equipment and Support","95","90","41190","42620"
"In post","2023","Declared disabled","Commercial","Defence Science and Technology Laboratory","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Driver and Vehicle Licensing Agency","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","FCDO Services","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Government Commercial Organisation","165","165","73110","67260"
"In post","2023","Declared disabled","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs (excl. agencies)","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Health and Safety Executive","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Met Office","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","100","100","39870","38680"
"In post","2023","Declared disabled","Commercial","Ministry of Justice (excl. agencies)","35","35","37250","36340"
"In post","2023","Declared disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Prison Service","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Submarine Delivery Agency","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Crown Prosecution Service","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","25","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions (excl. agencies)","35","35","43310","39730"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Driver and Vehicle Licensing Agency","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Driver and Vehicle Standards Agency","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Land Registry","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Revenue and Customs (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Met Office","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Defence (excl. agencies)","45","45","36070","34300"
"In post","2023","Declared disabled","Communications","Ministry of Justice (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Rural Payments Agency","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Health Security Agency","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Statistics Authority","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Valuation Office Agency","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Cabinet Office (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Companies House","15","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Department for Work and Pensions (excl. agencies)","1275","1135","29270","28120"
"In post","2023","Declared disabled","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","850","785","36440","34700"
"In post","2023","Declared disabled","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Serious Fraud Office","15","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","The Insolvency Service","25","25","[c]","[c]"
"In post","2023","Declared disabled","Debt","Department for Work and Pensions (excl. agencies)","485","410","23400","21690"
"In post","2023","Declared disabled","Debt","HM Revenue and Customs (excl. agencies)","440","395","25750","22520"
"In post","2023","Declared disabled","Debt","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Animal and Plant Health Agency","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Cabinet Office (excl. agencies)","140","135","50580","55400"
"In post","2023","Declared disabled","Digital, Data & Technology","Central Civil Service Fast Stream","35","35","30680","30130"
"In post","2023","Declared disabled","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Companies House","15","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Crown Commercial Service","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Defence Equipment and Support","65","60","35750","33200"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Education (excl. agencies)","100","95","39650","37590"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","120","115","44640","49400"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for International Trade","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Transport (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","495","470","40920","34970"
"In post","2023","Declared disabled","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Driver and Vehicle Licensing Agency","50","50","40360","38660"
"In post","2023","Declared disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Education and Skills Funding Agency","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","FCDO Services","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Food Standards Agency","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","30","30","49330","46820"
"In post","2023","Declared disabled","Digital, Data & Technology","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Courts and Tribunals Service","40","40","41380","37680"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Land Registry","55","50","38470","39460"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","315","305","43200","41780"
"In post","2023","Declared disabled","Digital, Data & Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Health and Safety Executive","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Home Office","115","115","50980","46630"
"In post","2023","Declared disabled","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Intellectual Property Office","15","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Met Office","150","140","35210","35230"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","310","300","34350","33830"
"In post","2023","Declared disabled","Digital, Data & Technology","Ministry of Justice (excl. agencies)","115","110","47480","45720"
"In post","2023","Declared disabled","Digital, Data & Technology","National Crime Agency","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Registers of Scotland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
