"Status","Year","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Home Office","Male","295","290","46750","43420"
"In post","2023","Analysis","Intellectual Property Office","Female","30","30","39830","32740"
"In post","2023","Analysis","Intellectual Property Office","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Female","50","50","35140","28220"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Female","140","135","42250","40140"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Male","185","180","42880","40350"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Female","350","340","47030","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Male","340","335","46240","43650"
"In post","2023","Analysis","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Female","10","10","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Female","90","80","42730","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Male","85","80","42660","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Female","55","55","44760","38070"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Male","110","110","48950","46250"
"In post","2023","Analysis","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Male","40","40","54760","53410"
"In post","2023","Analysis","Planning Inspectorate","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Male","35","35","31070","30320"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Female","10","10","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Male","25","25","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Female","5","5","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Female","1090","1025","39100","37760"
"In post","2023","Analysis","UK Statistics Authority","Male","825","805","40160","37760"
"In post","2023","Analysis","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","Female","35","35","44880","41500"
"In post","2023","Analysis","Valuation Office Agency","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Male","30","30","61260","52660"
"In post","2023","Analysis","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Female","50","45","32160","30320"
"In post","2023","Commercial","Animal and Plant Health Agency","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Female","130","125","49840","51290"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Male","80","75","52360","51290"
"In post","2023","Commercial","Central Civil Service Fast Stream","Female","50","50","30390","30130"
"In post","2023","Commercial","Central Civil Service Fast Stream","Male","45","45","30510","30130"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","Female","190","180","36590","33200"
"In post","2023","Commercial","Crown Commercial Service","Male","150","150","38590","40000"
"In post","2023","Commercial","Crown Prosecution Service","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","Female","490","455","40310","42620"
"In post","2023","Commercial","Defence Equipment and Support","Male","435","425","43870","42620"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Female","45","45","33550","30650"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Male","40","40","31210","30650"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Female","145","140","42100","39090"
"In post","2023","Commercial","Department for Education (excl. agencies)","Male","125","125","44130","40530"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","90","85","36290","37300"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","60","60","36980","37300"
"In post","2023","Commercial","Department for International Trade","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Female","70","65","48240","43750"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Male","80","80","51930","52760"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Female","60","60","41020","38120"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Male","30","30","46340","42120"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Female","95","80","33190","31510"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Male","90","85","34610","31660"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Female","30","30","36970","35450"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","FCDO Services","Female","45","45","47220","40750"
"In post","2023","Commercial","FCDO Services","Male","35","35","50610","49670"
"In post","2023","Commercial","Food Standards Agency","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Female","40","35","40060","40700"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Male","30","30","44700","44620"
"In post","2023","Commercial","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Female","700","685","71100","66270"
"In post","2023","Commercial","Government Commercial Organisation","Male","790","790","77370","68720"
"In post","2023","Commercial","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Female","70","65","38190","41780"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Male","70","70","39840","35030"
"In post","2023","Commercial","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Health and Safety Executive","Female","30","30","36530","29150"
"In post","2023","Commercial","Health and Safety Executive","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Home Office","Female","60","55","40640","39190"
"In post","2023","Commercial","Home Office","Male","65","65","40940","40380"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Intellectual Property Office","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Intellectual Property Office","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Met Office","Female","95","85","42500","40420"
"In post","2023","Commercial","Met Office","Male","70","70","45960","47960"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Female","600","575","37190","35490"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Male","405","395","39360","35800"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Female","150","145","36180","37680"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Male","130","130","35620","35410"
"In post","2023","Commercial","National Crime Agency","Female","20","20","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","Male","10","10","[c]","[c]"
"In post","2023","Commercial","National Savings and Investments","Female","5","5","[c]","[c]"
"In post","2023","Commercial","National Savings and Investments","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Planning Inspectorate","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Scottish Prison Service","Female","40","35","33450","28490"
"In post","2023","Commercial","Scottish Prison Service","Male","45","45","35430","28490"
"In post","2023","Commercial","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Submarine Delivery Agency","Female","80","75","39430","35230"
"In post","2023","Commercial","Submarine Delivery Agency","Male","85","85","46360","43400"
"In post","2023","Commercial","The Insolvency Service","Female","10","10","[c]","[c]"
"In post","2023","Commercial","The Insolvency Service","Male","5","5","[c]","[c]"
"In post","2023","Commercial","The National Archives","Female","15","15","[c]","[c]"
"In post","2023","Commercial","The National Archives","Male","20","20","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","Female","85","85","49400","45380"
"In post","2023","Commercial","UK Export Finance","Male","140","140","56540","52080"
"In post","2023","Commercial","UK Health Security Agency","Female","60","60","41380","37060"
"In post","2023","Commercial","UK Health Security Agency","Male","55","55","58270","55660"
"In post","2023","Commercial","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Hydrographic Office","Male","5","5","[c]","[c]"
"In post","2023","Commercial","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","Female","20","20","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Active Travel England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Active Travel England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","Female","10","10","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","Male","10","10","[c]","[c]"
"In post","2023","Communications","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Female","15","15","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Male","5","5","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Female","145","140","52740","55790"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Male","95","95","53030","43170"
"In post","2023","Communications","Central Civil Service Fast Stream","Female","5","5","[c]","[c]"
"In post","2023","Communications","Central Civil Service Fast Stream","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Centre for Environment, Fisheries and Aquaculture Science","Female","5","5","[c]","[c]"
"In post","2023","Communications","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Charity Commission","Female","20","15","[c]","[c]"
"In post","2023","Communications","Charity Commission","Male","10","10","[c]","[c]"
"In post","2023","Communications","Companies House","Female","15","15","[c]","[c]"
"In post","2023","Communications","Companies House","Male","10","10","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","Female","20","20","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","Male","10","10","[c]","[c]"
"In post","2023","Communications","Crown Commercial Service","Female","15","15","[c]","[c]"
"In post","2023","Communications","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Crown Office and Procurator Fiscal Service","Female","5","5","[c]","[c]"
"In post","2023","Communications","Crown Office and Procurator Fiscal Service","Male","5","5","[c]","[c]"
"In post","2023","Communications","Crown Prosecution Service","Female","35","35","44520","40540"
"In post","2023","Communications","Crown Prosecution Service","Male","20","20","[c]","[c]"
"In post","2023","Communications","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Defence Equipment and Support","Female","20","15","[c]","[c]"
"In post","2023","Communications","Defence Equipment and Support","Male","15","15","[c]","[c]"
"In post","2023","Communications","Defence Science and Technology Laboratory","Female","10","5","[c]","[c]"
"In post","2023","Communications","Defence Science and Technology Laboratory","Male","10","10","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","60","60","50910","46410"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","45","45","47480","46110"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2023","Communications","Department for Education (excl. agencies)","Female","170","160","41660","37870"
"In post","2023","Communications","Department for Education (excl. agencies)","Male","90","90","40100","37540"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","145","135","41690","37710"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","75","75","42860","38690"
"In post","2023","Communications","Department for International Trade","Female","60","60","46050","41750"
"In post","2023","Communications","Department for International Trade","Male","40","40","49190","42110"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","45","45","48880","43180"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","45","45","48320","44040"
"In post","2023","Communications","Department for Transport (excl. agencies)","Female","45","40","49920","43750"
"In post","2023","Communications","Department for Transport (excl. agencies)","Male","35","35","47810","43950"
"In post","2023","Communications","Department for Work and Pensions (excl. agencies)","Female","140","130","42840","39730"
"In post","2023","Communications","Department for Work and Pensions (excl. agencies)","Male","65","65","46710","44360"
"In post","2023","Communications","Department of Health and Social Care (excl. agencies)","Female","45","45","47320","41950"
"In post","2023","Communications","Department of Health and Social Care (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2023","Communications","Driver and Vehicle Licensing Agency","Female","40","35","29970","27070"
"In post","2023","Communications","Driver and Vehicle Licensing Agency","Male","30","30","[c]","[c]"
"In post","2023","Communications","Driver and Vehicle Standards Agency","Female","25","20","[c]","[c]"
"In post","2023","Communications","Driver and Vehicle Standards Agency","Male","25","20","[c]","[c]"
"In post","2023","Communications","Education and Skills Funding Agency","Female","10","10","[c]","[c]"
"In post","2023","Communications","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Estyn","Female","5","5","[c]","[c]"
"In post","2023","Communications","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","FCDO Services","Female","15","15","[c]","[c]"
"In post","2023","Communications","FCDO Services","Male","5","5","[c]","[c]"
"In post","2023","Communications","Food Standards Agency","Female","40","40","40020","38100"
"In post","2023","Communications","Food Standards Agency","Male","15","15","[c]","[c]"
"In post","2023","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Female","50","50","49810","47260"
"In post","2023","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Male","50","50","51530","46450"
"In post","2023","Communications","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Government Legal Department","Female","5","5","[c]","[c]"
"In post","2023","Communications","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","HM Courts and Tribunals Service","Female","10","10","[c]","[c]"
"In post","2023","Communications","HM Courts and Tribunals Service","Male","5","5","[c]","[c]"
"In post","2023","Communications","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2023","Communications","HM Land Registry","Male","15","15","[c]","[c]"
"In post","2023","Communications","HM Prison and Probation Service","Female","30","30","[c]","[c]"
"In post","2023","Communications","HM Prison and Probation Service","Male","15","15","[c]","[c]"
"In post","2023","Communications","HM Revenue and Customs (excl. agencies)","Female","140","135","48500","43480"
"In post","2023","Communications","HM Revenue and Customs (excl. agencies)","Male","90","90","49880","44930"
"In post","2023","Communications","HM Treasury (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2023","Communications","HM Treasury (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2023","Communications","Health and Safety Executive","Female","20","20","[c]","[c]"
"In post","2023","Communications","Health and Safety Executive","Male","30","30","[c]","[c]"
"In post","2023","Communications","Home Office","Female","75","75","50660","46690"
"In post","2023","Communications","Home Office","Male","45","45","49130","45280"
"In post","2023","Communications","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
