"Status","Year","Function_of_post","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Unknown","Outside London","Male","35","35","45110","42510"
"In post","2023","Commercial","Commercial","London","Female","680","660","56240","55450"
"In post","2023","Commercial","Commercial","London","Male","720","715","63810","57110"
"In post","2023","Commercial","Commercial","Outside London","Female","2625","2500","42590","39090"
"In post","2023","Commercial","Commercial","Outside London","Male","2205","2175","46470","41800"
"In post","2023","Commercial","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Finance","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Human Resources","London","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Human Resources","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Human Resources","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","London","Female","95","95","46480","43150"
"In post","2023","Commercial","Operational Delivery","London","Male","140","140","55950","52000"
"In post","2023","Commercial","Operational Delivery","Outside London","Female","70","65","36380","33830"
"In post","2023","Commercial","Operational Delivery","Outside London","Male","60","60","39310","36150"
"In post","2023","Commercial","Other","London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Other","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Other","Outside London","Female","90","80","38950","37420"
"In post","2023","Commercial","Other","Outside London","Male","70","65","43250","43870"
"In post","2023","Commercial","Policy","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Policy","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Policy","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Policy","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Project Delivery","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Outside London","Female","40","35","39530","34170"
"In post","2023","Commercial","Project Delivery","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Unknown","London","Female","35","35","54330","56320"
"In post","2023","Commercial","Unknown","London","Male","30","30","[c]","[c]"
"In post","2023","Commercial","Unknown","Outside London","Female","55","55","52210","47190"
"In post","2023","Commercial","Unknown","Outside London","Male","50","50","55550","50690"
"In post","2023","Commercial","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Veterinarian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Veterinarian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","London","Female","1085","1050","48660","44790"
"In post","2023","Communications","Communications","London","Male","730","730","49780","45080"
"In post","2023","Communications","Communications","Outside London","Female","1105","1030","38510","37300"
"In post","2023","Communications","Communications","Outside London","Male","720","710","38780","35950"
"In post","2023","Communications","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","London","Female","10","10","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","London","Male","10","10","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","Outside London","Female","10","5","[c]","[c]"
"In post","2023","Communications","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2023","Communications","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Communications","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","London","Female","50","50","40650","39150"
"In post","2023","Communications","Knowledge and Information Management","London","Male","35","35","45360","44360"
"In post","2023","Communications","Knowledge and Information Management","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Operational Delivery","London","Female","15","15","[c]","[c]"
"In post","2023","Communications","Operational Delivery","London","Male","20","20","[c]","[c]"
"In post","2023","Communications","Operational Delivery","Outside London","Female","45","40","33830","31530"
"In post","2023","Communications","Operational Delivery","Outside London","Male","20","15","[c]","[c]"
"In post","2023","Communications","Other","London","Female","20","20","[c]","[c]"
"In post","2023","Communications","Other","London","Male","5","5","[c]","[c]"
"In post","2023","Communications","Other","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Communications","Other","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Communications","Planning","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Planning","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","London","Female","10","10","[c]","[c]"
"In post","2023","Communications","Policy","London","Male","5","5","[c]","[c]"
"In post","2023","Communications","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Communications","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Psychology","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Psychology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Science and Engineering","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Science and Engineering","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","London","Female","110","105","52080","44980"
"In post","2023","Communications","Unknown","London","Male","60","60","51660","42430"
"In post","2023","Communications","Unknown","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Counter Fraud","London","Female","990","910","35160","32520"
"In post","2023","Counter Fraud","Counter Fraud","London","Male","940","910","39140","36190"
"In post","2023","Counter Fraud","Counter Fraud","Outside London","Female","4235","3780","29660","28120"
"In post","2023","Counter Fraud","Counter Fraud","Outside London","Male","3165","3005","31210","28120"
"In post","2023","Counter Fraud","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","London","Female","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","London","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Economics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Economics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Finance","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Intelligence Analysis","London","Female","35","35","44550","39790"
"In post","2023","Counter Fraud","Intelligence Analysis","London","Male","50","50","46940","43610"
"In post","2023","Counter Fraud","Intelligence Analysis","Outside London","Female","70","65","35980","34700"
"In post","2023","Counter Fraud","Intelligence Analysis","Outside London","Male","75","70","39050","35000"
"In post","2023","Counter Fraud","International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","International Trade","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","London","Female","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","London","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Legal","London","Female","245","230","38180","34370"
"In post","2023","Counter Fraud","Legal","London","Male","360","355","40770","39450"
"In post","2023","Counter Fraud","Legal","Outside London","Female","610","555","31770","28920"
"In post","2023","Counter Fraud","Legal","Outside London","Male","770","745","34210","34700"
"In post","2023","Counter Fraud","Operational Delivery","London","Female","280","255","37960","34370"
"In post","2023","Counter Fraud","Operational Delivery","London","Male","170","165","40000","35000"
"In post","2023","Counter Fraud","Operational Delivery","Outside London","Female","1580","1405","32270","29730"
"In post","2023","Counter Fraud","Operational Delivery","Outside London","Male","1180","1140","33340","29730"
"In post","2023","Counter Fraud","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Other","London","Female","30","25","43100","34370"
"In post","2023","Counter Fraud","Other","London","Male","30","25","[c]","[c]"
"In post","2023","Counter Fraud","Other","Outside London","Female","120","105","43690","42140"
"In post","2023","Counter Fraud","Other","Outside London","Male","100","95","47320","42510"
"In post","2023","Counter Fraud","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Tax","London","Female","155","145","43290","39790"
"In post","2023","Counter Fraud","Tax","London","Male","170","165","48200","42060"
"In post","2023","Counter Fraud","Tax","Outside London","Female","590","535","40130","35000"
"In post","2023","Counter Fraud","Tax","Outside London","Male","800","765","43250","36990"
"In post","2023","Counter Fraud","Unknown","London","Female","55","55","37260","32540"
"In post","2023","Counter Fraud","Unknown","London","Male","55","55","41890","39450"
"In post","2023","Counter Fraud","Unknown","Outside London","Female","70","65","35690","34700"
"In post","2023","Counter Fraud","Unknown","Outside London","Male","80","80","34110","34400"
"In post","2023","Counter Fraud","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Operational Delivery","London","Female","355","310","29440","26920"
"In post","2023","Debt","Operational Delivery","London","Male","220","205","30110","26920"
"In post","2023","Debt","Operational Delivery","Outside London","Female","2185","1915","25020","22520"
"In post","2023","Debt","Operational Delivery","Outside London","Male","1650","1590","24950","22520"
"In post","2023","Debt","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Other","London","Female","5","5","[c]","[c]"
"In post","2023","Debt","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Other","Outside London","Female","1745","1440","23270","21690"
"In post","2023","Debt","Other","Outside London","Male","855","800","23180","21690"
"In post","2023","Debt","Other","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Debt","Other","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Policy","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Debt","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Tax","London","Female","20","20","[c]","[c]"
"In post","2023","Debt","Tax","London","Male","10","10","[c]","[c]"
"In post","2023","Debt","Tax","Outside London","Female","315","295","23760","22520"
"In post","2023","Debt","Tax","Outside London","Male","300","295","23570","22520"
"In post","2023","Debt","Unknown","London","Female","5","5","[c]","[c]"
"In post","2023","Debt","Unknown","London","Male","5","5","[c]","[c]"
"In post","2023","Debt","Unknown","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Debt","Unknown","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Digital, Data & Technology","Commercial","London","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Commercial","London","Male","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Commercial","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Commercial","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Communications","London","Male","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Counter Fraud","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Counter Fraud","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","London","Female","1680","1635","50000","45880"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","London","Male","2840","2810","51360","47610"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","Outside London","Female","5860","5570","41180","38470"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","Outside London","Male","11120","10935","42890","39460"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","Overseas","Male","35","35","44340","43300"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","Unknown","Female","15","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Digital, Data & Technology","Economics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Economics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Finance","Outside London","Female","45","40","38950","38080"
"In post","2023","Digital, Data & Technology","Finance","Outside London","Male","55","55","37640","34970"
"In post","2023","Digital, Data & Technology","Geography","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Geography","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Human Resources","London","Female","40","35","43180","39910"
"In post","2023","Digital, Data & Technology","Human Resources","London","Male","15","15","[c]","[c]"
