"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","North West (England)","Lancashire","AA/AO","885","765","22790","21690"
"In post","2023","Declared disabled","North West (England)","Lancashire","EO","775","690","28130","28120"
"In post","2023","Declared disabled","North West (England)","Lancashire","G6/G7","120","115","56350","52600"
"In post","2023","Declared disabled","North West (England)","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Lancashire","SEO/HEO","405","380","36870","34970"
"In post","2023","Declared disabled","North West (England)","Lancashire","Unknown","130","120","29830","29050"
"In post","2023","Declared disabled","North West (England)","Merseyside","AA/AO","920","785","22200","22200"
"In post","2023","Declared disabled","North West (England)","Merseyside","EO","855","755","27630","28120"
"In post","2023","Declared disabled","North West (England)","Merseyside","G6/G7","185","175","58660","56870"
"In post","2023","Declared disabled","North West (England)","Merseyside","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Merseyside","SEO/HEO","560","535","36990","35000"
"In post","2023","Declared disabled","North West (England)","Merseyside","Unknown","185","175","30420","26840"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","AA/AO","125","115","22370","22520"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","EO","100","95","27940","28010"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","G6/G7","35","35","59200","57970"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","SEO/HEO","115","110","36630","35000"
"In post","2023","Declared disabled","Overseas","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Overseas","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Overseas","G6/G7","55","55","60420","57990"
"In post","2023","Declared disabled","Overseas","Overseas","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Overseas","SEO/HEO","100","100","39720","35810"
"In post","2023","Declared disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","AA/AO","595","540","23650","22520"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","EO","725","665","30310","29100"
