"Status","Year","Disability","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Declared disabled","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Corporate Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","London","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Geography","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Geography","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Geography","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Geography","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Inspector of Education and Training","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Internal Audit","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","East Midlands (England)","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","East of England","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","London","45","[c]","33000","31060"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","North West (England)","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","South East (England)","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","South West (England)","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","West Midlands (England)","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Delivery","Yorkshire and The Humber","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Operational Research","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Planning Inspectors","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","London","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Psychology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Asian","Science and Engineering","London","[c]","[c]","[c]","[c]"
