"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","North West (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","North West (England)","Unknown","Female","2805","2645","29640","26840"
"In post","2023","North West (England)","Unknown","Male","1015","965","32360","29050"
"In post","2023","Northern Ireland","AA","Female","60","60","21400","22130"
"In post","2023","Northern Ireland","AA","Male","395","385","21680","22130"
"In post","2023","Northern Ireland","AO","Female","665","580","22600","22520"
"In post","2023","Northern Ireland","AO","Male","595","575","22610","22520"
"In post","2023","Northern Ireland","EO","Female","590","545","27960","27890"
"In post","2023","Northern Ireland","EO","Male","585","570","28110","27890"
"In post","2023","Northern Ireland","G6","Female","40","35","71500","70430"
"In post","2023","Northern Ireland","G6","Male","35","35","72410","71300"
"In post","2023","Northern Ireland","G7","Female","135","130","56130","56870"
"In post","2023","Northern Ireland","G7","Male","145","140","56820","57970"
"In post","2023","Northern Ireland","HEO","Female","430","410","34760","34700"
"In post","2023","Northern Ireland","HEO","Male","435","425","35060","34740"
"In post","2023","Northern Ireland","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Northern Ireland","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Northern Ireland","SEO","Female","205","195","41240","42140"
"In post","2023","Northern Ireland","SEO","Male","215","210","41830","42140"
"In post","2023","Overseas","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","AO","Female","25","25","[c]","[c]"
"In post","2023","Overseas","AO","Male","25","25","[c]","[c]"
"In post","2023","Overseas","EO","Female","95","95","35380","34100"
"In post","2023","Overseas","EO","Male","105","105","34420","32770"
"In post","2023","Overseas","G6","Female","195","190","69150","66780"
"In post","2023","Overseas","G6","Male","245","245","69870","67000"
"In post","2023","Overseas","G7","Female","370","370","56920","55460"
"In post","2023","Overseas","G7","Male","500","495","58300","56260"
"In post","2023","Overseas","HEO","Female","460","460","41310","35810"
"In post","2023","Overseas","HEO","Male","575","575","39470","35810"
"In post","2023","Overseas","SCS level","Female","130","130","87740","77870"
"In post","2023","Overseas","SCS level","Male","160","160","87360","77670"
"In post","2023","Overseas","SEO","Female","145","145","46820","43320"
"In post","2023","Overseas","SEO","Male","330","325","49740","47380"
"In post","2023","Overseas","Unknown","Female","60","60","[c]","[c]"
"In post","2023","Overseas","Unknown","Male","90","90","[c]","[c]"
"In post","2023","Scotland","AA","Female","1745","1560","22960","22520"
"In post","2023","Scotland","AA","Male","1740","1655","22870","22180"
"In post","2023","Scotland","AO","Female","7685","6700","23440","22520"
"In post","2023","Scotland","AO","Male","6010","5795","25400","22520"
"In post","2023","Scotland","EO","Female","8220","7475","29450","28130"
