"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G7","Heterosexual / straight","65","65","56370","55500"
"In post","2023","Analysis","Department for International Trade","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","HEO","Heterosexual / straight","40","40","35090","35010"
"In post","2023","Analysis","Department for International Trade","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G6","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G7","Heterosexual / straight","85","80","55800","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","HEO","Heterosexual / straight","55","55","33190","33880"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","G6","Heterosexual / straight","30","30","68610","67720"
"In post","2023","Analysis","Department for Transport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","G7","Heterosexual / straight","90","90","56080","55740"
"In post","2023","Analysis","Department for Transport","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","G7","Unknown","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Transport","HEO","Heterosexual / straight","60","55","34480","35400"
"In post","2023","Analysis","Department for Transport","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SEO","Heterosexual / straight","50","50","42890","43750"
"In post","2023","Analysis","Department for Transport","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","EO","Heterosexual / straight","35","35","29090","28210"
"In post","2023","Analysis","Department for Work and Pensions","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","G6","Heterosexual / straight","40","35","73100","70570"
"In post","2023","Analysis","Department for Work and Pensions","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","G7","Heterosexual / straight","145","135","57090","58370"
"In post","2023","Analysis","Department for Work and Pensions","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","G7","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","HEO","Heterosexual / straight","160","155","36110","34170"
"In post","2023","Analysis","Department for Work and Pensions","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SEO","Heterosexual / straight","115","105","41170","40790"
"In post","2023","Analysis","Department for Work and Pensions","SEO","LGBO","15","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SEO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","EO","Unknown","5","5","[c]","[c]"
