"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Leicester","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SEO/HEO","Heterosexual / straight","220","210","37130","34850"
"In post","2023","East Midlands (England)","Leicester","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SEO/HEO","Undeclared","30","30","38640","36270"
"In post","2023","East Midlands (England)","Leicester","SEO/HEO","Unknown","45","45","36450","34850"
"In post","2023","East Midlands (England)","Leicester","Unknown","Heterosexual / straight","240","225","29900","29050"
"In post","2023","East Midlands (England)","Leicester","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","Unknown","Undeclared","30","25","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","Unknown","Unknown","50","45","27340","25300"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","Heterosexual / straight","585","535","25700","24070"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","LGBO","45","40","25260","23180"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","Undeclared","65","60","25560","23230"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","Unknown","195","180","24970","23230"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","Heterosexual / straight","430","400","29000","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","LGBO","30","25","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","Undeclared","50","45","28530","28080"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","Unknown","100","90","28960","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","Heterosexual / straight","75","70","62520","59420"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","Heterosexual / straight","325","310","38920","38180"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","Undeclared","50","50","39780","39190"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","Unknown","30","25","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Heterosexual / straight","50","50","33570","33340"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA/AO","Heterosexual / straight","965","895","24660","22220"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA/AO","LGBO","45","45","26750","26110"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA/AO","Undeclared","105","100","23690","22220"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA/AO","Unknown","180","170","24820","23230"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","Heterosexual / straight","530","495","28760","28120"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","LGBO","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","Undeclared","80","75","28970","28120"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","Unknown","95","85","28570","28120"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6/G7","Heterosexual / straight","105","100","61160","57210"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","SEO/HEO","Heterosexual / straight","515","500","38260","37300"
"In post","2023","East Midlands (England)","Lincolnshire CC","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","SEO/HEO","Undeclared","65","60","39620","37590"
"In post","2023","East Midlands (England)","Lincolnshire CC","SEO/HEO","Unknown","55","55","37020","34300"
"In post","2023","East Midlands (England)","Lincolnshire CC","Unknown","Heterosexual / straight","200","190","30290","27510"
"In post","2023","East Midlands (England)","Lincolnshire CC","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","AA/AO","Heterosexual / straight","170","140","21910","21690"
"In post","2023","East Midlands (England)","North Northamptonshire","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","AA/AO","Unknown","50","40","22300","21690"
"In post","2023","East Midlands (England)","North Northamptonshire","EO","Heterosexual / straight","125","115","28300","28120"
"In post","2023","East Midlands (England)","North Northamptonshire","EO","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","EO","Unknown","30","30","27940","28120"
"In post","2023","East Midlands (England)","North Northamptonshire","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SEO/HEO","Heterosexual / straight","50","50","37960","34360"
"In post","2023","East Midlands (England)","North Northamptonshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","Unknown","Heterosexual / straight","65","60","29810","28200"
"In post","2023","East Midlands (England)","North Northamptonshire","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","AA/AO","Heterosexual / straight","275","260","27170","25340"
"In post","2023","East Midlands (England)","North Nottinghamshire","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","AA/AO","Unknown","130","120","28100","28880"
"In post","2023","East Midlands (England)","North Nottinghamshire","EO","Heterosexual / straight","215","195","29090","28120"
"In post","2023","East Midlands (England)","North Nottinghamshire","EO","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","EO","Unknown","45","40","28750","28120"
"In post","2023","East Midlands (England)","North Nottinghamshire","G6/G7","Heterosexual / straight","50","45","63560","62410"
"In post","2023","East Midlands (England)","North Nottinghamshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SEO/HEO","Heterosexual / straight","145","140","41050","40660"
"In post","2023","East Midlands (England)","North Nottinghamshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","Unknown","Heterosexual / straight","135","120","29490","29050"
"In post","2023","East Midlands (England)","North Nottinghamshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","Unknown","Unknown","30","30","26850","26840"
"In post","2023","East Midlands (England)","Nottingham","AA/AO","Heterosexual / straight","1395","1285","23740","22520"
"In post","2023","East Midlands (England)","Nottingham","AA/AO","LGBO","140","135","23180","22520"
"In post","2023","East Midlands (England)","Nottingham","AA/AO","Undeclared","150","130","22740","22280"
"In post","2023","East Midlands (England)","Nottingham","AA/AO","Unknown","765","695","22940","22520"
"In post","2023","East Midlands (England)","Nottingham","EO","Heterosexual / straight","1455","1360","27950","28080"
"In post","2023","East Midlands (England)","Nottingham","EO","LGBO","125","120","27730","28080"
"In post","2023","East Midlands (England)","Nottingham","EO","Undeclared","185","165","27880","28080"
"In post","2023","East Midlands (England)","Nottingham","EO","Unknown","585","550","28010","28080"
"In post","2023","East Midlands (England)","Nottingham","G6/G7","Heterosexual / straight","840","810","58910","57970"
"In post","2023","East Midlands (England)","Nottingham","G6/G7","LGBO","50","50","59300","57970"
"In post","2023","East Midlands (England)","Nottingham","G6/G7","Undeclared","75","70","58170","57970"
"In post","2023","East Midlands (England)","Nottingham","G6/G7","Unknown","140","130","58360","57970"
"In post","2023","East Midlands (England)","Nottingham","SCS level","Heterosexual / straight","45","45","90440","84050"
"In post","2023","East Midlands (England)","Nottingham","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Nottingham","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Nottingham","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Nottingham","SEO/HEO","Heterosexual / straight","2120","2025","37330","35000"
"In post","2023","East Midlands (England)","Nottingham","SEO/HEO","LGBO","140","140","36670","35000"
"In post","2023","East Midlands (England)","Nottingham","SEO/HEO","Undeclared","275","255","37430","35000"
"In post","2023","East Midlands (England)","Nottingham","SEO/HEO","Unknown","625","600","36590","35000"
"In post","2023","East Midlands (England)","Nottingham","Unknown","Heterosexual / straight","210","190","29120","29050"
"In post","2023","East Midlands (England)","Nottingham","Unknown","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Nottingham","Unknown","Undeclared","20","15","[c]","[c]"
"In post","2023","East Midlands (England)","Nottingham","Unknown","Unknown","50","45","28050","25300"
"In post","2023","East Midlands (England)","South Nottinghamshire","AA/AO","Heterosexual / straight","300","285","26040","24920"
"In post","2023","East Midlands (England)","South Nottinghamshire","AA/AO","LGBO","15","10","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","AA/AO","Undeclared","40","40","25180","23780"
"In post","2023","East Midlands (England)","South Nottinghamshire","AA/AO","Unknown","80","70","27140","28880"
"In post","2023","East Midlands (England)","South Nottinghamshire","EO","Heterosexual / straight","155","145","29940","28480"
"In post","2023","East Midlands (England)","South Nottinghamshire","EO","LGBO","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","EO","Unknown","35","35","29000","28120"
"In post","2023","East Midlands (England)","South Nottinghamshire","G6/G7","Heterosexual / straight","65","65","63950","60960"
"In post","2023","East Midlands (England)","South Nottinghamshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","SEO/HEO","Heterosexual / straight","225","215","40080","40590"
"In post","2023","East Midlands (England)","South Nottinghamshire","SEO/HEO","LGBO","15","10","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","SEO/HEO","Undeclared","30","30","39010","35040"
"In post","2023","East Midlands (England)","South Nottinghamshire","SEO/HEO","Unknown","30","30","39460","38270"
"In post","2023","East Midlands (England)","South Nottinghamshire","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","AA/AO","Heterosexual / straight","225","205","27130","25340"
"In post","2023","East Midlands (England)","South and West Derbyshire","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","AA/AO","Undeclared","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","AA/AO","Unknown","50","45","28840","28880"
"In post","2023","East Midlands (England)","South and West Derbyshire","EO","Heterosexual / straight","240","220","28650","28120"
"In post","2023","East Midlands (England)","South and West Derbyshire","EO","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","EO","Undeclared","35","30","28910","28120"
"In post","2023","East Midlands (England)","South and West Derbyshire","EO","Unknown","65","55","28650","28120"
"In post","2023","East Midlands (England)","South and West Derbyshire","G6/G7","Heterosexual / straight","110","105","62010","59400"
"In post","2023","East Midlands (England)","South and West Derbyshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","G6/G7","Undeclared","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","SEO/HEO","Heterosexual / straight","240","225","39000","37540"
"In post","2023","East Midlands (England)","South and West Derbyshire","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","SEO/HEO","Undeclared","35","35","40960","40790"
"In post","2023","East Midlands (England)","South and West Derbyshire","SEO/HEO","Unknown","35","35","37260","34170"
"In post","2023","East Midlands (England)","South and West Derbyshire","Unknown","Heterosexual / straight","40","40","32400","31510"
"In post","2023","East Midlands (England)","South and West Derbyshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","AA/AO","Heterosexual / straight","315","280","24440","21780"
"In post","2023","East Midlands (England)","West Northamptonshire","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","AA/AO","Undeclared","50","45","24980","21780"
"In post","2023","East Midlands (England)","West Northamptonshire","AA/AO","Unknown","110","100","25280","21780"
"In post","2023","East Midlands (England)","West Northamptonshire","EO","Heterosexual / straight","200","185","28470","28120"
"In post","2023","East Midlands (England)","West Northamptonshire","EO","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","EO","Unknown","35","35","28420","28120"
"In post","2023","East Midlands (England)","West Northamptonshire","G6/G7","Heterosexual / straight","40","35","59630","54910"
"In post","2023","East Midlands (England)","West Northamptonshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","SEO/HEO","Heterosexual / straight","115","105","39190","37680"
"In post","2023","East Midlands (England)","West Northamptonshire","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","Unknown","Heterosexual / straight","115","105","30800","29050"
"In post","2023","East Midlands (England)","West Northamptonshire","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","West Northamptonshire","Unknown","Unknown","30","30","28720","26840"
"In post","2023","East of England","Bedford","AA/AO","Heterosexual / straight","215","210","27620","30880"
"In post","2023","East of England","Bedford","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2023","East of England","Bedford","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2023","East of England","Bedford","AA/AO","Unknown","50","45","28250","30880"
"In post","2023","East of England","Bedford","EO","Heterosexual / straight","155","140","28490","28120"
"In post","2023","East of England","Bedford","EO","LGBO","10","10","[c]","[c]"
"In post","2023","East of England","Bedford","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","East of England","Bedford","EO","Unknown","55","50","28170","28120"
"In post","2023","East of England","Bedford","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","East of England","Bedford","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Bedford","G6/G7","Undeclared","10","5","[c]","[c]"
"In post","2023","East of England","Bedford","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Bedford","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Bedford","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Bedford","SEO/HEO","Heterosexual / straight","130","120","39050","38640"
"In post","2023","East of England","Bedford","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","East of England","Bedford","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","East of England","Bedford","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2023","East of England","Bedford","Unknown","Heterosexual / straight","90","80","29480","26840"
"In post","2023","East of England","Bedford","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","East of England","Bedford","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","East of England","Bedford","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","AA/AO","Heterosexual / straight","220","205","27490","28880"
"In post","2023","East of England","Breckland and South Norfolk","AA/AO","LGBO","15","10","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","AA/AO","Unknown","40","40","27990","28880"
"In post","2023","East of England","Breckland and South Norfolk","EO","Heterosexual / straight","105","100","29880","28480"
"In post","2023","East of England","Breckland and South Norfolk","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","EO","Unknown","20","15","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Breckland and South Norfolk","SEO/HEO","Heterosexual / straight","80","80","41060","39490"
