"Status","Year","Disability","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Project Delivery","60","60","30680","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Property","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Science and Engineering","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Statistics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","145","145","30660","30130"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","30","30","31820","30320"
"In post","2023","Declared disabled","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Operational Delivery","25","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Counter Fraud","15","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Finance","5","5","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Operational Delivery","55","50","25450","23240"
"In post","2023","Declared disabled","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Project Delivery","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Operational Delivery","45","40","25310","25830"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Commercial","30","30","39220","39860"
"In post","2023","Declared disabled","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Legal","45","45","61720","58850"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Operational Delivery","100","95","28420","24490"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Finance","30","30","27950","24480"
"In post","2023","Declared disabled","Crown Prosecution Service","Human Resources","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Legal","410","380","56290","56450"
"In post","2023","Declared disabled","Crown Prosecution Service","Operational Delivery","400","370","28280","26900"
"In post","2023","Declared disabled","Crown Prosecution Service","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Policy","20","15","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Science and Engineering","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Commercial","95","90","41190","42620"
"In post","2023","Declared disabled","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Digital, Data and Technology","65","60","35750","33200"
"In post","2023","Declared disabled","Defence Equipment and Support","Finance","40","35","37960","32500"
"In post","2023","Declared disabled","Defence Equipment and Support","Human Resources","30","25","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Operational Delivery","235","230","33340","31920"
"In post","2023","Declared disabled","Defence Equipment and Support","Other","175","160","34440","31920"
"In post","2023","Declared disabled","Defence Equipment and Support","Project Delivery","205","200","41040","39500"
"In post","2023","Declared disabled","Defence Equipment and Support","Science and Engineering","275","265","41860","42620"
"In post","2023","Declared disabled","Defence Equipment and Support","Security","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Commercial","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Human Resources","25","25","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Operational Delivery","75","70","43720","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Operational Research","60","60","42700","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Other","90","85","48050","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Project Delivery","65","60","41900","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Science and Engineering","485","470","41940","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Security","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","50","50","49530","41360"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","440","430","49050","50310"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","120","120","46600","41360"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Commercial","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Communications","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Digital, Data and Technology","95","90","39620","37590"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Finance","35","30","42600","38210"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Human Resources","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Operational Delivery","140","135","43460","37590"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Policy","235","220","47000","41510"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Project Delivery","100","100","45040","41440"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Social Research","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Statistics","25","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","25","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","110","110","44180","49400"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","55","55","43910","37820"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","55","50","44170","39280"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","500","480","42660","37330"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","65","65","37850","37300"
"In post","2023","Declared disabled","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Economics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Human Resources","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","International Trade","130","130","46380","41550"
"In post","2023","Declared disabled","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Operational Delivery","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Other","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Policy","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","20","20","[c]","[c]"
