"Status","Year","Age","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Transport (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Outside London","10","10","24260","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Outside London","40","35","22870","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Other","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Outside London","75","65","20560","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Education Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Property","Outside London","15","15","23210","22750"
"In post","2023","16-19","FCDO Services","Security","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Unknown","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Operational Delivery","Outside London","20","20","21610","21780"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","London","10","10","29450","28400"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","Outside London","290","285","25870","24070"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Finance","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outside London","120","115","22750","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
