"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Inner London - East","10","10","30150","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Inner London - West","65","65","31130","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","Dorset and Somerset","10","10","35540","26190"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","East Anglia","35","35","38450","37300"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Devon","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Dorset and Somerset","125","120","34760","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East Anglia","305","295","36320","31690"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","North Yorkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Merseyside","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","Merseyside","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Eastern Scotland","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Inner London - East","95","85","65980","60600"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","Inner London - East","30","30","57490","55950"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","Inner London - East","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","37590","30650"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","43960","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","Hampshire and Isle of Wight","165","160","42400","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Other","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","465","455","43570","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Hampshire and Isle of Wight","370","355","46990","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Greater Manchester","15","15","31490","31120"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Inner London - West","130","130","40250","34670"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","West Midlands","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Inner London - West","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Inner London - West","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Inner London - West","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Inner London - West","25","25","49230","47060"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","Greater Manchester","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","Inner London - West","60","60","52850","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","Inner London - West","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","Inner London - West","20","20","52070","56900"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","Inner London - West","15","15","47790","42850"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Greater Manchester","10","10","34750","33950"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Inner London - West","55","55","54930","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","South Yorkshire","10","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Finance","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Greater Manchester","10","10","39500","33950"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Inner London - West","35","35","52250","47410"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","South Yorkshire","30","25","46050","43690"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Project Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","42870","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Greater Manchester","15","15","39690","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Inner London - West","50","45","49350","47410"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","South Yorkshire","35","30","46840","43860"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","45620","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Greater Manchester","25","25","42980","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Inner London - West","70","65","48570","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","South Yorkshire","65","60","44730","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","Tees Valley and Durham","35","30","44120","43490"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","West Midlands","10","10","38690","37590"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","West Yorkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Economics","Inner London - West","130","130","50130","55370"
"In post","2023","Analysis","Department for International Trade","Economics","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","International Trade","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","Inner London - West","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","Inner London - West","15","15","42050","35200"
"In post","2023","Analysis","Department for International Trade","Policy","Inner London - West","10","10","51940","47270"
"In post","2023","Analysis","Department for International Trade","Social Research","Inner London - West","30","25","48800","49000"
"In post","2023","Analysis","Department for International Trade","Social Research","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","Inner London - West","55","55","48450","47550"
"In post","2023","Analysis","Department for International Trade","Statistics","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","Inner London - West","55","55","50220","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Inner London - West","25","25","53860","56370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Inner London - West","125","125","48240","44180"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","West Midlands","20","20","38670","37060"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","Inner London - West","160","155","51860","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","West Yorkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","Inner London - West","15","10","51180","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","Inner London - West","30","30","53930","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Science and Engineering","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","Inner London - West","45","40","53610","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","Inner London - West","65","65","46680","43750"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","West Midlands","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","West Yorkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Greater Manchester","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Inner London - West","20","20","50010","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","South Yorkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
