"Status","Year","Ethnicity","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","AO","45","40","22920","22870"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","EO","25","25","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","G7","50","45","52640","50000"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","AO","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","EO","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","G6","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","G7","30","30","52650","51240"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","AO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","EO","45","45","28880","28370"
"In post","2023","Asian","Cabinet Office","London","G6","50","50","69410","66530"
"In post","2023","Asian","Cabinet Office","London","G7","145","145","59090","56430"
"In post","2023","Asian","Cabinet Office","London","HEO","205","200","32230","32160"
"In post","2023","Asian","Cabinet Office","London","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","SEO","70","70","42270","41870"
"In post","2023","Asian","Cabinet Office","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","G7","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","HEO","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","EO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","G7","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","HEO","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","G7","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","EO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","G6","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","G7","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","AO","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","EO","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","G6","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","G7","30","30","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","HEO","30","30","35300","34620"
"In post","2023","Asian","Competition and Markets Authority","London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","SEO","10","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","AO","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","EO","60","60","29450","28740"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","G6","55","55","69060","66890"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","G7","155","150","56850","55120"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","HEO","140","135","35770","34670"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","SEO","180","175","42940","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","AO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","EO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","G7","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","HEO","[c]","[c]","[c]","[c]"
