"Status","Year","Age","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","Digital, Data and Technology","10","10","24260","21690"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","Finance","5","5","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs","Finance","5","5","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Ministry of Defence","Finance","20","20","20100","19460"
"In post","2023","16-19","Finance","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Departments","Operational Delivery","50","50","21210","20980"
"In post","2023","16-19","Legal","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","Operational Delivery","10","10","23950","22430"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","Policy","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport","Operational Delivery","85","75","20780","20750"
"In post","2023","16-19","No function","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions","Operational Delivery","45","40","22850","21690"
"In post","2023","16-19","No function","Department of Health and Social Care","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","Operational Delivery","70","70","23030","22520"
"In post","2023","16-19","No function","HM Revenue and Customs","Operational Research","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","Tax","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","Unknown","20","20","23180","22520"
"In post","2023","16-19","No function","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Operational Delivery","130","120","23700","22400"
"In post","2023","16-19","No function","Ministry of Defence","Operational Delivery","30","30","20080","20190"
"In post","2023","16-19","No function","Ministry of Defence","Other","15","15","20310","19460"
"In post","2023","16-19","No function","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence","Science and Engineering","70","70","18940","18280"
"In post","2023","16-19","No function","Ministry of Justice","Operational Delivery","345","335","25580","23640"
"In post","2023","16-19","No function","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Government","Operational Delivery","20","20","23880","23700"
"In post","2023","16-19","No function","Scottish Government","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","Operational Delivery","10","10","21150","21200"
"In post","2023","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","Project Delivery","10","10","20950","19460"
"In post","2023","16-19","Project Delivery","Ministry of Defence","Science and Engineering","15","15","18580","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Foreign, Commonwealth and Development Office","Property","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Property","HM Revenue and Customs","Property","15","15","24780","22520"
"In post","2023","16-19","Property","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Government","Other","5","5","[c]","[c]"
"In post","2023","16-19","Security","Cabinet Office","Unknown","10","10","25160","24470"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","Security","5","5","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence","Other","30","30","19510","17650"
"In post","2023","16-19","Unknown","Ministry of Defence","Science and Engineering","15","15","20980","19430"
"In post","2023","16-19","Unknown","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Government","Unknown","50","50","23060","22460"
"In post","2023","16-19","Unknown","Welsh Government","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Departments","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","Statistics","105","105","31150","30130"
"In post","2023","20-29","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Chancellor's other departments","Other","50","50","39960","36490"
"In post","2023","20-29","Analysis","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","Economics","35","35","42470","34620"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Economics","120","120","36010","34670"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","15","15","38660","39300"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","Economics","40","40","46180","39880"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","10","10","40270","39040"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","Social Research","10","10","43170","39620"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education","Economics","50","50","42870","43250"
"In post","2023","20-29","Analysis","Department for Education","Operational Research","30","30","39600","37870"
"In post","2023","20-29","Analysis","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education","Social Research","45","45","43020","43250"
"In post","2023","20-29","Analysis","Department for Education","Statistics","55","55","40490","43250"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","75","75","27030","25970"
"In post","2023","20-29","Analysis","Department for International Trade","Economics","80","80","42410","35010"
"In post","2023","20-29","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for International Trade","Social Research","15","15","38710","35010"
"In post","2023","20-29","Analysis","Department for International Trade","Statistics","25","25","42510","41550"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","Economics","35","35","44800","51550"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","Social Research","15","15","47750","49700"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","Statistics","60","60","37820","34160"
"In post","2023","20-29","Analysis","Department for Transport","Economics","110","110","43370","43320"
"In post","2023","20-29","Analysis","Department for Transport","Operational Research","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport","Social Research","15","15","45230","43320"
"In post","2023","20-29","Analysis","Department for Transport","Statistics","30","30","39370","35760"
"In post","2023","20-29","Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Economics","25","25","40960","39150"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Operational Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Operational Research","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Other","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Policy","85","85","37980","37380"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Science and Engineering","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Social Research","20","20","42490","39150"
"In post","2023","20-29","Analysis","Department for Work and Pensions","Statistics","60","60","35810","34170"
"In post","2023","20-29","Analysis","Department of Health and Social Care","Economics","20","20","40140","34190"
"In post","2023","20-29","Analysis","Department of Health and Social Care","Operational Delivery","20","20","28220","27840"
"In post","2023","20-29","Analysis","Department of Health and Social Care","Operational Research","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care","Social Research","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care","Statistics","20","20","40010","38120"
"In post","2023","20-29","Analysis","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","Economics","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","Social Research","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","Economics","20","20","39480","32400"
"In post","2023","20-29","Analysis","HM Land Registry","Finance","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","Economics","105","105","41060","39110"
"In post","2023","20-29","Analysis","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","Operational Research","35","35","39310","39450"
"In post","2023","20-29","Analysis","HM Revenue and Customs","Social Research","50","50","40660","39450"
"In post","2023","20-29","Analysis","HM Revenue and Customs","Statistics","115","115","42040","41780"
"In post","2023","20-29","Analysis","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","Unknown","10","10","45800","39620"
"In post","2023","20-29","Analysis","HM Treasury","Economics","125","125","37210","35400"
"In post","2023","20-29","Analysis","HM Treasury","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","Economics","80","80","43070","43250"
"In post","2023","20-29","Analysis","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","Operational Delivery","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","Operational Research","30","30","43170","39720"
"In post","2023","20-29","Analysis","Home Office","Other","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","Social Research","70","70","42710","40760"
"In post","2023","20-29","Analysis","Home Office","Statistics","60","60","33950","31000"
"In post","2023","20-29","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence","Operational Research","70","70","32250","30650"
"In post","2023","20-29","Analysis","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence","Science and Engineering","225","225","33140","30650"
"In post","2023","20-29","Analysis","Ministry of Defence","Statistics","140","140","39000","38260"
"In post","2023","20-29","Analysis","Ministry of Justice","Digital, Data and Technology","25","25","39440","35410"
"In post","2023","20-29","Analysis","Ministry of Justice","Economics","50","50","41810","36540"
"In post","2023","20-29","Analysis","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Justice","Operational Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Justice","Operational Research","40","40","42300","37680"
"In post","2023","20-29","Analysis","Ministry of Justice","Other","60","60","35730","35410"
"In post","2023","20-29","Analysis","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Justice","Social Research","40","40","41370","43650"
"In post","2023","20-29","Analysis","Ministry of Justice","Statistics","45","45","40360","37680"
"In post","2023","20-29","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","15","15","33390","33130"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","30","30","34920","32970"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","Economics","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","Unknown","35","35","33090","33400"
"In post","2023","20-29","Analysis","Office of Rail and Road","Economics","10","10","35620","35670"
"In post","2023","20-29","Analysis","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","Economics","110","110","30220","31560"
"In post","2023","20-29","Analysis","UK Statistics Authority","Operational Delivery","110","110","32700","31060"
"In post","2023","20-29","Analysis","UK Statistics Authority","Operational Research","15","15","34340","34560"
"In post","2023","20-29","Analysis","UK Statistics Authority","Social Research","265","265","35130","31560"
"In post","2023","20-29","Analysis","UK Statistics Authority","Statistics","180","175","35800","34060"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","Economics","20","20","36990","35330"
"In post","2023","20-29","Analysis","Welsh Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
