"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Birmingham","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Birmingham","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Economics","Bristol, City of","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Bristol, City of","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","City of Edinburgh","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Croydon","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Croydon","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Darlington","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","Darlington","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Economics","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Glasgow City","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Greater Manchester South West","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Economics","Greater Manchester South West","Male","45","45","39650","34850"
"In post","2023","Analysis","Economics","Hackney and Newham","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Hackney and Newham","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Economics","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Leeds","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Leeds","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Liverpool","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Manchester","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Manchester","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Mid Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Mid Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Monmouthshire and Newport","Female","50","50","36820","31560"
"In post","2023","Analysis","Economics","Monmouthshire and Newport","Male","60","60","37380","31560"
"In post","2023","Analysis","Economics","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Sefton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Sheffield","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Sheffield","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","South Hampshire","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","South Hampshire","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Economics","South Lanarkshire","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","South Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South West Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South West Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Swindon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Swindon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Tower Hamlets","Female","80","75","60210","57540"
"In post","2023","Analysis","Economics","Tower Hamlets","Male","145","140","58390","55720"
"In post","2023","Analysis","Economics","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wakefield","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wakefield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Westminster","Female","385","375","48360","46600"
"In post","2023","Analysis","Economics","Westminster","Male","690","690","50050","54090"
"In post","2023","Analysis","Economics","Wolverhampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wolverhampton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","York","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","York","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Croydon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Kingston upon Hull, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Kingston upon Hull, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Mid Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Mid Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Plymouth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Plymouth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Sheffield","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Sheffield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Suffolk CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Suffolk CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Telford and Wrekin","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Telford and Wrekin","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Wirral","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Wirral","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Suffolk CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Suffolk CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Westminster","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Croydon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Gwent Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Gwent Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Mid Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Mid Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Milton Keynes","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Milton Keynes","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Monmouthshire and Newport","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Monmouthshire and Newport","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Powys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Powys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Sefton","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Somerset CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Somerset CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South Teesside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South Teesside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Tower Hamlets","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Tower Hamlets","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Westminster","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wiltshire","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wiltshire","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Worcestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Worcestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","York","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","York","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Conwy and Denbighshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Conwy and Denbighshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Dudley","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Dudley","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Plymouth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Plymouth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","South Teesside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","South Teesside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Staffordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Staffordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Stoke-on-Trent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Stoke-on-Trent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Swansea","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Westminster","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Westminster","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Legal","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Croydon","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Croydon","Male","10","10","[c]","[c]"
