"Status","Year","Age","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Black","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
