"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Security","London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","London","130","130","44960","41870"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","Outside London","30","30","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Commercial","London","5","5","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Project Delivery","London","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Statistics","London","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","London","85","85","30510","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Digital, Data and Technology","London","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Economics","London","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Legal","London","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Project Delivery","London","65","65","45560","34370"
"In post","2023","Asian","Competition and Markets Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Commercial","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Legal","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","30","25","27930","28700"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Finance","London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Finance","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Human Resources","London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Legal","London","160","150","57550","55170"
"In post","2023","Asian","Crown Prosecution Service","Legal","Outside London","230","215","50690","50000"
"In post","2023","Asian","Crown Prosecution Service","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Operational Delivery","London","180","165","27360","25600"
"In post","2023","Asian","Crown Prosecution Service","Operational Delivery","Outside London","195","185","25600","24430"
"In post","2023","Asian","Crown Prosecution Service","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Policy","London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Project Delivery","London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Property","Outside London","[c]","[c]","[c]","[c]"
