"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","EO","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","AA/AO","AO","45","35","23020","23240"
"In post","2023","Declared disabled","Companies House","EO","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Companies House","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Companies House","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Companies House","SEO/HEO","SEO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","EO","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","HEO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","EO","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","AO","65","60","23820","23700"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","EO","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","G7","40","35","57480","55990"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","AA/AO","AO","205","190","23260","22870"
"In post","2023","Declared disabled","Crown Prosecution Service","EO","EO","195","175","28560","28850"
"In post","2023","Declared disabled","Crown Prosecution Service","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","G6/G7","G7","350","320","58230","56450"
"In post","2023","Declared disabled","Crown Prosecution Service","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","SEO/HEO","HEO","85","80","33470","33100"
"In post","2023","Declared disabled","Crown Prosecution Service","SEO/HEO","SEO","65","65","40390","40080"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","EO","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","AA/AO","AO","190","180","23180","22480"
"In post","2023","Declared disabled","Defence Equipment and Support","EO","EO","90","85","27220","26820"
"In post","2023","Declared disabled","Defence Equipment and Support","G6/G7","G6","40","40","68530","69830"
"In post","2023","Declared disabled","Defence Equipment and Support","G6/G7","G7","130","125","54140","54510"
"In post","2023","Declared disabled","Defence Equipment and Support","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","SEO/HEO","HEO","315","305","33180","32500"
"In post","2023","Declared disabled","Defence Equipment and Support","SEO/HEO","SEO","355","340","42280","42620"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","AA/AO","AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","EO","EO","40","40","24800","24630"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","G6/G7","G7","350","335","52090","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","SEO/HEO","HEO","180","175","30360","30650"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","SEO/HEO","SEO","230","225","39650","39890"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","35","35","29290","28740"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","65","60","68020","66790"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","190","185","56060","55120"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","105","105","34660","34670"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","150","150","41920","41360"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G7","60","60","54500","53030"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","HEO","70","65","36390","35620"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","EO","EO","85","80","27610","26940"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","G6/G7","G6","70","70","66200","65780"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","G6/G7","G7","170","160","53580","51910"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","HEO","150","140","32160","31200"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","SEO","205","200","40130","38210"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","85","80","27460","26160"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","70","70","62440","62040"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","225","220","52080","50340"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","200","195","31980","30930"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","245","235","38800","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","EO","EO","35","35","29470","29400"
"In post","2023","Declared disabled","Department for International Trade","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","G6/G7","G7","65","65","56100","55370"
"In post","2023","Declared disabled","Department for International Trade","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","SEO/HEO","HEO","60","60","34920","35010"
"In post","2023","Declared disabled","Department for International Trade","SEO/HEO","SEO","65","65","41990","41550"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","50","50","28950","28850"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","40","40","66800","64970"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","105","105","53830","54630"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","95","90","34010","34310"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","80","80","40630","40590"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","EO","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","G6/G7","G7","60","60","56130","55740"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","HEO","55","50","35390","35760"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","SEO","50","50","44610","43750"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AA","70","60","21300","21250"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AO","5265","4425","21990","21690"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","EO","9010","7925","28770","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G6","115","110","70480","66860"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G7","375","355","53240","50930"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","35","30","90950","81090"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","1610","1490","35240","34170"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","550","515","40220","38470"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G7","50","50","54130","54660"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","45","45","33820","34190"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","55","50","40880","41950"
"In post","2023","Declared disabled","Disclosure Scotland","AA/AO","AA","15","15","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","EO","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","AA","170","130","19040","19000"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","AO","315","260","22560","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","EO","EO","100","90","27320","27390"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","SEO/HEO","HEO","45","40","32860","31940"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","SEO/HEO","SEO","35","35","43610","42180"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","AO","90","80","24670","22500"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","EO","EO","240","205","28810","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","SEO/HEO","HEO","70","70","33190","32670"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","SEO/HEO","SEO","30","30","41790","41870"
"In post","2023","Declared disabled","Education Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","SEO/HEO","SEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Estyn","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G6/G7","G6","10","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","EO","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","G6/G7","G7","10","5","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","EO","EO","35","35","28560","28090"
"In post","2023","Declared disabled","Food Standards Agency","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","G6/G7","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SEO/HEO","HEO","30","30","32910","33000"
"In post","2023","Declared disabled","Food Standards Agency","SEO/HEO","SEO","45","45","39640","38670"
"In post","2023","Declared disabled","Food Standards Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
