"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Cambridgeshire CC","EO","90","85","29760","28120"
"In post","2023","Declared disabled","Cambridgeshire CC","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cambridgeshire CC","SEO/HEO","140","135","38660","35200"
"In post","2023","Declared disabled","Cambridgeshire CC","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Camden and City of London","AA/AO","85","80","25290","25480"
"In post","2023","Declared disabled","Camden and City of London","EO","45","45","31290","30090"
"In post","2023","Declared disabled","Camden and City of London","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Camden and City of London","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Camden and City of London","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cardiff and Vale of Glamorgan","AA/AO","310","280","23090","22520"
"In post","2023","Declared disabled","Cardiff and Vale of Glamorgan","EO","300","275","28390","28120"
"In post","2023","Declared disabled","Cardiff and Vale of Glamorgan","G6/G7","140","135","60830","57980"
"In post","2023","Declared disabled","Cardiff and Vale of Glamorgan","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cardiff and Vale of Glamorgan","SEO/HEO","350","330","37850","35170"
"In post","2023","Declared disabled","Cardiff and Vale of Glamorgan","Unknown","55","50","31380","29050"
"In post","2023","Declared disabled","Causeway Coast and Glens","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Causeway Coast and Glens","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Causeway Coast and Glens","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Causeway Coast and Glens","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Bedfordshire","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Bedfordshire","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Bedfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Hampshire","AA/AO","80","75","25120","22220"
"In post","2023","Declared disabled","Central Hampshire","EO","85","80","27670","27470"
"In post","2023","Declared disabled","Central Hampshire","G6/G7","165","155","54730","49260"
"In post","2023","Declared disabled","Central Hampshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Hampshire","SEO/HEO","260","245","37070","37500"
"In post","2023","Declared disabled","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Valleys","AA/AO","100","90","22050","21690"
"In post","2023","Declared disabled","Central Valleys","EO","260","240","28090","28120"
"In post","2023","Declared disabled","Central Valleys","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Valleys","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Valleys","SEO/HEO","70","65","37200","34970"
"In post","2023","Declared disabled","Central Valleys","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Cheshire East","AA/AO","55","50","24530","22190"
"In post","2023","Declared disabled","Cheshire East","EO","60","50","27930","28120"
"In post","2023","Declared disabled","Cheshire East","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire East","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire East","SEO/HEO","40","35","37230","37300"
"In post","2023","Declared disabled","Cheshire East","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Cheshire West and Chester","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cheshire West and Chester","EO","35","30","27850","28120"
"In post","2023","Declared disabled","Cheshire West and Chester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire West and Chester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire West and Chester","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cheshire West and Chester","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Chorley and West Lancashire","AA/AO","70","60","29010","30430"
"In post","2023","Declared disabled","Chorley and West Lancashire","EO","40","35","29360","28300"
"In post","2023","Declared disabled","Chorley and West Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chorley and West Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chorley and West Lancashire","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Chorley and West Lancashire","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","City of Edinburgh","AA/AO","255","240","24310","23520"
"In post","2023","Declared disabled","City of Edinburgh","EO","300","280","30630","29730"
"In post","2023","Declared disabled","City of Edinburgh","G6/G7","230","220","64310","65280"
"In post","2023","Declared disabled","City of Edinburgh","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","City of Edinburgh","SEO/HEO","485","465","40580","39590"
"In post","2023","Declared disabled","Clackmannanshire and Fife","AA/AO","30","25","[c]","[c]"
