"Status","Year","Age","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Durham","AA","5","5","[c]","[c]"
"In post","2023","16-19","Durham","AO","20","15","25910","28880"
"In post","2023","16-19","Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Ayrshire and North Ayrshire mainland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Ayrshire and North Ayrshire mainland","AO","10","10","19970","19760"
"In post","2023","16-19","East Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AO","5","5","[c]","[c]"
"In post","2023","16-19","East Kent","AO","30","30","22460","22400"
"In post","2023","16-19","East Kent","EO","10","10","26150","25750"
"In post","2023","16-19","East Riding of Yorkshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Riding of Yorkshire","AO","5","5","[c]","[c]"
"In post","2023","16-19","East Surrey","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex Haven Gateway","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex Haven Gateway","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Falkirk","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Falkirk","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Flintshire and Wrexham","AA","10","10","[c]","[c]"
"In post","2023","16-19","Flintshire and Wrexham","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Glasgow City","AA","20","20","22650","22180"
"In post","2023","16-19","Glasgow City","AO","20","15","22540","22520"
"In post","2023","16-19","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North East","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","AO","10","10","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South East","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South West","AO","10","10","22510","22520"
"In post","2023","16-19","Greater Manchester South West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gwynedd","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hackney and Newham","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hackney and Newham","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Harrow and Hillingdon","AO","15","15","26400","26400"
"In post","2023","16-19","Harrow and Hillingdon","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hartlepool and Stockton-on-Tees","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Heart of Essex","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Heart of Essex","AO","5","5","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hounslow and Richmond upon Thames","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverclyde, East Renfrewshire, and Renfrewshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverness and Nairn, Moray, and Badenoch and Strathspey","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverness and Nairn, Moray, and Badenoch and Strathspey","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Isle of Wight","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Isle of Wight","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent Thames Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent Thames Gateway","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kingston upon Hull, City of","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kingston upon Hull, City of","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lambeth","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancaster and Wyre","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancaster and Wyre","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leeds","AA","5","5","[c]","[c]"
"In post","2023","16-19","Leeds","AO","35","35","23570","22520"
"In post","2023","16-19","Leeds","EO","5","5","[c]","[c]"
"In post","2023","16-19","Leeds","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leeds","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicester","AO","5","5","[c]","[c]"
"In post","2023","16-19","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire CC and Rutland","AA","5","5","[c]","[c]"
"In post","2023","16-19","Leicestershire CC and Rutland","AO","10","10","[c]","[c]"
"In post","2023","16-19","Lewisham and Southwark","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lewisham and Southwark","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire CC","AA","5","5","[c]","[c]"
"In post","2023","16-19","Lincolnshire CC","AO","10","10","[c]","[c]"
"In post","2023","16-19","Lisburn and Castlereagh","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Liverpool","AO","35","30","22460","22520"
"In post","2023","16-19","Liverpool","EO","5","5","[c]","[c]"
"In post","2023","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Manchester","AO","15","15","22950","21690"
"In post","2023","16-19","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medway","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medway","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Kent","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Kent","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Lancashire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Lancashire","AO","5","5","[c]","[c]"
"In post","2023","16-19","Mid Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Milton Keynes","AO","10","10","[c]","[c]"
"In post","2023","16-19","Milton Keynes","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Milton Keynes","Unknown","25","25","23030","22750"
"In post","2023","16-19","Monmouthshire and Newport","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Monmouthshire and Newport","AO","10","10","21520","21200"
"In post","2023","16-19","Monmouthshire and Newport","EO","5","5","[c]","[c]"
"In post","2023","16-19","North Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Lanarkshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North and North East Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North and West Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North and West Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Norwich and East Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Norwich and East Norfolk","AO","5","5","[c]","[c]"
"In post","2023","16-19","Norwich and East Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Nottingham","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Nottingham","AO","30","30","23790","22520"
"In post","2023","16-19","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Nottingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Oxfordshire CC","AA","5","5","[c]","[c]"
"In post","2023","16-19","Oxfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Perth and Kinross, and Stirling","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Perth and Kinross, and Stirling","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Peterborough","AO","10","5","[c]","[c]"
"In post","2023","16-19","Peterborough","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Plymouth","AA","5","5","[c]","[c]"
"In post","2023","16-19","Plymouth","AO","5","5","[c]","[c]"
"In post","2023","16-19","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Plymouth","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Plymouth","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Portsmouth","AO","5","5","[c]","[c]"
"In post","2023","16-19","Portsmouth","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Borders","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Borders","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Sefton","AO","10","10","[c]","[c]"
"In post","2023","16-19","Sefton","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Sheffield","AO","10","10","21750","21690"
"In post","2023","16-19","Sheffield","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Sheffield","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shetland Islands","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Solihull","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Somerset CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Ayrshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Hampshire","AA","5","5","[c]","[c]"
"In post","2023","16-19","South Hampshire","AO","15","15","19820","18780"
"In post","2023","16-19","South Hampshire","EO","5","5","[c]","[c]"
"In post","2023","16-19","South Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Lanarkshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Lanarkshire","AO","10","10","22650","22520"
"In post","2023","16-19","South Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Teesside","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South and West Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South and West Derbyshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Southampton","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Staffordshire CC","AA","10","10","20530","23230"
"In post","2023","16-19","Staffordshire CC","AO","10","10","[c]","[c]"
"In post","2023","16-19","Staffordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Stoke-on-Trent","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Suffolk CC","AA","10","5","[c]","[c]"
"In post","2023","16-19","Suffolk CC","AO","5","5","[c]","[c]"
"In post","2023","16-19","Sunderland","AO","10","5","[c]","[c]"
"In post","2023","16-19","Sunderland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Swansea","AA","40","35","19000","19000"
"In post","2023","16-19","Swansea","AO","40","40","22440","22500"
"In post","2023","16-19","Swansea","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Swansea","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Swindon","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Thurrock","AO","5","5","[c]","[c]"
"In post","2023","16-19","Tower Hamlets","AO","10","10","[c]","[c]"
"In post","2023","16-19","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tyneside","AO","25","25","22240","22520"
"In post","2023","16-19","Tyneside","EO","5","5","[c]","[c]"
"In post","2023","16-19","Tyneside","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Wakefield","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wakefield","AO","10","10","[c]","[c]"
"In post","2023","16-19","Wandsworth","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wandsworth","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Warrington","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Warrington","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Warwickshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Cumbria","AO","10","10","[c]","[c]"
"In post","2023","16-19","West Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Surrey","AO","5","5","[c]","[c]"
"In post","2023","16-19","West Sussex (South West)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Westminster","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Westminster","AO","20","20","23390","23710"
"In post","2023","16-19","Westminster","EO","35","35","28490","28730"
"In post","2023","16-19","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wiltshire","AA","10","10","20920","19430"
"In post","2023","16-19","Wiltshire","AO","25","25","22860","23340"
"In post","2023","16-19","Wiltshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wirral","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wirral","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wolverhampton","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Worcestershire CC","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Worcestershire CC","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Worcestershire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","York","AO","5","5","[c]","[c]"
"In post","2023","16-19","York","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","AA","15","15","23380","22920"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","AO","80","75","26460","25710"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","EO","95","95","30850","29450"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","HEO","35","35","35510","34730"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Angus and Dundee City","AA","165","155","22740","22180"
"In post","2023","20-29","Angus and Dundee City","AO","70","65","23460","22180"
"In post","2023","20-29","Angus and Dundee City","EO","110","110","29310","29100"
"In post","2023","20-29","Angus and Dundee City","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Angus and Dundee City","HEO","25","25","34230","34450"
"In post","2023","20-29","Angus and Dundee City","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Antrim and Newtownabbey","AA","10","10","[c]","[c]"
"In post","2023","20-29","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Antrim and Newtownabbey","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ards and North Down","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ards and North Down","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ards and North Down","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Armagh City, Banbridge and Craigavon","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Barking & Dagenham and Havering","AO","10","10","25900","25610"
"In post","2023","20-29","Barking & Dagenham and Havering","EO","55","50","32520","32520"
"In post","2023","20-29","Barking & Dagenham and Havering","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Barking & Dagenham and Havering","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Barking & Dagenham and Havering","Unknown","25","25","29270","28580"
"In post","2023","20-29","Barnet","AA","15","10","23490","23470"
"In post","2023","20-29","Barnet","AO","35","35","25650","24780"
"In post","2023","20-29","Barnet","EO","95","95","29790","28240"
"In post","2023","20-29","Barnet","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Barnet","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Barnet","HEO","85","85","33850","33330"
"In post","2023","20-29","Barnet","SEO","50","50","41360","40880"
"In post","2023","20-29","Barnet","Unknown","20","20","29840","28580"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","AA","60","60","23010","23230"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","AO","205","205","28580","28880"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","EO","50","50","30120","28120"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","HEO","20","20","33260","32420"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","Unknown","75","75","26950","24570"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","25","25","23490","23230"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","715","710","23790","22410"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","375","370","27760","26600"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","35","35","52540","54440"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","750","745","32510","32500"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","330","330","40530","41000"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","430","425","30240","28850"
"In post","2023","20-29","Bedford","AA","20","20","23230","23230"
"In post","2023","20-29","Bedford","AO","90","90","30430","30880"
"In post","2023","20-29","Bedford","EO","25","25","28400","27350"
"In post","2023","20-29","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Bedford","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Bedford","Unknown","15","10","23650","23640"
"In post","2023","20-29","Belfast","AO","275","265","22480","22520"
"In post","2023","20-29","Belfast","EO","135","135","27580","27890"
"In post","2023","20-29","Belfast","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Belfast","HEO","70","70","34250","34700"
"In post","2023","20-29","Belfast","SEO","20","20","39270","37890"
"In post","2023","20-29","Berkshire","AA","5","5","[c]","[c]"
"In post","2023","20-29","Berkshire","AO","175","170","28070","28410"
"In post","2023","20-29","Berkshire","EO","75","75","31160","31280"
"In post","2023","20-29","Berkshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Berkshire","HEO","30","30","33010","32660"
"In post","2023","20-29","Berkshire","SEO","30","30","40210","40800"
"In post","2023","20-29","Berkshire","Unknown","60","60","26010","24570"
"In post","2023","20-29","Bexley and Greenwich","AA","35","35","26760","26630"
"In post","2023","20-29","Bexley and Greenwich","AO","165","160","32410","33810"
"In post","2023","20-29","Bexley and Greenwich","EO","60","60","33080","32520"
"In post","2023","20-29","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Bexley and Greenwich","HEO","10","10","34940","33650"
"In post","2023","20-29","Bexley and Greenwich","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Bexley and Greenwich","Unknown","15","15","28950","28460"
"In post","2023","20-29","Birmingham","AA","35","35","21690","23230"
"In post","2023","20-29","Birmingham","AO","1125","1085","22960","22220"
"In post","2023","20-29","Birmingham","EO","715","710","27680","27890"
"In post","2023","20-29","Birmingham","G6","5","5","[c]","[c]"
"In post","2023","20-29","Birmingham","G7","90","90","53000","51770"
"In post","2023","20-29","Birmingham","HEO","445","445","33270","33130"
"In post","2023","20-29","Birmingham","SEO","140","140","40150","39430"
"In post","2023","20-29","Birmingham","Unknown","125","120","25440","24570"
"In post","2023","20-29","Blackburn with Darwen","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Blackburn with Darwen","AO","5","5","[c]","[c]"
"In post","2023","20-29","Blackburn with Darwen","EO","10","10","28100","28120"
"In post","2023","20-29","Blackburn with Darwen","Unknown","30","25","24880","23640"
"In post","2023","20-29","Blackpool","AO","245","240","21690","21690"
"In post","2023","20-29","Blackpool","EO","275","270","28100","28120"
"In post","2023","20-29","Blackpool","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Blackpool","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Blackpool","HEO","65","65","33830","34170"
"In post","2023","20-29","Blackpool","SEO","15","15","39370","38470"
"In post","2023","20-29","Blackpool","Unknown","15","15","25420","23640"
"In post","2023","20-29","Bournemouth, Christchurch and Poole","AA","5","5","[c]","[c]"
