"Status","Year","Organisation","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Scotland","South Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Central Hampshire","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Central Hampshire","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","East Kent","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","East Kent","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Mid Kent","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Mid Kent","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Oxfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Oxfordshire CC","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Portsmouth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","Portsmouth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","South Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","South Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","West Surrey","Female","400","375","33160","29080"
"In post","2023","Animal and Plant Health Agency","South East (England)","West Surrey","Male","260","250","35630","33830"
"In post","2023","Animal and Plant Health Agency","South East (England)","West Sussex (North East)","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","West Sussex (North East)","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Bristol, City of","Female","45","45","26230","22150"
"In post","2023","Animal and Plant Health Agency","South West (England)","Bristol, City of","Male","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","Female","35","30","31820","30320"
"In post","2023","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","Male","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Devon CC","Female","135","125","28280","25920"
"In post","2023","Animal and Plant Health Agency","South West (England)","Devon CC","Male","85","80","28130","22150"
"In post","2023","Animal and Plant Health Agency","South West (England)","Dorset","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Gloucestershire CC","Female","45","40","31690","30320"
"In post","2023","Animal and Plant Health Agency","South West (England)","Gloucestershire CC","Male","40","40","31500","25920"
"In post","2023","Animal and Plant Health Agency","South West (England)","Somerset CC","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Somerset CC","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Wiltshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","Wiltshire","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","Cardiff and Vale of Glamorgan","Female","60","60","28040","22150"
"In post","2023","Animal and Plant Health Agency","Wales","Cardiff and Vale of Glamorgan","Male","40","35","32870","28590"
"In post","2023","Animal and Plant Health Agency","Wales","Gwent Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","Gwent Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","Gwynedd","Female","50","40","28030","24030"
"In post","2023","Animal and Plant Health Agency","Wales","Gwynedd","Male","20","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","Powys","Female","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","Powys","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wales","South West Wales","Female","100","95","27930","25920"
"In post","2023","Animal and Plant Health Agency","Wales","South West Wales","Male","55","55","30960","25920"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Shropshire","Female","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Shropshire","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Staffordshire CC","Female","65","60","27660","22150"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Staffordshire CC","Male","30","30","27260","25920"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Telford and Wrekin","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Telford and Wrekin","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Worcestershire CC","Female","105","95","28800","26030"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Worcestershire CC","Male","65","60","33940","30750"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","East Riding of Yorkshire","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","East Riding of Yorkshire","Male","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire CC","Female","70","65","30260","26180"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire CC","Male","75","70","33390","30320"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","York","Female","65","65","26490","24920"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","York","Male","65","65","27530","24920"
"In post","2023","Attorney General's Office","London","Westminster","Female","30","25","[c]","[c]"
"In post","2023","Attorney General's Office","London","Westminster","Male","20","20","[c]","[c]"
"In post","2023","Building Digital UK","East Midlands (England)","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","East Midlands (England)","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","Westminster","Female","75","75","46830","52760"
"In post","2023","Building Digital UK","London","Westminster","Male","65","65","50980","53030"
"In post","2023","Building Digital UK","North East (England)","Darlington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","North East (England)","Darlington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","North East (England)","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","North East (England)","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","North West (England)","Manchester","Female","25","25","[c]","[c]"
"In post","2023","Building Digital UK","North West (England)","Manchester","Male","35","35","44140","45500"
"In post","2023","Building Digital UK","Northern Ireland","Belfast","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Northern Ireland","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Scotland","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Scotland","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","South West (England)","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","South West (England)","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Wales","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Wales","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Lincolnshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Lincolnshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","East Midlands (England)","Nottingham","Male","[c]","[c]","[c]","[c]"
