"Status","Year","Age","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Mid Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Lancashire","Female","10","10","[c]","[c]"
"In post","2023","16-19","Mid Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Milton Keynes","Female","10","10","[c]","[c]"
"In post","2023","16-19","Milton Keynes","Male","25","25","[c]","[c]"
"In post","2023","16-19","Monmouthshire and Newport","Female","10","10","[c]","[c]"
"In post","2023","16-19","Monmouthshire and Newport","Male","10","10","[c]","[c]"
"In post","2023","16-19","North Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Lanarkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2023","16-19","North and North East Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North and North East Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Nottingham","Female","15","15","[c]","[c]"
"In post","2023","16-19","Nottingham","Male","15","15","[c]","[c]"
"In post","2023","16-19","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Oxfordshire CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","Perth and Kinross, and Stirling","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Perth and Kinross, and Stirling","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Peterborough","Male","5","5","[c]","[c]"
"In post","2023","16-19","Plymouth","Female","5","5","[c]","[c]"
"In post","2023","16-19","Plymouth","Male","15","15","[c]","[c]"
"In post","2023","16-19","Portsmouth","Female","5","5","[c]","[c]"
"In post","2023","16-19","Portsmouth","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Borders","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Borders","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Sefton","Female","5","5","[c]","[c]"
"In post","2023","16-19","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Sheffield","Female","15","15","[c]","[c]"
"In post","2023","16-19","Sheffield","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shetland Islands","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shetland Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Solihull","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Solihull","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Somerset CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Somerset CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Ayrshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Ayrshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Hampshire","Female","10","10","[c]","[c]"
"In post","2023","16-19","South Hampshire","Male","20","20","[c]","[c]"
"In post","2023","16-19","South Lanarkshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","South Lanarkshire","Male","5","5","[c]","[c]"
"In post","2023","16-19","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Teesside","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Teesside","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Southampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Southampton","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Staffordshire CC","Female","10","10","[c]","[c]"
"In post","2023","16-19","Staffordshire CC","Male","10","10","[c]","[c]"
"In post","2023","16-19","Stoke-on-Trent","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Stoke-on-Trent","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Suffolk CC","Female","10","10","[c]","[c]"
"In post","2023","16-19","Suffolk CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","Sunderland","Female","5","5","[c]","[c]"
"In post","2023","16-19","Sunderland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Swansea","Female","55","50","20970","22150"
"In post","2023","16-19","Swansea","Male","30","25","20650","19000"
"In post","2023","16-19","Swindon","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Swindon","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tower Hamlets","Female","10","10","[c]","[c]"
"In post","2023","16-19","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tyneside","Female","15","15","[c]","[c]"
"In post","2023","16-19","Tyneside","Male","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Female","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Male","25","25","[c]","[c]"
"In post","2023","16-19","Wakefield","Female","5","5","[c]","[c]"
"In post","2023","16-19","Wakefield","Male","5","5","[c]","[c]"
"In post","2023","16-19","Wandsworth","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wandsworth","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Warrington","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Warrington","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Warwickshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Warwickshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Cumbria","Female","5","5","[c]","[c]"
"In post","2023","16-19","West Cumbria","Male","5","5","[c]","[c]"
"In post","2023","16-19","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Westminster","Female","35","35","26790","27940"
"In post","2023","16-19","Westminster","Male","25","25","[c]","[c]"
"In post","2023","16-19","Wiltshire","Female","15","15","[c]","[c]"
"In post","2023","16-19","Wiltshire","Male","20","20","[c]","[c]"
"In post","2023","16-19","Wirral","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wirral","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wolverhampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wolverhampton","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Worcestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Worcestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","York","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","York","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","Female","145","140","29900","29100"
"In post","2023","20-29","Aberdeen City and Aberdeenshire","Male","85","85","30610","29450"
"In post","2023","20-29","Angus and Dundee City","Female","210","200","26240","24600"
"In post","2023","20-29","Angus and Dundee City","Male","170","165","25700","23340"
"In post","2023","20-29","Antrim and Newtownabbey","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Antrim and Newtownabbey","Male","10","10","[c]","[c]"
"In post","2023","20-29","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Barking & Dagenham and Havering","Female","60","60","31180","32520"
"In post","2023","20-29","Barking & Dagenham and Havering","Male","30","30","[c]","[c]"
"In post","2023","20-29","Barnet","Female","210","205","32980","32980"
"In post","2023","20-29","Barnet","Male","100","95","32010","32520"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","Female","265","260","27530","28120"
"In post","2023","20-29","Barnsley, Doncaster and Rotherham","Male","145","145","28720","28880"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","1155","1135","30250","30740"
"In post","2023","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","1510","1505","30420","31530"
"In post","2023","20-29","Bedford","Female","95","95","28290","28480"
"In post","2023","20-29","Bedford","Male","65","65","30270","30880"
"In post","2023","20-29","Belfast","Female","265","255","26490","22520"
"In post","2023","20-29","Belfast","Male","245","240","26480","22520"
