"Status","Year","Age","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","No function","Policy","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","No function","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Science and Engineering","Outside London","70","70","19130","18460"
"In post","2023","16-19","No function","Tax","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","No function","Unknown","London","10","10","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Outside London","15","15","22520","22520"
"In post","2023","16-19","No function","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","Outside London","15","15","23010","19750"
"In post","2023","16-19","Project Delivery","Science and Engineering","Outside London","15","15","18580","18280"
"In post","2023","16-19","Property","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Property","Other","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Property","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Property","Outside London","35","35","23030","22750"
"In post","2023","16-19","Security","Security","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Security","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","Unknown","30","30","19370","17400"
"In post","2023","16-19","Unknown","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Science and Engineering","Outside London","15","15","20980","19430"
"In post","2023","16-19","Unknown","Unknown","Outside London","55","55","23010","22180"
"In post","2023","20-29","Analysis","Digital, Data and Technology","London","25","25","41310","39530"
"In post","2023","20-29","Analysis","Digital, Data and Technology","Outside London","10","10","38020","34000"
"In post","2023","20-29","Analysis","Economics","London","800","800","41690","38990"
"In post","2023","20-29","Analysis","Economics","Outside London","260","260","33400","31560"
"In post","2023","20-29","Analysis","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Finance","London","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","Outside London","10","10","27910","25980"
"In post","2023","20-29","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","London","45","45","32610","28720"
"In post","2023","20-29","Analysis","Operational Delivery","Outside London","120","120","32490","31060"
"In post","2023","20-29","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Research","London","115","115","42590","39280"
"In post","2023","20-29","Analysis","Operational Research","Outside London","150","145","34120","33950"
"In post","2023","20-29","Analysis","Other","London","105","105","38900","35770"
"In post","2023","20-29","Analysis","Other","Outside London","35","35","30450","31270"
"In post","2023","20-29","Analysis","Policy","London","55","55","42530","39150"
"In post","2023","20-29","Analysis","Policy","Outside London","45","45","34920","34170"
"In post","2023","20-29","Analysis","Project Delivery","London","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Science and Engineering","Outside London","305","300","31660","30650"
"In post","2023","20-29","Analysis","Social Research","London","250","245","42520","40190"
"In post","2023","20-29","Analysis","Social Research","Outside London","330","325","35830","33950"
"In post","2023","20-29","Analysis","Statistics","London","475","470","38830","36330"
"In post","2023","20-29","Analysis","Statistics","Outside London","485","480","35990","34170"
"In post","2023","20-29","Analysis","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","London","35","35","36500","35150"
"In post","2023","20-29","Analysis","Unknown","Outside London","15","15","37480","34900"
"In post","2023","20-29","Commercial","Commercial","London","275","275","41600","35760"
"In post","2023","20-29","Commercial","Commercial","Outside London","750","745","32720","31640"
"In post","2023","20-29","Commercial","Commercial","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","London","60","60","40900","42000"
"In post","2023","20-29","Commercial","Operational Delivery","Outside London","20","20","30910","28360"
"In post","2023","20-29","Commercial","Other","London","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Other","Outside London","20","20","33530","31880"
"In post","2023","20-29","Commercial","Policy","London","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","Outside London","10","10","34770","34170"
"In post","2023","20-29","Commercial","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","London","10","10","45320","41950"
"In post","2023","20-29","Commercial","Unknown","Outside London","20","20","38430","34400"
"In post","2023","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Communications","London","485","485","38410","37870"
"In post","2023","20-29","Communications","Communications","Outside London","255","250","31980","31170"
"In post","2023","20-29","Communications","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","London","15","15","39910","39150"
"In post","2023","20-29","Communications","Operational Delivery","London","10","10","43880","42250"
"In post","2023","20-29","Communications","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Other","London","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Other","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","London","55","55","37790","35400"
"In post","2023","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Counter Fraud","London","295","295","32670","32520"
"In post","2023","20-29","Counter Fraud","Counter Fraud","Outside London","905","895","28520","28120"
"In post","2023","20-29","Counter Fraud","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Intelligence Analysis","London","30","30","37020","39450"
"In post","2023","20-29","Counter Fraud","Intelligence Analysis","Outside London","20","20","31730","31150"
"In post","2023","20-29","Counter Fraud","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Legal","London","70","70","33630","32540"
"In post","2023","20-29","Counter Fraud","Legal","Outside London","140","135","29200","28130"
"In post","2023","20-29","Counter Fraud","Operational Delivery","London","25","25","35420","32540"
"In post","2023","20-29","Counter Fraud","Operational Delivery","Outside London","250","245","29250","27890"
"In post","2023","20-29","Counter Fraud","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Other","Outside London","10","10","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Tax","London","35","35","40380","39450"
"In post","2023","20-29","Counter Fraud","Tax","Outside London","130","130","34020","28130"
"In post","2023","20-29","Counter Fraud","Unknown","London","40","40","35880","32580"
"In post","2023","20-29","Counter Fraud","Unknown","Outside London","25","25","32510","28010"
"In post","2023","20-29","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Operational Delivery","London","100","95","27190","26920"
"In post","2023","20-29","Debt","Operational Delivery","Outside London","970","940","23400","22520"
"In post","2023","20-29","Debt","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Other","Outside London","390","375","22390","21690"
"In post","2023","20-29","Debt","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Tax","London","5","5","[c]","[c]"
"In post","2023","20-29","Debt","Tax","Outside London","230","225","23190","22520"
"In post","2023","20-29","Debt","Unknown","London","5","5","[c]","[c]"
"In post","2023","20-29","Debt","Unknown","Outside London","15","15","25260","25090"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","London","800","800","40400","39110"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","Outside London","2475","2455","34310","33430"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Economics","London","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Human Resources","London","10","10","34060","35650"
"In post","2023","20-29","Digital, Data & Technology","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","London","25","25","34290","31840"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","Outside London","70","70","28540","27140"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","London","25","25","36330","34180"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","Outside London","175","175","30600","30930"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","Overseas","15","15","31100","30930"
"In post","2023","20-29","Digital, Data & Technology","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Other","London","15","15","34030","36180"
"In post","2023","20-29","Digital, Data & Technology","Other","Outside London","40","40","25490","21500"
"In post","2023","20-29","Digital, Data & Technology","Policy","London","10","10","44430","41010"
"In post","2023","20-29","Digital, Data & Technology","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Project Delivery","London","35","35","35850","36000"
"In post","2023","20-29","Digital, Data & Technology","Project Delivery","Outside London","15","15","36970","34800"
"In post","2023","20-29","Digital, Data & Technology","Science and Engineering","Outside London","70","70","28480","26650"
"In post","2023","20-29","Digital, Data & Technology","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Tax","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Tax","Outside London","20","20","32960","34400"
"In post","2023","20-29","Digital, Data & Technology","Unknown","London","40","40","43590","41870"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Outside London","120","120","36940","34550"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Commercial","London","15","15","38890","39150"
"In post","2023","20-29","Finance","Commercial","Outside London","50","50","33450","34170"
"In post","2023","20-29","Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Corporate Finance","London","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Finance","London","355","355","40250","37510"
"In post","2023","20-29","Finance","Finance","Outside London","960","945","30810","28120"
"In post","2023","20-29","Finance","Finance","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Operational Delivery","London","15","15","37550","32540"
"In post","2023","20-29","Finance","Operational Delivery","Outside London","130","125","25640","22520"
"In post","2023","20-29","Finance","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Security","London","10","10","42490","39150"
"In post","2023","20-29","Finance","Security","Outside London","25","25","35460","34170"
"In post","2023","20-29","Finance","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Tax","London","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Tax","Outside London","20","20","27660","27650"
"In post","2023","20-29","Finance","Unknown","London","55","55","43220","40830"
"In post","2023","20-29","Finance","Unknown","Outside London","40","35","32530","34400"
"In post","2023","20-29","Grants Management","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","Operational Delivery","Outside London","410","400","23540","22150"
"In post","2023","20-29","Grants Management","Policy","London","10","10","44850","43210"
"In post","2023","20-29","Grants Management","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Human Resources","London","455","455","39110","35700"
"In post","2023","20-29","Human Resources","Human Resources","Outside London","935","925","29950","28040"
"In post","2023","20-29","Human Resources","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Operational Delivery","London","10","10","36080","32520"
"In post","2023","20-29","Human Resources","Operational Delivery","Outside London","100","100","28840","28120"
"In post","2023","20-29","Human Resources","Other","London","10","10","[c]","[c]"
"In post","2023","20-29","Human Resources","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Project Delivery","London","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Tax","Outside London","30","30","31020","28130"
"In post","2023","20-29","Human Resources","Unknown","London","35","35","39490","35240"
"In post","2023","20-29","Human Resources","Unknown","Outside London","45","45","36680","34400"
"In post","2023","20-29","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Internal Audit","London","20","20","38110","35500"
"In post","2023","20-29","Internal Audit","Internal Audit","Outside London","30","30","32040","31940"
"In post","2023","20-29","Internal Audit","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Finance","Outside London","10","10","[c]","[c]"
"In post","2023","20-29","Legal","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","20-29","Legal","Knowledge and Information Management","Outside London","15","15","28800","28120"
"In post","2023","20-29","Legal","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Legal","London","370","370","41000","40800"
"In post","2023","20-29","Legal","Legal","Outside London","410","405","41710","45150"
"In post","2023","20-29","Legal","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Operational Delivery","London","345","340","27610","27760"
"In post","2023","20-29","Legal","Operational Delivery","Outside London","705","695","24990","24430"
"In post","2023","20-29","Legal","Other","London","5","5","[c]","[c]"
"In post","2023","20-29","Legal","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Policy","London","15","15","39260","37790"
"In post","2023","20-29","Legal","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Tax","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Tax","Outside London","30","30","37770","34700"
"In post","2023","20-29","Legal","Unknown","London","20","20","45250","39110"
"In post","2023","20-29","Legal","Unknown","Outside London","15","15","37490","34700"
"In post","2023","20-29","No function","Commercial","London","15","15","42570","38430"
"In post","2023","20-29","No function","Commercial","Outside London","15","15","33510","30940"
"In post","2023","20-29","No function","Communications","London","35","35","42730","41410"
"In post","2023","20-29","No function","Communications","Outside London","10","10","35050","32160"
"In post","2023","20-29","No function","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","Counter Fraud","Outside London","15","15","27280","25880"
"In post","2023","20-29","No function","Digital, Data and Technology","London","85","85","49940","45340"
"In post","2023","20-29","No function","Digital, Data and Technology","Outside London","35","35","35110","32980"
"In post","2023","20-29","No function","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","Economics","London","130","130","46510","41550"
"In post","2023","20-29","No function","Economics","Outside London","15","15","41850","40450"
"In post","2023","20-29","No function","Finance","London","15","15","43200","41870"
"In post","2023","20-29","No function","Finance","Outside London","10","10","29430","25300"
"In post","2023","20-29","No function","Geography","Outside London","100","100","27560","27610"
"In post","2023","20-29","No function","Human Resources","London","20","20","42530","38960"
"In post","2023","20-29","No function","Human Resources","Outside London","15","15","30120","28010"
"In post","2023","20-29","No function","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","Intelligence Analysis","London","175","175","35760","36350"
"In post","2023","20-29","No function","Intelligence Analysis","Outside London","220","215","29160","27480"
