"Status","Year","Age","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Unknown","Unknown","25","25","23470","22750"
"In post","2023","16-19","HM Land Registry","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","AA/AO","AO","175","170","22750","22520"
"In post","2023","16-19","HM Revenue and Customs","EO","EO","20","20","27870","27650"
"In post","2023","16-19","HM Revenue and Customs","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","AA/AO","AO","105","95","23080","22400"
"In post","2023","16-19","Home Office","EO","EO","30","30","26960","25750"
"In post","2023","16-19","Ministry of Defence","AA/AO","AA","30","30","19080","19430"
"In post","2023","16-19","Ministry of Defence","AA/AO","AO","150","150","20130","19460"
"In post","2023","16-19","Ministry of Defence","EO","EO","10","10","26880","27080"
"In post","2023","16-19","Ministry of Defence","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Unknown","50","50","19310","18280"
"In post","2023","16-19","Ministry of Justice","AA/AO","AA","115","115","23240","23230"
"In post","2023","16-19","Ministry of Justice","AA/AO","AO","195","190","27860","28880"
"In post","2023","16-19","Ministry of Justice","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Unknown","Unknown","35","30","20180","19090"
"In post","2023","16-19","National Crime Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","AA/AO","AA","50","50","22400","22180"
"In post","2023","16-19","Scottish Government","AA/AO","AO","25","25","24650","24710"
"In post","2023","16-19","The National Archives","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","EO","15","15","24840","24840"
"In post","2023","16-19","Welsh Government","AA/AO","AO","10","10","22670","22150"
"In post","2023","20-29","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","AA/AO","AO","565","560","23000","22870"
"In post","2023","20-29","Attorney General's Departments","EO","EO","625","620","28090","27760"
"In post","2023","20-29","Attorney General's Departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","G6/G7","G7","190","190","51790","52020"
"In post","2023","20-29","Attorney General's Departments","SEO/HEO","HEO","210","210","35540","32660"
"In post","2023","20-29","Attorney General's Departments","SEO/HEO","SEO","125","125","39920","38940"
"In post","2023","20-29","Cabinet Office","AA/AO","AO","135","135","22640","21720"
"In post","2023","20-29","Cabinet Office","EO","EO","315","310","26850","28050"
"In post","2023","20-29","Cabinet Office","G6/G7","G6","40","40","67520","66530"
"In post","2023","20-29","Cabinet Office","G6/G7","G7","355","355","56650","56430"
"In post","2023","20-29","Cabinet Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","SEO/HEO","HEO","1875","1875","31420","30130"
"In post","2023","20-29","Cabinet Office","SEO/HEO","SEO","255","255","40720","41410"
"In post","2023","20-29","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","EO","EO","25","25","29120","30090"
"In post","2023","20-29","Chancellor's other departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","SEO/HEO","HEO","25","25","35930","36480"
"In post","2023","20-29","Chancellor's other departments","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Charity Commission","AA/AO","AO","10","10","21500","21100"
"In post","2023","20-29","Charity Commission","EO","EO","30","30","25330","25300"
"In post","2023","20-29","Charity Commission","SEO/HEO","HEO","25","25","30220","30170"
"In post","2023","20-29","Charity Commission","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","AA/AO","AO","20","20","23200","23200"
"In post","2023","20-29","Competition and Markets Authority","EO","EO","25","25","27840","27550"
"In post","2023","20-29","Competition and Markets Authority","G6/G7","G7","45","45","56870","55130"
"In post","2023","20-29","Competition and Markets Authority","SEO/HEO","HEO","70","70","34560","34110"
"In post","2023","20-29","Competition and Markets Authority","SEO/HEO","SEO","10","10","44380","42920"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","AA","50","50","19120","19080"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","AO","285","280","22290","22180"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","EO","EO","485","480","27030","26650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","G6","40","40","67160","66490"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","G7","620","615","55960","55120"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","835","830","33950","34410"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","810","810","41560","41360"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","EO","EO","100","100","27600","27230"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","G6/G7","G7","175","175","54190","53030"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","380","380","36760","35620"
"In post","2023","20-29","Department for Education","AA/AO","AO","25","25","22720","22020"
"In post","2023","20-29","Department for Education","EO","EO","315","310","27150","25900"
"In post","2023","20-29","Department for Education","G6/G7","G6","20","20","65010","65780"
"In post","2023","20-29","Department for Education","G6/G7","G7","255","255","53530","55020"
"In post","2023","20-29","Department for Education","SEO/HEO","HEO","490","485","32120","30330"
"In post","2023","20-29","Department for Education","SEO/HEO","SEO","480","475","40210","38210"
"In post","2023","20-29","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","AA/AO","AO","575","565","22580","22150"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","EO","EO","530","525","26880","25920"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","G6/G7","G7","190","190","52960","54330"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","695","690","32220","33830"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","395","390","39210","40260"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Department for International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","EO","EO","145","145","28810","29280"
"In post","2023","20-29","Department for International Trade","G6/G7","G6","10","10","65550","65820"
"In post","2023","20-29","Department for International Trade","G6/G7","G7","240","240","56190","55370"
"In post","2023","20-29","Department for International Trade","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","SEO/HEO","HEO","405","400","34810","35010"
"In post","2023","20-29","Department for International Trade","SEO/HEO","SEO","350","345","41610","41550"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","AA/AO","AO","45","40","22350","21960"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","EO","EO","115","110","28030","28850"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","G6/G7","G6","20","20","64720","64970"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","G6/G7","G7","225","225","54030","54630"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","310","310","33210","33880"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","215","215","40430","40800"
"In post","2023","20-29","Department for Transport","AA/AO","AA","195","175","19200","19000"
"In post","2023","20-29","Department for Transport","AA/AO","AO","660","635","23010","22500"
"In post","2023","20-29","Department for Transport","EO","EO","375","370","28390","26960"
"In post","2023","20-29","Department for Transport","G6/G7","G6","20","20","67330","66750"
"In post","2023","20-29","Department for Transport","G6/G7","G7","230","225","55440","55740"
"In post","2023","20-29","Department for Transport","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Transport","SEO/HEO","HEO","500","500","34580","35400"
"In post","2023","20-29","Department for Transport","SEO/HEO","SEO","280","280","43130","43750"
"In post","2023","20-29","Department for Work and Pensions","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions","AA/AO","AO","3130","3035","22080","21690"
"In post","2023","20-29","Department for Work and Pensions","EO","EO","4395","4310","28960","28120"
"In post","2023","20-29","Department for Work and Pensions","G6/G7","G6","10","10","69700","69700"
"In post","2023","20-29","Department for Work and Pensions","G6/G7","G7","160","160","54440","55150"
"In post","2023","20-29","Department for Work and Pensions","SEO/HEO","HEO","990","985","35180","34170"
"In post","2023","20-29","Department for Work and Pensions","SEO/HEO","SEO","320","320","41000","40500"
"In post","2023","20-29","Department of Health and Social Care","AA/AO","AA","30","30","21670","21560"
"In post","2023","20-29","Department of Health and Social Care","AA/AO","AO","170","160","22610","22480"
"In post","2023","20-29","Department of Health and Social Care","EO","EO","480","475","27170","27840"
"In post","2023","20-29","Department of Health and Social Care","G6/G7","G6","35","35","68130","67780"
"In post","2023","20-29","Department of Health and Social Care","G6/G7","G7","325","320","54120","54690"
"In post","2023","20-29","Department of Health and Social Care","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","SEO/HEO","HEO","675","665","32800","33390"
"In post","2023","20-29","Department of Health and Social Care","SEO/HEO","SEO","485","485","40820","41280"
"In post","2023","20-29","Estyn","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","20-29","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","EO","EO","30","30","27410","26910"
"In post","2023","20-29","Food Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","SEO/HEO","HEO","60","60","31870","31260"
"In post","2023","20-29","Food Standards Agency","SEO/HEO","SEO","55","55","39620","38100"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","AA/AO","AO","160","160","26210","25700"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","EO","EO","270","270","30040","29900"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","G6/G7","G7","195","195","54560","54960"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","755","755","36360","36620"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","170","165","43220","43000"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","Unknown","Unknown","30","30","25140","23800"
"In post","2023","20-29","HM Land Registry","AA/AO","AA","15","15","20670","20060"
"In post","2023","20-29","HM Land Registry","AA/AO","AO","410","400","23480","23390"
"In post","2023","20-29","HM Land Registry","EO","EO","445","435","28500","28080"
"In post","2023","20-29","HM Land Registry","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Land Registry","SEO/HEO","HEO","135","130","36260","34850"
"In post","2023","20-29","HM Land Registry","SEO/HEO","SEO","30","30","42030","43150"
"In post","2023","20-29","HM Revenue and Customs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Revenue and Customs","AA/AO","AO","4350","4200","22720","22520"
"In post","2023","20-29","HM Revenue and Customs","EO","EO","3270","3235","28390","27890"
"In post","2023","20-29","HM Revenue and Customs","G6/G7","G6","30","30","71650","71300"
"In post","2023","20-29","HM Revenue and Customs","G6/G7","G7","460","455","59180","57970"
"In post","2023","20-29","HM Revenue and Customs","SEO/HEO","HEO","2590","2580","35380","34700"
"In post","2023","20-29","HM Revenue and Customs","SEO/HEO","SEO","765","760","43080","42140"
"In post","2023","20-29","HM Treasury","AA/AO","AO","30","30","23100","23210"
"In post","2023","20-29","HM Treasury","EO","EO","130","130","26760","27820"
"In post","2023","20-29","HM Treasury","G6/G7","G6","10","10","64150","64260"
"In post","2023","20-29","HM Treasury","G6/G7","G7","260","260","54400","54090"
"In post","2023","20-29","HM Treasury","SEO/HEO","HEO","450","450","33550","33630"
"In post","2023","20-29","HM Treasury","SEO/HEO","SEO","55","55","40110","39050"
"In post","2023","20-29","Home Office","AA/AO","AA","100","100","21750","23500"
"In post","2023","20-29","Home Office","AA/AO","AO","2310","2235","22980","22400"
"In post","2023","20-29","Home Office","EO","EO","3310","3280","26920","25880"
"In post","2023","20-29","Home Office","G6/G7","G6","15","15","71430","70840"
"In post","2023","20-29","Home Office","G6/G7","G7","315","315","59190","59290"
"In post","2023","20-29","Home Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Home Office","SEO/HEO","HEO","1170","1165","34490","36000"
"In post","2023","20-29","Home Office","SEO/HEO","SEO","565","565","42510","43210"
"In post","2023","20-29","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ministry of Defence","AA/AO","AA","390","390","21680","21380"
"In post","2023","20-29","Ministry of Defence","AA/AO","AO","1730","1710","24620","22410"
"In post","2023","20-29","Ministry of Defence","EO","EO","1320","1310","27640","27140"
"In post","2023","20-29","Ministry of Defence","G6/G7","G6","10","10","70620","70470"
"In post","2023","20-29","Ministry of Defence","G6/G7","G7","190","190","54170","54770"
"In post","2023","20-29","Ministry of Defence","SEO/HEO","HEO","2255","2245","32910","32500"
"In post","2023","20-29","Ministry of Defence","SEO/HEO","SEO","1130","1125","41730","41000"
"In post","2023","20-29","Ministry of Defence","Unknown","Unknown","860","855","31320","31920"
"In post","2023","20-29","Ministry of Justice","AA/AO","AA","1450","1405","23100","23230"
"In post","2023","20-29","Ministry of Justice","AA/AO","AO","8000","7860","28640","28880"
"In post","2023","20-29","Ministry of Justice","EO","EO","1730","1710","30100","29660"
"In post","2023","20-29","Ministry of Justice","G6/G7","G6","20","20","68470","66700"
"In post","2023","20-29","Ministry of Justice","G6/G7","G7","205","205","56230","55720"
"In post","2023","20-29","Ministry of Justice","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ministry of Justice","SEO/HEO","HEO","1215","1205","33540","32640"
"In post","2023","20-29","Ministry of Justice","SEO/HEO","SEO","620","615","42270","43650"
"In post","2023","20-29","Ministry of Justice","Unknown","Unknown","4450","4345","25660","24570"
"In post","2023","20-29","National Crime Agency","AA/AO","AO","50","50","24440","22950"
"In post","2023","20-29","National Crime Agency","EO","EO","540","540","35260","34670"
"In post","2023","20-29","National Crime Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","National Crime Agency","SEO/HEO","HEO","125","125","41190","42170"
"In post","2023","20-29","National Crime Agency","SEO/HEO","SEO","40","40","49750","50980"
"In post","2023","20-29","Northern Ireland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","SEO/HEO","SEO","20","20","41140","43650"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","45","45","22490","22490"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","EO","EO","60","60","27800","27140"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","50","50","34240","33130"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","20","20","42160","41050"
"In post","2023","20-29","Office of Gas and Electricity Markets","AA/AO","AO","20","20","21690","21670"
"In post","2023","20-29","Office of Gas and Electricity Markets","EO","EO","170","170","25880","25750"
"In post","2023","20-29","Office of Gas and Electricity Markets","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","Office of Gas and Electricity Markets","G6/G7","G7","45","45","48130","46250"
"In post","2023","20-29","Office of Gas and Electricity Markets","SEO/HEO","HEO","110","110","33810","33400"
"In post","2023","20-29","Office of Gas and Electricity Markets","SEO/HEO","SEO","25","25","39270","38000"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","EO","EO","10","10","23990","23250"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","25","20","31770","31310"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","10","10","39590","39140"
"In post","2023","20-29","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","EO","EO","10","10","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","SEO/HEO","HEO","10","10","34140","35000"
"In post","2023","20-29","Office of Rail and Road","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","EO","EO","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Government","AA/AO","AA","790","765","23150","23340"
"In post","2023","20-29","Scottish Government","AA/AO","AO","1155","1135","25350","24710"
"In post","2023","20-29","Scottish Government","EO","EO","1390","1375","30640","29450"
"In post","2023","20-29","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Government","G6/G7","G7","200","195","53700","52360"
"In post","2023","20-29","Scottish Government","SEO/HEO","HEO","800","795","35570","34730"
"In post","2023","20-29","Scottish Government","SEO/HEO","SEO","280","275","44090","42860"
"In post","2023","20-29","The National Archives","AA/AO","AO","25","20","23520","23460"
"In post","2023","20-29","The National Archives","EO","EO","25","25","25880","24990"
"In post","2023","20-29","The National Archives","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","The National Archives","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","The National Archives","SEO/HEO","HEO","25","25","31090","29840"
"In post","2023","20-29","The National Archives","SEO/HEO","SEO","10","10","40310","37110"
"In post","2023","20-29","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","UK Export Finance","EO","EO","35","35","32370","32300"
"In post","2023","20-29","UK Export Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","UK Export Finance","G6/G7","G7","15","15","57240","54630"
"In post","2023","20-29","UK Export Finance","SEO/HEO","HEO","35","35","35810","34450"
"In post","2023","20-29","UK Export Finance","SEO/HEO","SEO","35","35","43050","42600"
"In post","2023","20-29","UK Statistics Authority","AA/AO","AA","15","10","20450","20150"
"In post","2023","20-29","UK Statistics Authority","AA/AO","AO","155","145","21460","21200"
"In post","2023","20-29","UK Statistics Authority","EO","EO","170","160","25010","24840"
"In post","2023","20-29","UK Statistics Authority","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","20-29","UK Statistics Authority","G6/G7","G7","70","65","52190","51460"
"In post","2023","20-29","UK Statistics Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","UK Statistics Authority","SEO/HEO","HEO","545","540","31780","31560"
"In post","2023","20-29","UK Statistics Authority","SEO/HEO","SEO","320","320","39060","39190"
"In post","2023","20-29","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","UK Supreme Court","EO","EO","10","10","26780","24540"
"In post","2023","20-29","UK Supreme Court","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Water Services Regulation Authority","EO","EO","20","20","30430","29000"
"In post","2023","20-29","Water Services Regulation Authority","SEO/HEO","HEO","25","25","40410","37740"
"In post","2023","20-29","Water Services Regulation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Welsh Government","AA/AO","AO","220","210","24470","25620"
"In post","2023","20-29","Welsh Government","EO","EO","175","175","28520","27890"
"In post","2023","20-29","Welsh Government","G6/G7","G7","15","15","57100","56450"
"In post","2023","20-29","Welsh Government","SEO/HEO","HEO","115","115","34860","34520"
"In post","2023","20-29","Welsh Government","SEO/HEO","SEO","25","25","43640","43660"
"In post","2023","30-39","Attorney General's Departments","AA/AO","AO","220","195","23400","22870"
"In post","2023","30-39","Attorney General's Departments","EO","EO","330","315","28200","27800"
"In post","2023","30-39","Attorney General's Departments","G6/G7","G6","255","240","66800","65650"
"In post","2023","30-39","Attorney General's Departments","G6/G7","G7","1050","1005","53550","52790"
"In post","2023","30-39","Attorney General's Departments","SCS level","SCS level","10","10","79880","78000"
"In post","2023","30-39","Attorney General's Departments","SEO/HEO","HEO","195","190","34980","32660"
"In post","2023","30-39","Attorney General's Departments","SEO/HEO","SEO","215","210","39890","38940"
"In post","2023","30-39","Cabinet Office","AA/AO","AO","70","65","22430","21720"
"In post","2023","30-39","Cabinet Office","EO","EO","190","180","26610","26410"
"In post","2023","30-39","Cabinet Office","G6/G7","G6","355","350","68160","66530"
"In post","2023","30-39","Cabinet Office","G6/G7","G7","930","915","57710","56430"
"In post","2023","30-39","Cabinet Office","SCS level","SCS level","125","125","85080","77100"
"In post","2023","30-39","Cabinet Office","SEO/HEO","HEO","535","525","33330","33020"
"In post","2023","30-39","Cabinet Office","SEO/HEO","SEO","425","415","40450","40750"
"In post","2023","30-39","Chancellor's other departments","EO","EO","10","10","28450","30040"
"In post","2023","30-39","Chancellor's other departments","G6/G7","G6","50","45","84960","80480"
