"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Unknown","Unknown","Undeclared","155","150","26580","25250"
"In post","2023","20-29","Unknown","Unknown","Unknown","1385","1345","26860","24570"
"In post","2023","30-39","AA/AO","AA","Heterosexual / straight","1425","1320","22500","23230"
"In post","2023","30-39","AA/AO","AA","LGBO","155","150","22750","23230"
"In post","2023","30-39","AA/AO","AA","Undeclared","130","115","21850","22160"
"In post","2023","30-39","AA/AO","AA","Unknown","850","775","22780","22920"
"In post","2023","30-39","AA/AO","AO","Heterosexual / straight","14360","13200","25470","22520"
"In post","2023","30-39","AA/AO","AO","LGBO","1305","1260","25670","22520"
"In post","2023","30-39","AA/AO","AO","Undeclared","1215","1125","25300","22520"
"In post","2023","30-39","AA/AO","AO","Unknown","6010","5530","24950","22520"
"In post","2023","30-39","EO","EO","Heterosexual / straight","17545","16645","28990","28120"
"In post","2023","30-39","EO","EO","LGBO","1645","1610","28970","28120"
"In post","2023","30-39","EO","EO","Undeclared","1480","1415","29250","28120"
"In post","2023","30-39","EO","EO","Unknown","6135","5865","28980","28120"
"In post","2023","30-39","G6/G7","G6","Heterosexual / straight","3320","3220","68640","67160"
"In post","2023","30-39","G6/G7","G6","LGBO","325","320","68120","66790"
"In post","2023","30-39","G6/G7","G6","Undeclared","355","350","68510","67780"
"In post","2023","30-39","G6/G7","G6","Unknown","820","790","68840","67420"
"In post","2023","30-39","G6/G7","G7","Heterosexual / straight","10690","10395","55770","55170"
"In post","2023","30-39","G6/G7","G7","LGBO","1130","1115","55660","55120"
"In post","2023","30-39","G6/G7","G7","Undeclared","1145","1125","55700","55120"
"In post","2023","30-39","G6/G7","G7","Unknown","2715","2665","56360","55720"
"In post","2023","30-39","SCS level","SCS level","Heterosexual / straight","700","675","81990","77520"
"In post","2023","30-39","SCS level","SCS level","LGBO","85","85","80600","76720"
"In post","2023","30-39","SCS level","SCS level","Undeclared","55","55","80690","78150"
"In post","2023","30-39","SCS level","SCS level","Unknown","185","180","82130","77230"
"In post","2023","30-39","SEO/HEO","HEO","Heterosexual / straight","14055","13600","34750","34400"
"In post","2023","30-39","SEO/HEO","HEO","LGBO","1345","1325","34670","34400"
"In post","2023","30-39","SEO/HEO","HEO","Undeclared","1210","1185","34770","34400"
"In post","2023","30-39","SEO/HEO","HEO","Unknown","3950","3850","35180","34700"
"In post","2023","30-39","SEO/HEO","SEO","Heterosexual / straight","11255","10965","42330","41780"
"In post","2023","30-39","SEO/HEO","SEO","LGBO","1100","1085","41880","41580"
"In post","2023","30-39","SEO/HEO","SEO","Undeclared","1135","1110","42470","41950"
"In post","2023","30-39","SEO/HEO","SEO","Unknown","2650","2595","42500","42140"
"In post","2023","30-39","Unknown","Unknown","Heterosexual / straight","4020","3765","31410","30810"
"In post","2023","30-39","Unknown","Unknown","LGBO","360","355","29200","26840"
"In post","2023","30-39","Unknown","Unknown","Undeclared","250","240","32460","32270"
"In post","2023","30-39","Unknown","Unknown","Unknown","1210","1130","32590","29470"
"In post","2023","40-49","AA/AO","AA","Heterosexual / straight","1735","1605","22280","22520"
"In post","2023","40-49","AA/AO","AA","LGBO","110","105","22670","23230"
"In post","2023","40-49","AA/AO","AA","Undeclared","255","230","21210","20520"
"In post","2023","40-49","AA/AO","AA","Unknown","730","670","22730","22520"
"In post","2023","40-49","AA/AO","AO","Heterosexual / straight","14390","12890","24620","22500"
"In post","2023","40-49","AA/AO","AO","LGBO","725","685","25000","22520"
"In post","2023","40-49","AA/AO","AO","Undeclared","1755","1575","24370","22500"
"In post","2023","40-49","AA/AO","AO","Unknown","5395","4780","24360","22520"
"In post","2023","40-49","EO","EO","Heterosexual / straight","18425","17180","28920","28120"
"In post","2023","40-49","EO","EO","LGBO","980","950","28950","28120"
"In post","2023","40-49","EO","EO","Undeclared","2105","1970","28970","28120"
"In post","2023","40-49","EO","EO","Unknown","5300","4900","29170","28120"
"In post","2023","40-49","G6/G7","G6","Heterosexual / straight","5210","5015","70470","69210"
"In post","2023","40-49","G6/G7","G6","LGBO","340","335","70610","69570"
"In post","2023","40-49","G6/G7","G6","Undeclared","560","540","70740","69580"
"In post","2023","40-49","G6/G7","G6","Unknown","1135","1085","70740","69590"
"In post","2023","40-49","G6/G7","G7","Heterosexual / straight","11485","11075","56750","56000"
"In post","2023","40-49","G6/G7","G7","LGBO","660","650","56920","56090"
"In post","2023","40-49","G6/G7","G7","Undeclared","1175","1135","56840","56100"
"In post","2023","40-49","G6/G7","G7","Unknown","2410","2305","57120","56430"
"In post","2023","40-49","SCS level","SCS level","Heterosexual / straight","2205","2125","89030","81770"
"In post","2023","40-49","SCS level","SCS level","LGBO","185","180","88550","80500"
"In post","2023","40-49","SCS level","SCS level","Undeclared","185","180","89090","82260"
"In post","2023","40-49","SCS level","SCS level","Unknown","430","410","92050","84160"
"In post","2023","40-49","SEO/HEO","HEO","Heterosexual / straight","13205","12695","35270","34670"
"In post","2023","40-49","SEO/HEO","HEO","LGBO","690","675","35290","34700"
"In post","2023","40-49","SEO/HEO","HEO","Undeclared","1520","1465","35190","34670"
"In post","2023","40-49","SEO/HEO","HEO","Unknown","2960","2845","36080","35000"
"In post","2023","40-49","SEO/HEO","SEO","Heterosexual / straight","12075","11670","43220","42140"
"In post","2023","40-49","SEO/HEO","SEO","LGBO","565","555","43470","42140"
"In post","2023","40-49","SEO/HEO","SEO","Undeclared","1380","1335","43350","42350"
"In post","2023","40-49","SEO/HEO","SEO","Unknown","2200","2125","43160","42360"
"In post","2023","40-49","Unknown","Unknown","Heterosexual / straight","4255","3960","34680","33340"
"In post","2023","40-49","Unknown","Unknown","LGBO","255","245","34430","30810"
"In post","2023","40-49","Unknown","Unknown","Undeclared","395","370","36020","38290"
"In post","2023","40-49","Unknown","Unknown","Unknown","995","930","36180","33690"
"In post","2023","50-59","AA/AO","AA","Heterosexual / straight","3680","3445","21940","21380"
"In post","2023","50-59","AA/AO","AA","LGBO","135","125","22490","23230"
"In post","2023","50-59","AA/AO","AA","Undeclared","465","425","21540","21380"
"In post","2023","50-59","AA/AO","AA","Unknown","1265","1145","22920","22920"
"In post","2023","50-59","AA/AO","AO","Heterosexual / straight","20210","18200","24250","22400"
"In post","2023","50-59","AA/AO","AO","LGBO","720","675","24620","22520"
"In post","2023","50-59","AA/AO","AO","Undeclared","3240","2890","24250","22400"
"In post","2023","50-59","AA/AO","AO","Unknown","6880","6090","24400","22520"
"In post","2023","50-59","EO","EO","Heterosexual / straight","25290","23590","29240","28120"
"In post","2023","50-59","EO","EO","LGBO","925","880","29270","28120"
"In post","2023","50-59","EO","EO","Undeclared","4015","3740","29270","28120"
"In post","2023","50-59","EO","EO","Unknown","6690","6140","29870","28120"
"In post","2023","50-59","G6/G7","G6","Heterosexual / straight","4990","4885","72130","71050"
"In post","2023","50-59","G6/G7","G6","LGBO","215","210","72390","71300"
"In post","2023","50-59","G6/G7","G6","Undeclared","625","605","73030","71380"
"In post","2023","50-59","G6/G7","G6","Unknown","950","920","73180","71300"
"In post","2023","50-59","G6/G7","G7","Heterosexual / straight","10640","10375","57460","56740"
"In post","2023","50-59","G6/G7","G7","LGBO","400","395","58030","56870"
"In post","2023","50-59","G6/G7","G7","Undeclared","1355","1320","57960","57590"
"In post","2023","50-59","G6/G7","G7","Unknown","2125","2050","58110","57860"
"In post","2023","50-59","SCS level","SCS level","Heterosexual / straight","2060","2020","96120","87300"
"In post","2023","50-59","SCS level","SCS level","LGBO","110","110","94280","85720"
"In post","2023","50-59","SCS level","SCS level","Undeclared","185","180","93480","85200"
"In post","2023","50-59","SCS level","SCS level","Unknown","405","395","102750","95260"
"In post","2023","50-59","SEO/HEO","HEO","Heterosexual / straight","15160","14630","35750","34850"
"In post","2023","50-59","SEO/HEO","HEO","LGBO","580","565","35440","34890"
"In post","2023","50-59","SEO/HEO","HEO","Undeclared","2250","2170","35950","35000"
"In post","2023","50-59","SEO/HEO","HEO","Unknown","2875","2775","36840","35000"
"In post","2023","50-59","SEO/HEO","SEO","Heterosexual / straight","12865","12535","43850","42510"
"In post","2023","50-59","SEO/HEO","SEO","LGBO","420","410","44200","43000"
"In post","2023","50-59","SEO/HEO","SEO","Undeclared","1940","1875","44220","43120"
"In post","2023","50-59","SEO/HEO","SEO","Unknown","2115","2050","44080","42860"
"In post","2023","50-59","Unknown","Unknown","Heterosexual / straight","4115","3900","34430","29110"
"In post","2023","50-59","Unknown","Unknown","LGBO","190","185","36220","35030"
"In post","2023","50-59","Unknown","Unknown","Undeclared","430","405","36750","35570"
"In post","2023","50-59","Unknown","Unknown","Unknown","1070","1005","38000","35100"
"In post","2023","60-64","AA/AO","AA","Heterosexual / straight","2035","1735","21710","21380"
"In post","2023","60-64","AA/AO","AA","LGBO","55","45","22100","22180"
"In post","2023","60-64","AA/AO","AA","Undeclared","320","260","20990","19930"
"In post","2023","60-64","AA/AO","AA","Unknown","595","480","22700","22520"
"In post","2023","60-64","AA/AO","AO","Heterosexual / straight","8085","6595","23700","22400"
"In post","2023","60-64","AA/AO","AO","LGBO","200","165","23580","22400"
"In post","2023","60-64","AA/AO","AO","Undeclared","1290","1025","23570","22400"
"In post","2023","60-64","AA/AO","AO","Unknown","2535","2000","24180","22520"
"In post","2023","60-64","EO","EO","Heterosexual / straight","8175","6615","29220","28120"
"In post","2023","60-64","EO","EO","LGBO","240","200","29320","28120"
"In post","2023","60-64","EO","EO","Undeclared","1450","1140","29170","28120"
"In post","2023","60-64","EO","EO","Unknown","2035","1595","29970","28130"
"In post","2023","60-64","G6/G7","G6","Heterosexual / straight","905","805","73130","72050"
"In post","2023","60-64","G6/G7","G6","LGBO","30","25","71800","71640"
"In post","2023","60-64","G6/G7","G6","Undeclared","125","100","73340","71890"
"In post","2023","60-64","G6/G7","G6","Unknown","170","160","74600","72920"
"In post","2023","60-64","G6/G7","G7","Heterosexual / straight","2005","1760","58510","57970"
"In post","2023","60-64","G6/G7","G7","LGBO","65","55","60030","58960"
"In post","2023","60-64","G6/G7","G7","Undeclared","285","250","58840","58500"
"In post","2023","60-64","G6/G7","G7","Unknown","435","375","58170","57970"
"In post","2023","60-64","SCS level","SCS level","Heterosexual / straight","310","285","103150","96390"
"In post","2023","60-64","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","60-64","SCS level","SCS level","Undeclared","45","40","104380","90440"
"In post","2023","60-64","SCS level","SCS level","Unknown","90","80","103710","95900"
"In post","2023","60-64","SEO/HEO","HEO","Heterosexual / straight","3995","3385","36000","35000"
"In post","2023","60-64","SEO/HEO","HEO","LGBO","100","90","36290","35000"
"In post","2023","60-64","SEO/HEO","HEO","Undeclared","675","565","36350","35020"
"In post","2023","60-64","SEO/HEO","HEO","Unknown","770","645","36890","35540"
"In post","2023","60-64","SEO/HEO","SEO","Heterosexual / straight","2870","2495","44440","43320"
"In post","2023","60-64","SEO/HEO","SEO","LGBO","90","80","43480","43180"
"In post","2023","60-64","SEO/HEO","SEO","Undeclared","485","410","44510","43440"
"In post","2023","60-64","SEO/HEO","SEO","Unknown","520","450","45180","43760"
"In post","2023","60-64","Unknown","Unknown","Heterosexual / straight","1430","1260","33560","29050"
"In post","2023","60-64","Unknown","Unknown","LGBO","40","35","35020","38290"
"In post","2023","60-64","Unknown","Unknown","Undeclared","140","125","36220","35380"
"In post","2023","60-64","Unknown","Unknown","Unknown","380","340","36220","33690"
"In post","2023","65+","AA/AO","AA","Heterosexual / straight","985","770","21580","21380"
"In post","2023","65+","AA/AO","AA","LGBO","25","20","[c]","[c]"
"In post","2023","65+","AA/AO","AA","Undeclared","145","100","21050","19930"
"In post","2023","65+","AA/AO","AA","Unknown","300","220","22540","22520"
"In post","2023","65+","AA/AO","AO","Heterosexual / straight","2880","2240","23620","22400"
"In post","2023","65+","AA/AO","AO","LGBO","60","50","23890","22520"
"In post","2023","65+","AA/AO","AO","Undeclared","480","365","23570","22500"
"In post","2023","65+","AA/AO","AO","Unknown","935","705","24420","22520"
"In post","2023","65+","EO","EO","Heterosexual / straight","2410","1805","29340","28120"
"In post","2023","65+","EO","EO","LGBO","65","55","29600","29080"
"In post","2023","65+","EO","EO","Undeclared","490","355","29300","28120"
"In post","2023","65+","EO","EO","Unknown","665","465","29920","28480"
"In post","2023","65+","G6/G7","G6","Heterosexual / straight","215","170","75020","74370"
"In post","2023","65+","G6/G7","G6","LGBO","5","5","[c]","[c]"
"In post","2023","65+","G6/G7","G6","Undeclared","45","35","76500","74000"
"In post","2023","65+","G6/G7","G6","Unknown","65","50","73530","75260"
"In post","2023","65+","G6/G7","G7","Heterosexual / straight","515","420","59090","59290"
"In post","2023","65+","G6/G7","G7","LGBO","10","5","[c]","[c]"
"In post","2023","65+","G6/G7","G7","Undeclared","70","55","59670","59290"
"In post","2023","65+","G6/G7","G7","Unknown","135","100","60040","59290"
"In post","2023","65+","SCS level","SCS level","Heterosexual / straight","70","60","111910","98510"
"In post","2023","65+","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","SCS level","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","65+","SCS level","SCS level","Unknown","25","20","[c]","[c]"
"In post","2023","65+","SEO/HEO","HEO","Heterosexual / straight","1085","855","36510","35300"
"In post","2023","65+","SEO/HEO","HEO","LGBO","30","20","[c]","[c]"
"In post","2023","65+","SEO/HEO","HEO","Undeclared","210","165","36600","35200"
"In post","2023","65+","SEO/HEO","HEO","Unknown","215","165","37270","36990"
"In post","2023","65+","SEO/HEO","SEO","Heterosexual / straight","710","575","45620","44930"
"In post","2023","65+","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","65+","SEO/HEO","SEO","Undeclared","130","105","45290","44930"
"In post","2023","65+","SEO/HEO","SEO","Unknown","170","125","46790","46810"
"In post","2023","65+","Unknown","Unknown","Heterosexual / straight","500","390","31860","29050"
"In post","2023","65+","Unknown","Unknown","LGBO","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Undeclared","70","50","37930","38290"
"In post","2023","65+","Unknown","Unknown","Unknown","120","95","33780","29050"
"In post","2023","Unknown","AA/AO","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","EO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Unknown","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AA","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AA","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AO","Heterosexual / straight","35","[c]","22100","22500"
"Leaver CS","2023","16-19","AA/AO","AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AO","Unknown","60","[c]","22360","21780"
"Leaver CS","2023","16-19","EO","EO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","AA/AO","AA","Heterosexual / straight","365","[c]","21090","20100"
"Leaver CS","2023","20-29","AA/AO","AA","LGBO","60","[c]","21020","20100"
"Leaver CS","2023","20-29","AA/AO","AA","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","AA/AO","AA","Unknown","395","[c]","21260","21380"
"Leaver CS","2023","20-29","AA/AO","AO","Heterosexual / straight","2220","[c]","22530","21780"
"Leaver CS","2023","20-29","AA/AO","AO","LGBO","350","[c]","22170","21690"
"Leaver CS","2023","20-29","AA/AO","AO","Undeclared","190","[c]","22650","21780"
"Leaver CS","2023","20-29","AA/AO","AO","Unknown","1945","[c]","22830","22010"
"Leaver CS","2023","20-29","EO","EO","Heterosexual / straight","1425","[c]","28220","27960"
"Leaver CS","2023","20-29","EO","EO","LGBO","215","[c]","27890","27890"
"Leaver CS","2023","20-29","EO","EO","Undeclared","165","[c]","27810","27570"
"Leaver CS","2023","20-29","EO","EO","Unknown","735","[c]","27370","27570"
"Leaver CS","2023","20-29","G6/G7","G6","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","G6","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","G6","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","G7","Heterosexual / straight","185","[c]","54300","54090"
"Leaver CS","2023","20-29","G6/G7","G7","LGBO","40","[c]","54380","53600"
"Leaver CS","2023","20-29","G6/G7","G7","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","G7","Unknown","105","[c]","55010","54690"
"Leaver CS","2023","20-29","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SEO/HEO","HEO","Heterosexual / straight","800","[c]","33790","33430"
"Leaver CS","2023","20-29","SEO/HEO","HEO","LGBO","160","[c]","33030","33300"
"Leaver CS","2023","20-29","SEO/HEO","HEO","Undeclared","105","[c]","34020","33570"
"Leaver CS","2023","20-29","SEO/HEO","HEO","Unknown","590","[c]","32240","32120"
"Leaver CS","2023","20-29","SEO/HEO","SEO","Heterosexual / straight","340","[c]","41090","41000"
"Leaver CS","2023","20-29","SEO/HEO","SEO","LGBO","65","[c]","40880","40220"
"Leaver CS","2023","20-29","SEO/HEO","SEO","Undeclared","60","[c]","40990","40370"
"Leaver CS","2023","20-29","SEO/HEO","SEO","Unknown","205","[c]","41030","41000"
"Leaver CS","2023","20-29","Unknown","Unknown","Heterosexual / straight","325","[c]","28490","28610"
"Leaver CS","2023","20-29","Unknown","Unknown","LGBO","60","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Unknown","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Unknown","Unknown","230","[c]","26880","28680"
"Leaver CS","2023","30-39","AA/AO","AA","Heterosexual / straight","190","[c]","20970","20100"
"Leaver CS","2023","30-39","AA/AO","AA","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","AA/AO","AA","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","AA/AO","AA","Unknown","150","[c]","22290","22180"
"Leaver CS","2023","30-39","AA/AO","AO","Heterosexual / straight","1310","[c]","22770","21780"
"Leaver CS","2023","30-39","AA/AO","AO","LGBO","130","[c]","22900","21780"
"Leaver CS","2023","30-39","AA/AO","AO","Undeclared","110","[c]","22810","21830"
"Leaver CS","2023","30-39","AA/AO","AO","Unknown","1030","[c]","23380","22170"
"Leaver CS","2023","30-39","EO","EO","Heterosexual / straight","1105","[c]","28600","28120"
"Leaver CS","2023","30-39","EO","EO","LGBO","135","[c]","28500","27570"
"Leaver CS","2023","30-39","EO","EO","Undeclared","115","[c]","28120","27960"
"Leaver CS","2023","30-39","EO","EO","Unknown","500","[c]","28720","28120"
"Leaver CS","2023","30-39","G6/G7","G6","Heterosexual / straight","190","[c]","68020","66530"
"Leaver CS","2023","30-39","G6/G7","G6","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","30-39","G6/G7","G6","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2023","30-39","G6/G7","G6","Unknown","95","[c]","68450","66530"
"Leaver CS","2023","30-39","G6/G7","G7","Heterosexual / straight","635","[c]","54820","54090"
"Leaver CS","2023","30-39","G6/G7","G7","LGBO","85","[c]","54870","54660"
"Leaver CS","2023","30-39","G6/G7","G7","Undeclared","80","[c]","54930","54650"
"Leaver CS","2023","30-39","G6/G7","G7","Unknown","295","[c]","55880","54700"
"Leaver CS","2023","30-39","SCS level","SCS level","Heterosexual / straight","45","[c]","81050","78110"
"Leaver CS","2023","30-39","SCS level","SCS level","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","SCS level","SCS level","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","SEO/HEO","HEO","Heterosexual / straight","690","[c]","34350","33800"
"Leaver CS","2023","30-39","SEO/HEO","HEO","LGBO","75","[c]","34320","33570"
"Leaver CS","2023","30-39","SEO/HEO","HEO","Undeclared","75","[c]","33910","33850"
"Leaver CS","2023","30-39","SEO/HEO","HEO","Unknown","340","[c]","34800","33990"
"Leaver CS","2023","30-39","SEO/HEO","SEO","Heterosexual / straight","700","[c]","41690","41280"
"Leaver CS","2023","30-39","SEO/HEO","SEO","LGBO","90","[c]","41510","40620"
