"Status","Year","Age","Organisation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Wales and The Valleys","10","10","22970","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Yorkshire","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Scottish Government","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Department for Transport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Department for Transport","West Wales and The Valleys","75","65","20620","19000"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Department for Transport","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Department for Transport","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Department for Transport","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Department for Transport","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","Scottish Government","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Berkshire, Buckinghamshire and Oxfordshire","30","30","23790","23530"
"In post","2023","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Food Standards Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scottish Government","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scottish Government","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scottish Government","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scottish Government","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","East Wales","5","5","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","HM Land Registry","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","HM Land Registry","Devon","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","HM Land Registry","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","HM Land Registry","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","HM Land Registry","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Berkshire, Buckinghamshire and Oxfordshire","15","15","23060","23230"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Derbyshire and Nottinghamshire","20","20","26090","28880"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Devon","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Dorset and Somerset","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","East Anglia","30","25","25490","23640"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","East Wales","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","East Yorkshire and Northern Lincolnshire","10","10","26820","28880"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Essex","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","25400","23230"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Greater Manchester","15","15","26560","28880"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Hampshire and Isle of Wight","20","20","26240","26470"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Kent","10","10","26670","25600"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Lancashire","15","15","23890","23230"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","15","15","27490","28880"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Lincolnshire","10","10","26030","25930"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Shropshire and Staffordshire","15","15","25830","23650"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","South Yorkshire","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Tees Valley and Durham","15","15","26160","28880"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","West Midlands","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","West Yorkshire","25","25","26260","28880"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Derbyshire and Nottinghamshire","15","15","23210","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","East Wales","20","20","22790","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Greater Manchester","10","10","23850","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Merseyside","20","20","22810","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Northumberland, and Tyne and Wear","20","20","22780","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outer London - South","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Southern Scotland","10","10","22520","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","West Central Scotland","15","10","22920","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","West Midlands","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","West Yorkshire","35","30","23170","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","HM Treasury","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","HM Treasury","Inner London - West","5","5","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","HM Treasury","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Department for Work and Pensions","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Department for Work and Pensions","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Department for Work and Pensions","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Department for Work and Pensions","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","East Anglia","10","5","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Essex","10","10","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Kent","40","40","23280","22400"
"In post","2023","16-19","Home Office","Home Office","Merseyside","25","20","23050","22400"
"In post","2023","16-19","Home Office","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Outer London - South","10","5","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Outer London - West and North West","15","15","26990","26400"
"In post","2023","16-19","Home Office","Home Office","South Yorkshire","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Tees Valley and Durham","10","5","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Ministry of Justice","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Ministry of Justice","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Ministry of Justice","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Ministry of Justice","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Department for Transport","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Department for Transport","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Department for Business, Energy and Industrial Strategy","Devon","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","West Central Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","National Crime Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
