"Status","Year","Age","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Counter Fraud","Other","10","10","47850","54680"
"In post","2023","20-29","Counter Fraud","Policy","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Tax","165","165","35440","34400"
"In post","2023","20-29","Counter Fraud","Unknown","70","65","34520","32420"
"In post","2023","20-29","Debt","Operational Delivery","1065","1035","23750","22520"
"In post","2023","20-29","Debt","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Other","395","380","22410","21690"
"In post","2023","20-29","Debt","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Tax","240","230","23280","22520"
"In post","2023","20-29","Debt","Unknown","20","20","26650","27650"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","3285","3260","35810","34190"
"In post","2023","20-29","Digital, Data & Technology","Economics","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Finance","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Human Resources","15","15","33990","32320"
"In post","2023","20-29","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","100","100","30310","28020"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","210","210","31280","30930"
"In post","2023","20-29","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Other","60","60","27960","27650"
"In post","2023","20-29","Digital, Data & Technology","Policy","15","15","43160","40270"
"In post","2023","20-29","Digital, Data & Technology","Project Delivery","50","50","36210","36000"
"In post","2023","20-29","Digital, Data & Technology","Science and Engineering","70","70","28480","26650"
"In post","2023","20-29","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Tax","20","20","33270","34400"
"In post","2023","20-29","Digital, Data & Technology","Unknown","160","160","38510","35240"
"In post","2023","20-29","Finance","Commercial","65","65","34910","34170"
"In post","2023","20-29","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Corporate Finance","10","5","[c]","[c]"
"In post","2023","20-29","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Finance","1325","1310","33400","31260"
"In post","2023","20-29","Finance","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Operational Delivery","140","140","26730","22520"
"In post","2023","20-29","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Policy","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Project Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Security","35","35","37870","38470"
"In post","2023","20-29","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Tax","25","25","29700","28010"
"In post","2023","20-29","Finance","Unknown","95","95","38830","38120"
"In post","2023","20-29","Grants Management","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","Operational Delivery","410","400","23540","22150"
"In post","2023","20-29","Grants Management","Policy","10","10","44850","43210"
"In post","2023","20-29","Grants Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Human Resources","1400","1385","32990","30940"
"In post","2023","20-29","Human Resources","Knowledge and Information Management","10","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Operational Delivery","110","110","29630","28120"
"In post","2023","20-29","Human Resources","Other","10","10","31470","29280"
"In post","2023","20-29","Human Resources","Policy","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Project Delivery","15","15","38930","35650"
"In post","2023","20-29","Human Resources","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Tax","30","30","31020","28130"
"In post","2023","20-29","Human Resources","Unknown","80","80","37710","34550"
"In post","2023","20-29","Internal Audit","Internal Audit","50","50","34590","33960"
"In post","2023","20-29","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Finance","10","10","21620","20980"
"In post","2023","20-29","Legal","Knowledge and Information Management","20","20","32480","28120"
"In post","2023","20-29","Legal","Legal","780","775","41350","40800"
"In post","2023","20-29","Legal","Operational Delivery","1050","1040","25850","25600"
"In post","2023","20-29","Legal","Other","10","10","30650","29700"
"In post","2023","20-29","Legal","Policy","20","20","37850","37730"
"In post","2023","20-29","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Tax","30","30","37840","34700"
"In post","2023","20-29","Legal","Unknown","40","40","41770","34850"
"In post","2023","20-29","No function","Commercial","30","30","37600","33200"
"In post","2023","20-29","No function","Communications","45","45","40810","38210"
"In post","2023","20-29","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","Counter Fraud","15","15","27610","25880"
"In post","2023","20-29","No function","Digital, Data and Technology","120","120","45350","43000"
"In post","2023","20-29","No function","Economics","145","145","45970","41550"
"In post","2023","20-29","No function","Finance","25","25","38100","35650"
"In post","2023","20-29","No function","Geography","100","100","27560","27610"
"In post","2023","20-29","No function","Human Resources","35","35","37420","35650"
"In post","2023","20-29","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","Intelligence Analysis","395","395","32130","29940"
"In post","2023","20-29","No function","International Trade","600","600","40840","41550"
"In post","2023","20-29","No function","Knowledge and Information Management","120","115","31300","29660"
"In post","2023","20-29","No function","Legal","105","105","35530","35410"
"In post","2023","20-29","No function","Medicine","110","105","34250","32930"
"In post","2023","20-29","No function","Operational Delivery","37375","36600","27290","26400"
"In post","2023","20-29","No function","Operational Research","65","60","31740","31310"
"In post","2023","20-29","No function","Other","855","845","29390","28120"
"In post","2023","20-29","No function","Planning","30","30","37350","35760"
"In post","2023","20-29","No function","Planning Inspectors","10","10","32020","28430"
"In post","2023","20-29","No function","Policy","7510","7485","40910","38540"
"In post","2023","20-29","No function","Project Delivery","255","255","39430","36180"
"In post","2023","20-29","No function","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","Psychology","395","390","30100","30940"
"In post","2023","20-29","No function","Science and Engineering","1460","1450","31140","29590"
"In post","2023","20-29","No function","Security","30","30","39920","37680"
"In post","2023","20-29","No function","Social Research","20","20","38330","36690"
"In post","2023","20-29","No function","Statistics","40","40","33480","31310"
"In post","2023","20-29","No function","Tax","2335","2295","31590","28130"
"In post","2023","20-29","No function","Unknown","1940","1925","37050","34700"
"In post","2023","20-29","No function","Veterinarian","20","20","31430","30320"
"In post","2023","20-29","Project Delivery","Communications","10","10","[c]","[c]"
"In post","2023","20-29","Project Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","Digital, Data and Technology","10","10","37940","34570"
"In post","2023","20-29","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","Operational Delivery","245","245","30410","30650"
"In post","2023","20-29","Project Delivery","Operational Research","40","40","35550","33720"
"In post","2023","20-29","Project Delivery","Other","50","50","23970","19360"
"In post","2023","20-29","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","Policy","295","290","41620","39450"
"In post","2023","20-29","Project Delivery","Project Delivery","2175","2165","35260","33830"
"In post","2023","20-29","Project Delivery","Science and Engineering","385","380","31980","31530"
"In post","2023","20-29","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","Tax","50","50","32410","34400"
"In post","2023","20-29","Project Delivery","Unknown","65","65","42780","41780"
"In post","2023","20-29","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","Finance","10","10","38390","38050"
"In post","2023","20-29","Property","Human Resources","5","5","[c]","[c]"
"In post","2023","20-29","Property","Operational Delivery","195","190","25560","22520"
"In post","2023","20-29","Property","Other","35","35","28920","28490"
"In post","2023","20-29","Property","Policy","5","5","[c]","[c]"
"In post","2023","20-29","Property","Project Delivery","10","10","[c]","[c]"
"In post","2023","20-29","Property","Property","835","825","30720","29400"
"In post","2023","20-29","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Security","Digital, Data and Technology","10","10","42290","39150"
"In post","2023","20-29","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","Human Resources","10","10","31340","32640"
"In post","2023","20-29","Security","Intelligence Analysis","40","40","39410","37060"
"In post","2023","20-29","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","Policy","20","20","41050","40600"
"In post","2023","20-29","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","Security","1030","1030","29950","27650"
"In post","2023","20-29","Security","Unknown","180","175","28190","24610"
"In post","2023","20-29","Unknown","Communications","15","15","32980","30610"
"In post","2023","20-29","Unknown","Digital, Data and Technology","20","20","29260","27890"
"In post","2023","20-29","Unknown","Economics","15","15","39440","36590"
"In post","2023","20-29","Unknown","Finance","25","25","29480","27890"
"In post","2023","20-29","Unknown","Human Resources","60","60","24630","22150"
"In post","2023","20-29","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Knowledge and Information Management","15","15","26850","25620"
"In post","2023","20-29","Unknown","Legal","10","10","41800","42950"
"In post","2023","20-29","Unknown","Medicine","15","15","31090","30610"
"In post","2023","20-29","Unknown","Operational Delivery","185","180","29520","25720"
"In post","2023","20-29","Unknown","Other","510","510","31800","30650"
"In post","2023","20-29","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Policy","350","345","36040","34520"
"In post","2023","20-29","Unknown","Project Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Science and Engineering","620","615","31220","30650"
"In post","2023","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Social Research","25","25","32510","32460"
"In post","2023","20-29","Unknown","Statistics","20","20","32040","30610"
"In post","2023","20-29","Unknown","Unknown","3945","3900","31320","29450"
"In post","2023","30-39","Analysis","Digital, Data and Technology","70","65","47800","43650"
"In post","2023","30-39","Analysis","Economics","415","405","58210","57420"
"In post","2023","30-39","Analysis","Finance","5","5","[c]","[c]"
"In post","2023","30-39","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Analysis","Intelligence Analysis","35","35","35280","31750"
"In post","2023","30-39","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Analysis","Knowledge and Information Management","15","15","50570","54750"
"In post","2023","30-39","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Analysis","Operational Delivery","225","220","36670","35410"
"In post","2023","30-39","Analysis","Operational Research","225","215","49150","49260"
"In post","2023","30-39","Analysis","Other","165","160","54060","46000"
"In post","2023","30-39","Analysis","Policy","60","60","51660","53190"
"In post","2023","30-39","Analysis","Project Delivery","5","5","[c]","[c]"
"In post","2023","30-39","Analysis","Science and Engineering","345","340","40380","39890"
"In post","2023","30-39","Analysis","Social Research","440","420","46380","43250"
"In post","2023","30-39","Analysis","Statistics","790","760","46190","43630"
"In post","2023","30-39","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Analysis","Unknown","65","65","50160","46250"
"In post","2023","30-39","Commercial","Commercial","1530","1490","44940","41000"
"In post","2023","30-39","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","Digital, Data and Technology","10","10","44390","42990"
"In post","2023","30-39","Commercial","Finance","5","5","[c]","[c]"
"In post","2023","30-39","Commercial","Human Resources","15","15","47320","51290"
"In post","2023","30-39","Commercial","Operational Delivery","75","75","42680","41780"
"In post","2023","30-39","Commercial","Other","50","45","40350","39650"
"In post","2023","30-39","Commercial","Policy","15","15","51050","54960"
"In post","2023","30-39","Commercial","Project Delivery","20","20","36810","34170"
"In post","2023","30-39","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","Science and Engineering","5","5","[c]","[c]"
"In post","2023","30-39","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","Unknown","35","35","49540","52800"
"In post","2023","30-39","Communications","Communications","1065","1030","45140","43000"
"In post","2023","30-39","Communications","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","30-39","Communications","Human Resources","10","10","[c]","[c]"
"In post","2023","30-39","Communications","Knowledge and Information Management","25","25","51110","48790"
"In post","2023","30-39","Communications","Operational Delivery","25","25","51180","42000"
"In post","2023","30-39","Communications","Other","10","10","45270","47390"
"In post","2023","30-39","Communications","Policy","10","10","[c]","[c]"
"In post","2023","30-39","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Communications","Unknown","65","60","54960","56290"
"In post","2023","30-39","Counter Fraud","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","Counter Fraud","1670","1600","31350","28130"
"In post","2023","30-39","Counter Fraud","Digital, Data and Technology","10","10","54480","59090"
"In post","2023","30-39","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","Intelligence Analysis","80","80","39150","35000"
"In post","2023","30-39","Counter Fraud","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","30-39","Counter Fraud","Legal","460","450","33530","32540"
"In post","2023","30-39","Counter Fraud","Operational Delivery","680","650","33570","34700"
"In post","2023","30-39","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","Other","60","55","48020","54680"
"In post","2023","30-39","Counter Fraud","Security","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","Tax","465","450","41420","35000"
"In post","2023","30-39","Counter Fraud","Unknown","100","95","37070","34700"
"In post","2023","30-39","Debt","Operational Delivery","915","850","24790","22520"
"In post","2023","30-39","Debt","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Debt","Other","475","415","23250","21690"
"In post","2023","30-39","Debt","Policy","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Debt","Tax","180","170","23910","22520"
"In post","2023","30-39","Debt","Unknown","20","15","28780","27650"
"In post","2023","30-39","Digital, Data & Technology","Commercial","5","5","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Communications","5","5","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Digital, Data and Technology","5210","5120","43610","41100"
"In post","2023","30-39","Digital, Data & Technology","Economics","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Finance","20","20","40820","38830"
"In post","2023","30-39","Digital, Data & Technology","Geography","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Human Resources","30","30","44190","40530"
"In post","2023","30-39","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Knowledge and Information Management","185","180","34380","33830"
"In post","2023","30-39","Digital, Data & Technology","Operational Delivery","290","280","38720","38200"
"In post","2023","30-39","Digital, Data & Technology","Operational Research","10","10","52450","50360"
"In post","2023","30-39","Digital, Data & Technology","Other","70","70","35460","36180"
"In post","2023","30-39","Digital, Data & Technology","Policy","25","25","49730","48020"
"In post","2023","30-39","Digital, Data & Technology","Project Delivery","80","80","38100","37590"
"In post","2023","30-39","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Science and Engineering","140","130","39130","38200"
"In post","2023","30-39","Digital, Data & Technology","Security","15","15","48180","53250"
"In post","2023","30-39","Digital, Data & Technology","Statistics","10","10","45580","43670"
"In post","2023","30-39","Digital, Data & Technology","Tax","25","25","40170","35000"
"In post","2023","30-39","Digital, Data & Technology","Unknown","285","280","46660","42140"
"In post","2023","30-39","Finance","Commercial","125","125","38580","38470"
"In post","2023","30-39","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Finance","Corporate Finance","30","30","48970","40420"
"In post","2023","30-39","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Finance","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","30-39","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Finance","Finance","1975","1910","43610","41000"
"In post","2023","30-39","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Finance","Operational Delivery","245","230","30030","28130"
"In post","2023","30-39","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Finance","Other","5","5","[c]","[c]"
"In post","2023","30-39","Finance","Policy","10","10","48210","51290"
"In post","2023","30-39","Finance","Project Delivery","5","5","[c]","[c]"
"In post","2023","30-39","Finance","Security","60","60","40860","38470"
"In post","2023","30-39","Finance","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Finance","Tax","30","30","36800","35000"
"In post","2023","30-39","Finance","Unknown","125","125","46490","42510"
"In post","2023","30-39","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Grants Management","Operational Delivery","470","440","25230","22150"
"In post","2023","30-39","Grants Management","Policy","20","20","53850","59140"
