"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Other","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","EO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","G6/G7","Female","50","50","60180","58070"
"In post","2023","Attorney General's Departments","Policy","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SEO/HEO","Female","30","30","37130","38940"
"In post","2023","Attorney General's Departments","Policy","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","EO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SEO/HEO","Female","35","35","36390","37510"
"In post","2023","Attorney General's Departments","Project Delivery","SEO/HEO","Male","30","30","36490","34150"
"In post","2023","Attorney General's Departments","Property","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","EO","Female","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","EO","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","G6/G7","Female","580","565","66080","65910"
"In post","2023","Cabinet Office","Commercial","G6/G7","Male","630","625","68200","66570"
"In post","2023","Cabinet Office","Commercial","SCS level","Female","95","95","111240","103230"
"In post","2023","Cabinet Office","Commercial","SCS level","Male","140","140","125900","124000"
"In post","2023","Cabinet Office","Commercial","SEO/HEO","Female","270","265","35810","34660"
"In post","2023","Cabinet Office","Commercial","SEO/HEO","Male","225","225","36400","38050"
"In post","2023","Cabinet Office","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","G6/G7","Female","55","50","60470","58310"
"In post","2023","Cabinet Office","Communications","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SEO/HEO","Female","60","60","37820","38460"
"In post","2023","Cabinet Office","Communications","SEO/HEO","Male","35","35","38860","38540"
"In post","2023","Cabinet Office","Counter Fraud","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","EO","Female","25","20","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","EO","Male","35","35","27340","27570"
"In post","2023","Cabinet Office","Digital, Data and Technology","G6/G7","Female","260","255","57830","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","G6/G7","Male","425","415","58360","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","SCS level","Male","40","40","96900","91800"
"In post","2023","Cabinet Office","Digital, Data and Technology","SEO/HEO","Female","230","225","35680","35650"
"In post","2023","Cabinet Office","Digital, Data and Technology","SEO/HEO","Male","320","320","36260","35650"
"In post","2023","Cabinet Office","Economics","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Economics","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Finance","EO","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Finance","EO","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Finance","G6/G7","Female","30","30","56960","56430"
"In post","2023","Cabinet Office","Finance","G6/G7","Male","40","40","59230","59050"
"In post","2023","Cabinet Office","Finance","SCS level","Female","10","5","[c]","[c]"
"In post","2023","Cabinet Office","Finance","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Finance","SEO/HEO","Female","95","90","34700","33020"
"In post","2023","Cabinet Office","Finance","SEO/HEO","Male","90","90","34590","34250"
"In post","2023","Cabinet Office","Human Resources","AA/AO","Female","80","70","21810","21720"
"In post","2023","Cabinet Office","Human Resources","AA/AO","Male","50","50","21790","21720"
"In post","2023","Cabinet Office","Human Resources","EO","Female","105","100","26600","26300"
"In post","2023","Cabinet Office","Human Resources","EO","Male","40","40","26330","24860"
"In post","2023","Cabinet Office","Human Resources","G6/G7","Female","195","185","58410","56880"
"In post","2023","Cabinet Office","Human Resources","G6/G7","Male","80","80","58350","56430"
"In post","2023","Cabinet Office","Human Resources","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","SEO/HEO","Female","255","240","37170","37750"
"In post","2023","Cabinet Office","Human Resources","SEO/HEO","Male","85","85","37370","38460"
"In post","2023","Cabinet Office","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","EO","Female","10","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","EO","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Legal","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","SCS level","Female","25","20","[c]","[c]"
"In post","2023","Cabinet Office","Legal","SCS level","Male","30","30","86900","81600"
"In post","2023","Cabinet Office","Legal","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","EO","Female","20","15","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","EO","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","G6/G7","Female","40","40","54610","53160"
"In post","2023","Cabinet Office","Operational Delivery","G6/G7","Male","35","35","58090","57770"
"In post","2023","Cabinet Office","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Other","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Other","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Policy","EO","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Policy","G6/G7","Female","110","105","58340","56430"
"In post","2023","Cabinet Office","Policy","G6/G7","Male","90","90","58930","56430"
"In post","2023","Cabinet Office","Policy","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Policy","SEO/HEO","Female","90","90","38940","39580"
"In post","2023","Cabinet Office","Policy","SEO/HEO","Male","75","75","38960","40600"
"In post","2023","Cabinet Office","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","G6/G7","Female","35","35","57900","56430"
"In post","2023","Cabinet Office","Project Delivery","G6/G7","Male","35","35","60340","61850"
"In post","2023","Cabinet Office","Project Delivery","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","SEO/HEO","Female","185","185","31410","30130"
"In post","2023","Cabinet Office","Project Delivery","SEO/HEO","Male","120","120","31610","30130"
"In post","2023","Cabinet Office","Property","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Property","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Property","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Property","EO","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Property","G6/G7","Female","45","45","55710","55790"
"In post","2023","Cabinet Office","Property","G6/G7","Male","85","85","57360","56150"
"In post","2023","Cabinet Office","Property","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Property","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Property","SEO/HEO","Female","60","60","33960","32960"
"In post","2023","Cabinet Office","Property","SEO/HEO","Male","60","60","35580","35790"
"In post","2023","Cabinet Office","Psychology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","SEO/HEO","Female","55","55","30180","30130"
"In post","2023","Cabinet Office","Science and Engineering","SEO/HEO","Male","45","45","30350","30130"
"In post","2023","Cabinet Office","Security","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Security","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Security","EO","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Security","EO","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Security","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Security","G6/G7","Male","35","35","62910","62320"
"In post","2023","Cabinet Office","Security","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Security","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Security","SEO/HEO","Female","105","100","35560","34320"
"In post","2023","Cabinet Office","Security","SEO/HEO","Male","150","145","35370","34320"
"In post","2023","Cabinet Office","Social Research","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","SEO/HEO","Female","55","55","31110","30130"
"In post","2023","Cabinet Office","Statistics","SEO/HEO","Male","60","60","31630","30130"
"In post","2023","Cabinet Office","Unknown","AA/AO","Female","130","115","22710","21830"
"In post","2023","Cabinet Office","Unknown","AA/AO","Male","105","105","22950","21830"
