"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","G6/G7","20","20","64530","66620"
"In post","2023","Attorney General's Office","London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","London","SEO/HEO","15","15","37870","38330"
"In post","2023","Building Digital UK","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","EO","15","15","27780","27230"
"In post","2023","Building Digital UK","London","G6/G7","70","70","57500","55770"
"In post","2023","Building Digital UK","London","SCS level","10","10","[c]","[c]"
"In post","2023","Building Digital UK","London","SEO/HEO","45","45","36390","35620"
"In post","2023","Building Digital UK","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","G6/G7","40","40","53760","53030"
"In post","2023","Building Digital UK","Outside London","SEO/HEO","40","40","34010","32560"
"In post","2023","Cabinet Office (excl. agencies)","London","AA/AO","95","95","25280","25280"
"In post","2023","Cabinet Office (excl. agencies)","London","EO","345","335","28810","28370"
"In post","2023","Cabinet Office (excl. agencies)","London","G6/G7","1685","1650","60420","57470"
"In post","2023","Cabinet Office (excl. agencies)","London","SCS level","380","370","95360","84190"
"In post","2023","Cabinet Office (excl. agencies)","London","SEO/HEO","1055","1040","39190","40600"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","AA/AO","320","295","21770","21720"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","EO","360","340","25710","24860"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","G6/G7","530","515","55240","51290"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SCS level","65","65","96090","89000"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","905","875","35680","34320"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","EO","50","50","25130","24610"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","G6/G7","50","50","58020","56430"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","55","55","36280","35740"
"In post","2023","Central Civil Service Fast Stream","London","SEO/HEO","1190","1185","30770","30130"
"In post","2023","Central Civil Service Fast Stream","Outside London","SEO/HEO","465","465","30610","30130"
"In post","2023","Central Civil Service Fast Stream","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","20","20","21750","22150"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","150","140","25990","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","135","130","52710","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","350","330","33860","30820"
"In post","2023","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","G6/G7","30","30","57390","53180"
"In post","2023","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","SEO/HEO","40","40","34620","32150"
"In post","2023","Charity Commission","Outside London","AA/AO","20","20","21510","21100"
"In post","2023","Charity Commission","Outside London","EO","115","110","25710","25300"
"In post","2023","Charity Commission","Outside London","G6/G7","45","45","56010","52240"
"In post","2023","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Outside London","SEO/HEO","230","225","33780","30320"
"In post","2023","Companies House","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Outside London","AA/AO","435","385","22610","23240"
"In post","2023","Companies House","Outside London","EO","295","280","28070","26060"
"In post","2023","Companies House","Outside London","G6/G7","100","100","58260","55830"
"In post","2023","Companies House","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Companies House","Outside London","SEO/HEO","370","355","39630","40500"
"In post","2023","Competition and Markets Authority","London","AA/AO","25","25","23320","23200"
"In post","2023","Competition and Markets Authority","London","EO","55","55","28820","28760"
"In post","2023","Competition and Markets Authority","London","G6/G7","410","395","67630","66210"
"In post","2023","Competition and Markets Authority","London","SCS level","115","110","110610","102320"
"In post","2023","Competition and Markets Authority","London","SEO/HEO","190","185","38250","35920"
"In post","2023","Competition and Markets Authority","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","G6/G7","65","60","66070","62810"
"In post","2023","Competition and Markets Authority","Outside London","SCS level","10","10","100100","102080"
"In post","2023","Competition and Markets Authority","Outside London","SEO/HEO","35","35","38220","35600"
"In post","2023","Criminal Injuries Compensation Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","AA/AO","135","120","21640","21780"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","EO","90","85","25990","25830"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","G6/G7","15","10","58930","59590"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","95","95","32630","31270"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","London","G6/G7","30","30","61490","61080"
"In post","2023","Crown Commercial Service","London","SCS level","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","London","SEO/HEO","20","20","40920","41560"
"In post","2023","Crown Commercial Service","Outside London","AA/AO","15","15","21020","21040"
"In post","2023","Crown Commercial Service","Outside London","EO","90","85","26480","26410"
"In post","2023","Crown Commercial Service","Outside London","G6/G7","160","155","55630","53160"
"In post","2023","Crown Commercial Service","Outside London","SCS level","15","15","83430","74800"
"In post","2023","Crown Commercial Service","Outside London","SEO/HEO","415","400","36500","39860"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","775","710","24000","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","EO","405","395","30260","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","740","700","61820","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","SCS level","25","25","89240","85200"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","500","480","37670","37940"
"In post","2023","Crown Prosecution Service","London","AA/AO","350","330","24100","24480"
"In post","2023","Crown Prosecution Service","London","EO","390","370","29410","28870"
"In post","2023","Crown Prosecution Service","London","G6/G7","790","750","62710","62690"
"In post","2023","Crown Prosecution Service","London","SCS level","40","40","98860","90360"
"In post","2023","Crown Prosecution Service","London","SEO/HEO","295","285","37280","35550"
"In post","2023","Crown Prosecution Service","Outside London","AA/AO","1235","1140","22890","22870"
"In post","2023","Crown Prosecution Service","Outside London","EO","1170","1095","28100","28200"
"In post","2023","Crown Prosecution Service","Outside London","G6/G7","2335","2160","57100","56450"
"In post","2023","Crown Prosecution Service","Outside London","SCS level","50","50","93390","86860"
"In post","2023","Crown Prosecution Service","Outside London","SEO/HEO","850","820","36220","35550"
"In post","2023","Crown Prosecution Service","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Outside London","AA/AO","95","95","21020","22210"
"In post","2023","Defence Electronics and Components Agency","Outside London","EO","235","225","28980","28710"
"In post","2023","Defence Electronics and Components Agency","Outside London","G6/G7","10","10","63000","60130"
"In post","2023","Defence Electronics and Components Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Outside London","SEO/HEO","95","95","36710","34680"
"In post","2023","Defence Equipment and Support","London","AA/AO","100","100","24930","24340"
"In post","2023","Defence Equipment and Support","London","EO","45","45","30820","30890"
"In post","2023","Defence Equipment and Support","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Defence Equipment and Support","London","SEO/HEO","30","25","41560","42490"
"In post","2023","Defence Equipment and Support","Outside London","AA/AO","1570","1500","22440","21500"
"In post","2023","Defence Equipment and Support","Outside London","EO","700","670","27170","26810"
"In post","2023","Defence Equipment and Support","Outside London","G6/G7","1940","1880","58340","55870"
"In post","2023","Defence Equipment and Support","Outside London","SCS level","115","110","102800","95370"
"In post","2023","Defence Equipment and Support","Outside London","SEO/HEO","6175","5945","38020","38790"
"In post","2023","Defence Equipment and Support","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Equipment and Support","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2023","Defence Equipment and Support","Overseas","SEO/HEO","35","35","55430","58020"
"In post","2023","Defence Science and Technology Laboratory","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Outside London","AA/AO","145","145","20740","19430"
"In post","2023","Defence Science and Technology Laboratory","Outside London","EO","280","265","24740","24630"
"In post","2023","Defence Science and Technology Laboratory","Outside London","G6/G7","2230","2130","53950","49260"
"In post","2023","Defence Science and Technology Laboratory","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Outside London","SEO/HEO","2300","2230","34920","35600"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","45","45","26080","25900"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","255","250","29570","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","2475","2410","60130","58120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","315","300","85130","77730"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","1880","1855","39880","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","20","20","22440","22440"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","120","115","25800","25500"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","450","440","55400","51300"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SCS level","35","30","89430","77660"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO/HEO","690","680","37260","37470"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","EO","120","115","28520","27780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","G6/G7","750","735","57820","55760"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","SCS level","105","95","87490","78670"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","SEO/HEO","525","520","37470","35620"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","EO","25","25","25650","24780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","G6/G7","75","75","54160","53160"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","SEO/HEO","100","95","34570","34920"
"In post","2023","Department for Education (excl. agencies)","London","AA/AO","25","20","25230","25120"
"In post","2023","Department for Education (excl. agencies)","London","EO","170","170","30340","30560"
"In post","2023","Department for Education (excl. agencies)","London","G6/G7","1010","965","60530","56290"
"In post","2023","Department for Education (excl. agencies)","London","SCS level","160","155","85430","76910"
"In post","2023","Department for Education (excl. agencies)","London","SEO/HEO","765","735","40160","41440"
"In post","2023","Department for Education (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","Outside London","AA/AO","55","50","22050","22020"
"In post","2023","Department for Education (excl. agencies)","Outside London","EO","505","480","26600","26940"
"In post","2023","Department for Education (excl. agencies)","Outside London","G6/G7","1840","1780","56050","52150"
"In post","2023","Department for Education (excl. agencies)","Outside London","SCS level","95","95","83030","76510"
"In post","2023","Department for Education (excl. agencies)","Outside London","SEO/HEO","2530","2445","35850","37590"
"In post","2023","Department for Education (excl. agencies)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","50","50","25350","25340"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","230","220","28930","29080"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6/G7","955","925","57710","54950"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SCS level","125","125","85260","78260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO/HEO","1185","1160","37570","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AA/AO","65","55","21740","22150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","310","295","25940","25920"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6/G7","1445","1395","52820","49840"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SCS level","85","85","81530","76260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","1870","1795","34890","37300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","London","AA/AO","20","20","28660","28660"
"In post","2023","Department for International Trade","London","EO","230","230","29910","29280"
"In post","2023","Department for International Trade","London","G6/G7","1070","1055","59780","55790"
"In post","2023","Department for International Trade","London","SCS level","145","140","89020","78760"
"In post","2023","Department for International Trade","London","SEO/HEO","1225","1215","39320","41550"
"In post","2023","Department for International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","EO","70","65","26180","25660"
"In post","2023","Department for International Trade","Outside London","G6/G7","190","190","56470","53360"
"In post","2023","Department for International Trade","Outside London","SCS level","15","15","84950","74740"
"In post","2023","Department for International Trade","Outside London","SEO/HEO","390","380","38330","38350"
"In post","2023","Department for International Trade","Overseas","G6/G7","100","100","58490","57760"
"In post","2023","Department for International Trade","Overseas","SCS level","30","30","85980","77940"
"In post","2023","Department for International Trade","Overseas","SEO/HEO","50","50","39180","39450"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","AA/AO","20","20","27870","27870"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","160","160","30210","28850"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6/G7","1025","995","59300","55370"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SCS level","145","140","87190","79880"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO/HEO","760","750","38380","40390"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","AA/AO","30","25","24620","24320"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","90","85","26960","25830"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G6/G7","410","400","53590","49700"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SCS level","30","30","88460","77440"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SEO/HEO","580","565","35320","35930"
"In post","2023","Department for Transport (excl. agencies)","London","AA/AO","120","105","32490","34390"
"In post","2023","Department for Transport (excl. agencies)","London","EO","220","220","31610","31210"
"In post","2023","Department for Transport (excl. agencies)","London","G6/G7","1315","1285","60960","56740"
"In post","2023","Department for Transport (excl. agencies)","London","SCS level","230","220","88550","80240"
"In post","2023","Department for Transport (excl. agencies)","London","SEO/HEO","1130","1110","40690","43320"
"In post","2023","Department for Transport (excl. agencies)","Outside London","AA/AO","35","30","23200","22500"
"In post","2023","Department for Transport (excl. agencies)","Outside London","EO","110","105","27850","26960"
"In post","2023","Department for Transport (excl. agencies)","Outside London","G6/G7","270","265","63870","56860"
"In post","2023","Department for Transport (excl. agencies)","Outside London","SCS level","20","20","96410","94340"
"In post","2023","Department for Transport (excl. agencies)","Outside London","SEO/HEO","335","325","36540","39430"
"In post","2023","Department for Transport (excl. agencies)","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","AA/AO","1340","1165","25180","25610"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","EO","5085","4685","32350","32520"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","G6/G7","720","685","62450","58370"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","SCS level","120","115","95060","85580"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","SEO/HEO","1780","1725","40760","39150"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","AA/AO","24150","20690","21840","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","EO","37615","33490","28330","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","G6/G7","3070","2955","57260","53390"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","SCS level","160","155","88050","79700"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","SEO/HEO","10560","9940","36040","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","70","65","21620","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","EO","140","135","28170","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","G6/G7","40","40","59130","56990"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","SEO/HEO","85","80","39090","38470"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","AA/AO","30","30","24370","24750"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","EO","240","230","29090","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","G6/G7","1040","1000","59870","55120"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","SCS level","190","185","90550","81900"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","SEO/HEO","885","865","38710","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","AA/AO","15","15","22070","21250"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","EO","125","120","25940","25190"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","G6/G7","570","545","56470","52600"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","SCS level","70","70","91110","85930"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","SEO/HEO","505","485","35920","38120"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","Outside London","AA/AO","215","200","24390","24890"
"In post","2023","Disclosure Scotland","Outside London","EO","60","55","31820","31940"
"In post","2023","Disclosure Scotland","Outside London","G6/G7","20","20","63990","59360"
"In post","2023","Disclosure Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","Outside London","SEO/HEO","70","65","41710","39930"
"In post","2023","Driver and Vehicle Licensing Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","AA/AO","3985","3390","21650","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","EO","900","850","27270","27190"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","G6/G7","300","285","65280","61050"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","SEO/HEO","1035","1000","37990","35740"
"In post","2023","Driver and Vehicle Standards Agency","London","AA/AO","40","40","29780","31490"
"In post","2023","Driver and Vehicle Standards Agency","London","EO","255","240","31960","31450"
"In post","2023","Driver and Vehicle Standards Agency","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","London","SEO/HEO","50","50","38000","36950"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","AA/AO","1100","1025","25170","22500"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","EO","2365","2190","28390","27450"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","G6/G7","125","125","55530","53000"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","SEO/HEO","950","930","35890","33850"
"In post","2023","Education Scotland","Outside London","AA/AO","40","40","24360","24890"
"In post","2023","Education Scotland","Outside London","EO","25","20","30710","29450"
"In post","2023","Education Scotland","Outside London","G6/G7","230","220","72680","79110"
"In post","2023","Education Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Education Scotland","Outside London","SEO/HEO","65","65","44060","42860"
"In post","2023","Education and Skills Funding Agency","London","EO","10","10","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","London","G6/G7","40","40","61060","56150"
"In post","2023","Education and Skills Funding Agency","London","SCS level","5","5","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","London","SEO/HEO","65","65","40080","41440"
"In post","2023","Education and Skills Funding Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","Outside London","EO","45","45","27000","26940"
"In post","2023","Education and Skills Funding Agency","Outside London","G6/G7","185","180","54620","51910"
"In post","2023","Education and Skills Funding Agency","Outside London","SCS level","15","15","82490","77440"
"In post","2023","Education and Skills Funding Agency","Outside London","SEO/HEO","400","385","35590","37590"
"In post","2023","Estyn","Outside London","AA/AO","15","10","24680","25620"
"In post","2023","Estyn","Outside London","EO","25","20","29990","30610"
"In post","2023","Estyn","Outside London","G6/G7","75","70","77170","78500"
"In post","2023","Estyn","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Outside London","SEO/HEO","10","10","41610","40700"
"In post","2023","FCDO Services","London","AA/AO","30","30","32420","29350"
"In post","2023","FCDO Services","London","EO","20","20","33150","31790"
"In post","2023","FCDO Services","London","G6/G7","60","55","66990","64420"
"In post","2023","FCDO Services","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","FCDO Services","London","SEO/HEO","55","55","43910","44000"
"In post","2023","FCDO Services","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","FCDO Services","Outside London","AA/AO","100","100","26500","26100"
"In post","2023","FCDO Services","Outside London","EO","170","165","29880","29400"
"In post","2023","FCDO Services","Outside London","G6/G7","145","130","63360","60700"
"In post","2023","FCDO Services","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","FCDO Services","Outside London","SEO/HEO","325","315","41840","41670"
"In post","2023","FCDO Services","Outside London","Unknown","65","65","24190","23800"
"In post","2023","FCDO Services","Overseas","EO","25","25","29080","28840"
"In post","2023","FCDO Services","Overseas","G6/G7","20","20","59670","57270"
"In post","2023","FCDO Services","Overseas","SEO/HEO","80","80","42040","42840"
"In post","2023","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","London","EO","25","25","30550","30540"
"In post","2023","Food Standards Agency","London","G6/G7","65","65","60200","57250"
"In post","2023","Food Standards Agency","London","SCS level","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","London","SEO/HEO","125","125","38360","40750"
"In post","2023","Food Standards Agency","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","Outside London","EO","410","385","28200","28090"
