"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Outer London - East and North East","Redbridge and Waltham Forest","London","10","10","39090","25600"
"In post","2023","Attorney General's Departments","Outer London - South","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - South","Croydon","London","50","50","38550","32630"
"In post","2023","Attorney General's Departments","Outer London - South","Merton, Kingston upon Thames and Sutton","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - West and North West","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - West and North West","Ealing","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - West and North West","Harrow and Hillingdon","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Outer London - West and North West","Hounslow and Richmond upon Thames","London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Shropshire and Staffordshire","Shropshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Shropshire and Staffordshire","Staffordshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Shropshire and Staffordshire","Stoke-on-Trent","Outside London","70","65","42220","38850"
"In post","2023","Attorney General's Departments","Shropshire and Staffordshire","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South Yorkshire","Barnsley, Doncaster and Rotherham","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South Yorkshire","Sheffield","Outside London","160","145","35740","28850"
"In post","2023","Attorney General's Departments","Surrey, East and West Sussex","Brighton and Hove","Outside London","120","115","40800","30560"
"In post","2023","Attorney General's Departments","Surrey, East and West Sussex","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Surrey, East and West Sussex","West Surrey","Outside London","80","75","45490","40800"
"In post","2023","Attorney General's Departments","Surrey, East and West Sussex","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Surrey, East and West Sussex","West Sussex (South West)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Tees Valley and Durham","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Tees Valley and Durham","Durham","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Tees Valley and Durham","South Teesside","Outside London","105","95","39810","33300"
"In post","2023","Attorney General's Departments","West Midlands","Birmingham","Outside London","540","510","40770","38760"
"In post","2023","Attorney General's Departments","West Midlands","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands","Walsall","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Wales and The Valleys","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Wales and The Valleys","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Wales and The Valleys","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Wales and The Valleys","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Wales and The Valleys","Swansea","Outside London","95","90","40760","38940"
"In post","2023","Attorney General's Departments","West Yorkshire","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Yorkshire","Calderdale and Kirklees","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","West Yorkshire","Leeds","Outside London","565","525","44240","49050"
"In post","2023","Attorney General's Departments","West Yorkshire","Wakefield","Outside London","70","65","37010","31180"
"In post","2023","Cabinet Office","Bedfordshire and Hertfordshire","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","15","15","39860","34320"
"In post","2023","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","10","10","53170","65970"
"In post","2023","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","70","70","37340","34320"
"In post","2023","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cheshire","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cheshire","Warrington","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Cumbria","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cumbria","West Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Derbyshire and Nottinghamshire","Nottingham","Outside London","70","70","49230","45830"
"In post","2023","Cabinet Office","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Devon","Devon CC","Outside London","10","10","63770","68080"
"In post","2023","Cabinet Office","Devon","Plymouth","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Dorset and Somerset","Dorset","Outside London","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Dorset and Somerset","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Anglia","Cambridgeshire CC","Outside London","10","10","52720","55050"
"In post","2023","Cabinet Office","East Anglia","Norwich and East Norfolk","Outside London","210","200","45110","40450"
"In post","2023","Cabinet Office","East Anglia","Peterborough","Outside London","10","10","69070","70020"
"In post","2023","Cabinet Office","East Anglia","Suffolk CC","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","East Wales","Cardiff and Vale of Glamorgan","Outside London","85","85","41310","34280"
"In post","2023","Cabinet Office","East Wales","Monmouthshire and Newport","Outside London","140","135","40230","38340"
"In post","2023","Cabinet Office","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Eastern Scotland","City of Edinburgh","Outside London","30","30","36350","30130"
"In post","2023","Cabinet Office","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Essex","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","45","45","70950","66270"
"In post","2023","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","195","190","50200","51020"
"In post","2023","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","15","15","48550","40560"
"In post","2023","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","60","60","68940","65890"
"In post","2023","Cabinet Office","Greater Manchester","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester","Greater Manchester South East","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester","Greater Manchester South West","Outside London","170","165","44710","38460"
"In post","2023","Cabinet Office","Greater Manchester","Manchester","Outside London","330","325","50640","51290"
"In post","2023","Cabinet Office","Hampshire and Isle of Wight","Central Hampshire","Outside London","50","50","63000","66270"
"In post","2023","Cabinet Office","Hampshire and Isle of Wight","North Hampshire","Outside London","30","25","43910","38230"
"In post","2023","Cabinet Office","Hampshire and Isle of Wight","Portsmouth","Outside London","20","20","47790","35390"
"In post","2023","Cabinet Office","Hampshire and Isle of Wight","South Hampshire","Outside London","10","10","45880","34320"
"In post","2023","Cabinet Office","Hampshire and Isle of Wight","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inner London - East","Hackney and Newham","London","40","40","38820","31540"
"In post","2023","Cabinet Office","Inner London - East","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inner London - East","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inner London - East","Tower Hamlets","London","1325","1295","55350","56430"
"In post","2023","Cabinet Office","Inner London - West","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inner London - West","Westminster","London","4185","4130","50730","41870"
"In post","2023","Cabinet Office","Kent","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Kent","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Kent","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Kent","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Lancashire","Blackpool","Outside London","45","45","56130","56000"
"In post","2023","Cabinet Office","Lancashire","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Lancashire","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Lincolnshire","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Merseyside","East Merseyside","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Merseyside","Liverpool","Outside London","475","465","42500","40450"
"In post","2023","Cabinet Office","Merseyside","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Merseyside","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","North Yorkshire","North Yorkshire CC","Outside London","10","10","60490","51290"
"In post","2023","Cabinet Office","North Yorkshire","York","Outside London","620","590","35120","33020"
"In post","2023","Cabinet Office","Northern Ireland","Ards and North Down","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Northern Ireland","Belfast","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Northumberland, and Tyne and Wear","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Northumberland, and Tyne and Wear","Tyneside","Outside London","395","370","31540","27100"
"In post","2023","Cabinet Office","Outer London - East and North East","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Outer London - South","Croydon","London","30","25","67530","68090"
"In post","2023","Cabinet Office","Outer London - South","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Outer London - West and North West","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Shropshire and Staffordshire","Shropshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Shropshire and Staffordshire","Staffordshire CC","Outside London","10","10","49790","36800"
"In post","2023","Cabinet Office","Shropshire and Staffordshire","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Shropshire and Staffordshire","Telford and Wrekin","Outside London","15","15","73380","66270"
"In post","2023","Cabinet Office","South Yorkshire","Sheffield","Outside London","100","95","53260","55260"
"In post","2023","Cabinet Office","Southern Scotland","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Southern Scotland","South Lanarkshire","Outside London","25","25","66710","65500"
"In post","2023","Cabinet Office","Surrey, East and West Sussex","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Tees Valley and Durham","Darlington","Outside London","15","15","60620","65500"
"In post","2023","Cabinet Office","Tees Valley and Durham","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","Unknown","Unknown","175","170","42980","35740"
"In post","2023","Cabinet Office","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Central Scotland","Glasgow City","Outside London","435","425","39650","33020"
"In post","2023","Cabinet Office","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Central Scotland","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Midlands","Birmingham","Outside London","265","265","51680","40000"
"In post","2023","Cabinet Office","West Midlands","Coventry","Outside London","10","10","77040","71930"
"In post","2023","Cabinet Office","West Midlands","Solihull","Outside London","10","10","[c]","[c]"
"In post","2023","Cabinet Office","West Midlands","Wolverhampton","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","West Wales and The Valleys","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Wales and The Valleys","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Wales and The Valleys","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Yorkshire","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Yorkshire","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","West Yorkshire","Leeds","Outside London","275","270","51240","51290"
"In post","2023","Cabinet Office","West Yorkshire","Wakefield","Outside London","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Eastern Scotland","City of Edinburgh","Outside London","15","10","70680","70000"
"In post","2023","Chancellor's other departments","Inner London - West","Camden and City of London","London","200","190","68340","62610"
"In post","2023","Chancellor's other departments","Inner London - West","Westminster","London","150","145","54760","49550"
"In post","2023","Chancellor's other departments","Lancashire","Mid Lancashire","Outside London","25","25","44380","45000"
"In post","2023","Chancellor's other departments","Tees Valley and Durham","Durham","Outside London","20","20","50310","45690"
"In post","2023","Chancellor's other departments","West Central Scotland","Glasgow City","Outside London","15","15","44380","42290"
"In post","2023","Charity Commission","Dorset and Somerset","Somerset CC","Outside London","35","30","34850","32360"
"In post","2023","Charity Commission","East Wales","Monmouthshire and Newport","Outside London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Inner London - West","Westminster","London","80","80","45710","41370"
"In post","2023","Charity Commission","Merseyside","Sefton","Outside London","380","360","33830","30170"
"In post","2023","Competition and Markets Authority","East Wales","Cardiff and Vale of Glamorgan","Outside London","10","10","56500","57910"
"In post","2023","Competition and Markets Authority","Eastern Scotland","City of Edinburgh","Outside London","70","65","59150","55950"
"In post","2023","Competition and Markets Authority","Greater Manchester","Manchester","Outside London","15","15","48150","42920"
"In post","2023","Competition and Markets Authority","Inner London - East","Tower Hamlets","London","795","770","62880","58330"
"In post","2023","Competition and Markets Authority","Northern Ireland","Belfast","Outside London","15","15","59620","59300"
"In post","2023","Competition and Markets Authority","Tees Valley and Durham","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Bedfordshire and Hertfordshire","Bedford","Outside London","10","10","36430","36190"
"In post","2023","Department for Business, Energy and Industrial Strategy","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","50","45","43740","39840"
"In post","2023","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","40","40","37860","35150"
"In post","2023","Department for Business, Energy and Industrial Strategy","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Cumbria","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Nottingham","Outside London","185","175","33210","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","10","10","36480","36410"
"In post","2023","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Devon","Devon CC","Outside London","1950","1860","39880","39650"
"In post","2023","Department for Business, Energy and Industrial Strategy","Devon","Plymouth","Outside London","55","50","31410","29240"
"In post","2023","Department for Business, Energy and Industrial Strategy","Devon","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","Dorset","Outside London","[c]","[c]","[c]","[c]"
