"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","No function","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","UK Statistics Authority","10","10","21150","21200"
"In post","2023","16-19","No function","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Submarine Delivery Agency","Ministry of Defence","20","20","18750","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","FCDO Services","Foreign, Commonwealth and Development Office","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Prison Service","Scottish Government","5","5","[c]","[c]"
"In post","2023","16-19","Property","Valuation Office Agency","HM Revenue and Customs","20","20","23490","22520"
"In post","2023","16-19","Security","Cabinet Office (excl. agencies)","Cabinet Office","10","10","25160","24470"
"In post","2023","16-19","Security","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","15","15","21150","19430"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Forestry and Land Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Royal Fleet Auxiliary","Ministry of Defence","30","30","19370","17400"
"In post","2023","16-19","Unknown","Scottish Government (excl. agencies)","Scottish Government","15","15","22760","22760"
"In post","2023","16-19","Unknown","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Social Security Scotland","Scottish Government","15","15","22720","22180"
"In post","2023","16-19","Unknown","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government (excl. agencies)","Welsh Government","10","10","22670","22150"
"In post","2023","20-29","Analysis","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Central Civil Service Fast Stream","Cabinet Office","100","100","31030","30130"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","75","75","27050","25970"
"In post","2023","20-29","Analysis","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","Competition and Markets Authority","35","35","42470","34620"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","295","295","32860","30650"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","135","135","35600","34670"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","65","65","45070","39620"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","Department for Education","180","180","41830","43250"
"In post","2023","20-29","Analysis","Department for International Trade","Department for International Trade","130","130","41910","35010"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","115","115","41470","35760"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","Department for Transport","165","160","42310","39430"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","215","210","37920","37990"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","55","55","39940","34190"
"In post","2023","20-29","Analysis","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","Food Standards Agency","20","20","37000","33990"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","20","20","39480","32400"
"In post","2023","20-29","Analysis","Government Actuary's Department","Chancellor's other departments","50","50","40130","36640"
"In post","2023","20-29","Analysis","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Courts and Tribunals Service","Ministry of Justice","15","15","40410","40420"
"In post","2023","20-29","Analysis","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","305","305","41450","39450"
"In post","2023","20-29","Analysis","HM Treasury (excl. agencies)","HM Treasury","105","105","36400","33820"
"In post","2023","20-29","Analysis","Health and Safety Executive","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","Home Office","270","270","40450","37370"
"In post","2023","20-29","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","15","15","35490","31750"
"In post","2023","20-29","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","20","20","29410","27840"
"In post","2023","20-29","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","140","140","39000","38260"
"In post","2023","20-29","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","250","250","39960","35410"
"In post","2023","20-29","Analysis","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office for Budget Responsibility","HM Treasury","20","20","40730","39000"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","45","45","34390","33130"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","40","40","33240","33400"
"In post","2023","20-29","Analysis","Office of Rail and Road","Office of Rail and Road","15","15","37500","37550"
"In post","2023","20-29","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","UK Export Finance","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","UK Statistics Authority","680","675","34110","31560"
"In post","2023","20-29","Analysis","Valuation Office Agency","HM Revenue and Customs","20","20","38290","37080"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","20","20","36990","35330"
"In post","2023","20-29","Analysis","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Building Digital UK","Department for Digital, Culture, Media and Sport","10","10","32950","31880"
"In post","2023","20-29","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","35","35","36920","35650"
"In post","2023","20-29","Commercial","Central Civil Service Fast Stream","Cabinet Office","80","80","30370","30130"
"In post","2023","20-29","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Crown Commercial Service","Cabinet Office","55","55","32760","32110"
"In post","2023","20-29","Commercial","Crown Prosecution Service","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Defence Equipment and Support","Ministry of Defence","175","175","30730","31920"
"In post","2023","20-29","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","25","25","26800","24630"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Education (excl. agencies)","Department for Education","50","50","33630","30890"
"In post","2023","20-29","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","15","15","33400","31100"
"In post","2023","20-29","Commercial","Department for International Trade","Department for International Trade","15","15","36460","35010"
"In post","2023","20-29","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Transport (excl. agencies)","Department for Transport","50","50","40790","35760"
"In post","2023","20-29","Commercial","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","20","20","35860","38120"
"In post","2023","20-29","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Driver and Vehicle Standards Agency","Department for Transport","10","10","34010","32660"
"In post","2023","20-29","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","10","40070","40020"
"In post","2023","20-29","Commercial","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Government Commercial Organisation","Cabinet Office","90","90","61670","65500"
"In post","2023","20-29","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","35","35","33910","34400"
"In post","2023","20-29","Commercial","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Home Office","Home Office","15","15","36080","36000"
"In post","2023","20-29","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","10","10","35120","34500"
"In post","2023","20-29","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","215","210","33000","33830"
"In post","2023","20-29","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","50","50","36330","35970"
"In post","2023","20-29","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Scottish Prison Service","Scottish Government","10","10","29640","27710"
"In post","2023","20-29","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Submarine Delivery Agency","Ministry of Defence","30","30","31570","28030"
"In post","2023","20-29","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
