"Status","Year","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","Female","160","145","38360","32520"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","Male","75","70","47310","50000"
"In post","2023","Attorney General's Departments","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Conwy and Denbighshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Conwy and Denbighshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Croydon","Female","35","30","38280","32390"
"In post","2023","Attorney General's Departments","Croydon","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Darlington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Darlington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon CC","Female","60","55","39400","36970"
"In post","2023","Attorney General's Departments","Devon CC","Male","50","50","42860","38940"
"In post","2023","Attorney General's Departments","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dudley","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dudley","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Durham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Durham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Ealing","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Ealing","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Cumbria","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East Cumbria","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Kent","Female","80","75","38750","30560"
"In post","2023","Attorney General's Departments","East Kent","Male","50","50","43860","40540"
"In post","2023","Attorney General's Departments","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Flintshire and Wrexham","Female","65","60","39880","38760"
"In post","2023","Attorney General's Departments","Flintshire and Wrexham","Male","30","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gwent Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gwent Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Haringey and Islington","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Harrow and Hillingdon","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Heart of Essex","Female","160","150","42220","38460"
"In post","2023","Attorney General's Departments","Heart of Essex","Male","45","45","45020","38660"
"In post","2023","Attorney General's Departments","Herefordshire, County of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Herefordshire, County of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hertfordshire CC","Female","135","120","42040","32660"
"In post","2023","Attorney General's Departments","Hertfordshire CC","Male","55","55","51670","55170"
"In post","2023","Attorney General's Departments","Hounslow and Richmond upon Thames","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hounslow and Richmond upon Thames","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kingston upon Hull, City of","Female","60","55","38420","28850"
"In post","2023","Attorney General's Departments","Kingston upon Hull, City of","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Lancaster and Wyre","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Lancaster and Wyre","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Leeds","Female","390","355","42810","45230"
"In post","2023","Attorney General's Departments","Leeds","Male","175","170","47460","50460"
"In post","2023","Attorney General's Departments","Leicester","Female","115","100","36730","28850"
"In post","2023","Attorney General's Departments","Leicester","Male","45","40","42200","49050"
"In post","2023","Attorney General's Departments","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Lewisham and Southwark","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Lewisham and Southwark","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Liverpool","Female","275","260","36230","28850"
"In post","2023","Attorney General's Departments","Liverpool","Male","145","140","40860","38760"
"In post","2023","Attorney General's Departments","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Manchester","Female","270","245","39380","31880"
"In post","2023","Attorney General's Departments","Manchester","Male","130","125","44540","49050"
"In post","2023","Attorney General's Departments","Medway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Mid Kent","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Mid Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Mid Lancashire","Female","130","120","39170","34640"
"In post","2023","Attorney General's Departments","Mid Lancashire","Male","65","65","44550","49050"
"In post","2023","Attorney General's Departments","Monmouthshire and Newport","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Yorkshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Yorkshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North and North East Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North and North East Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Northumberland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Northumberland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Norwich and East Norfolk","Female","65","55","32150","26900"
"In post","2023","Attorney General's Departments","Norwich and East Norfolk","Male","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Nottingham","Female","205","185","38120","31180"
"In post","2023","Attorney General's Departments","Nottingham","Male","110","105","37750","31490"
"In post","2023","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Portsmouth","Female","90","85","40450","30560"
"In post","2023","Attorney General's Departments","Portsmouth","Male","40","40","44620","40800"
"In post","2023","Attorney General's Departments","Redbridge and Waltham Forest","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Sefton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Sheffield","Female","115","100","34350","28850"
"In post","2023","Attorney General's Departments","Sheffield","Male","45","45","39190","32140"
"In post","2023","Attorney General's Departments","Shropshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Shropshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Somerset CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Somerset CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South Hampshire","Female","100","95","44870","40800"
"In post","2023","Attorney General's Departments","South Hampshire","Male","65","65","44730","44750"
"In post","2023","Attorney General's Departments","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South Teesside","Female","75","65","39400","32000"
"In post","2023","Attorney General's Departments","South Teesside","Male","30","30","40840","38760"
"In post","2023","Attorney General's Departments","South West Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Staffordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Staffordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Stoke-on-Trent","Female","50","45","40600","38940"
"In post","2023","Attorney General's Departments","Stoke-on-Trent","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Suffolk CC","Female","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Suffolk CC","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Swansea","Female","70","65","38760","36880"
"In post","2023","Attorney General's Departments","Swansea","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Swindon","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Swindon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Telford and Wrekin","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Telford and Wrekin","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Tyneside","Female","180","165","35600","28850"
"In post","2023","Attorney General's Departments","Tyneside","Male","95","95","45580","49050"
"In post","2023","Attorney General's Departments","Wakefield","Female","40","35","34570","31180"
"In post","2023","Attorney General's Departments","Wakefield","Male","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Walsall","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Walsall","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Warrington","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Warrington","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Warwickshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Warwickshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Northamptonshire","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","West Northamptonshire","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","West Surrey","Female","55","55","46340","54100"
"In post","2023","Attorney General's Departments","West Surrey","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","West Sussex (North East)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Sussex (North East)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Westminster","Female","3040","2810","50920","52790"
"In post","2023","Attorney General's Departments","Westminster","Male","1670","1635","52290","52790"
"In post","2023","Attorney General's Departments","Wiltshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wiltshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wirral","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wirral","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wolverhampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wolverhampton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Worcestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Worcestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","York","Female","95","85","41160","38940"
"In post","2023","Attorney General's Departments","York","Male","65","65","47430","40080"
"In post","2023","Cabinet Office","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","30","30","70080","66740"
"In post","2023","Cabinet Office","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Belfast","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Berkshire","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Berkshire","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Birmingham","Female","140","135","49060","38420"
"In post","2023","Cabinet Office","Birmingham","Male","125","125","54520","50200"
"In post","2023","Cabinet Office","Blackpool","Female","30","30","[c]","[c]"
"In post","2023","Cabinet Office","Blackpool","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bristol, City of","Female","105","100","48550","50690"
"In post","2023","Cabinet Office","Bristol, City of","Male","90","90","52080","51290"
"In post","2023","Cabinet Office","Buckinghamshire","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cambridgeshire CC","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Cambridgeshire CC","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cardiff and Vale of Glamorgan","Female","45","40","37780","33020"
"In post","2023","Cabinet Office","Cardiff and Vale of Glamorgan","Male","40","40","45000","38460"
"In post","2023","Cabinet Office","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Central Hampshire","Female","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Central Hampshire","Male","30","30","[c]","[c]"
"In post","2023","Cabinet Office","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cheshire West and Chester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cheshire West and Chester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","City of Edinburgh","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","City of Edinburgh","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Coventry","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Coventry","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Croydon","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Croydon","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Darlington","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Darlington","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Devon CC","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Dorset","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Durham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Durham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Ayrshire and North Ayrshire mainland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Ayrshire and North Ayrshire mainland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Riding of Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Glasgow City","Female","230","225","38000","33020"
"In post","2023","Cabinet Office","Glasgow City","Male","200","200","41550","33020"
"In post","2023","Cabinet Office","Gloucestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Gloucestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester South East","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester South West","Female","95","90","43450","38460"
"In post","2023","Cabinet Office","Greater Manchester South West","Male","75","75","46320","38460"
"In post","2023","Cabinet Office","Hackney and Newham","Female","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Hackney and Newham","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inverclyde, East Renfrewshire, and Renfrewshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inverclyde, East Renfrewshire, and Renfrewshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","[c]","[c]","[c]","[c]"
