"Status","Year","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Heterosexual / straight","1540","1465","28920","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","LGBO","140","140","27480","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Undeclared","215","200","29860","26180"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Unknown","215","200","27450","25340"
"In post","2023","Animal and Plant Health Agency","Other","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Heterosexual / straight","410","395","33080","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","LGBO","40","40","28760","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Undeclared","75","70","35670","33830"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Unknown","45","45","31980","29080"
"In post","2023","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Heterosexual / straight","220","210","42930","38850"
"In post","2023","Animal and Plant Health Agency","Veterinarian","LGBO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Undeclared","55","50","45510","40300"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Unknown","35","30","44550","38700"
"In post","2023","Attorney General's Office","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Other","Heterosexual / straight","35","30","43240","35620"
"In post","2023","Building Digital UK","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","Undeclared","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Other","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Heterosexual / straight","90","90","49510","53030"
"In post","2023","Building Digital UK","Project Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Undeclared","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Heterosexual / straight","110","110","57500","54220"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Undeclared","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Heterosexual / straight","85","85","52510","55250"
"In post","2023","Cabinet Office (excl. agencies)","Communications","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Unknown","45","45","51390","56110"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Heterosexual / straight","710","700","52400","55790"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","LGBO","100","95","51100","56430"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Undeclared","100","95","53010","56430"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","125","120","53160","55790"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Heterosexual / straight","85","85","58570","44580"
"In post","2023","Cabinet Office (excl. agencies)","Finance","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Heterosexual / straight","715","675","42010","38460"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","LGBO","50","50","44660","43620"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Undeclared","50","50","42550","38660"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Unknown","70","70","37700","35650"
"In post","2023","Cabinet Office (excl. agencies)","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Heterosexual / straight","35","35","39010","35650"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","Heterosexual / straight","40","40","80150","81600"
"In post","2023","Cabinet Office (excl. agencies)","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Policy","Heterosexual / straight","230","225","50470","51290"
"In post","2023","Cabinet Office (excl. agencies)","Policy","LGBO","40","40","44690","41410"
"In post","2023","Cabinet Office (excl. agencies)","Policy","Undeclared","40","35","50440","43810"
"In post","2023","Cabinet Office (excl. agencies)","Policy","Unknown","75","70","54520","56430"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","Heterosexual / straight","65","65","57720","56430"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Security","Heterosexual / straight","265","255","41150","34320"
"In post","2023","Cabinet Office (excl. agencies)","Security","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Security","Undeclared","30","30","39410","34320"
"In post","2023","Cabinet Office (excl. agencies)","Security","Unknown","75","70","42760","35650"
"In post","2023","Cabinet Office (excl. agencies)","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","1600","1550","45670","41160"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","LGBO","195","190","44800","41460"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Undeclared","160","160","46400","44240"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","Unknown","535","525","48340","41870"
"In post","2023","Central Civil Service Fast Stream","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Commercial","Unknown","80","80","30280","30130"
"In post","2023","Central Civil Service Fast Stream","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Digital, Data and Technology","Unknown","115","115","30160","30130"
"In post","2023","Central Civil Service Fast Stream","Finance","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Finance","Unknown","55","55","30470","30130"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","Heterosexual / straight","60","60","32760","32960"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Project Delivery","Unknown","190","190","30020","28840"
"In post","2023","Central Civil Service Fast Stream","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Property","Unknown","35","35","29650","28840"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Science and Engineering","Unknown","70","70","29540","28840"
"In post","2023","Central Civil Service Fast Stream","Statistics","Heterosexual / straight","35","35","33140","32960"
"In post","2023","Central Civil Service Fast Stream","Statistics","LGBO","5","5","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Statistics","Unknown","65","65","29740","28840"
"In post","2023","Central Civil Service Fast Stream","Unknown","Heterosexual / straight","190","190","32390","32960"
"In post","2023","Central Civil Service Fast Stream","Unknown","LGBO","35","35","32060","32960"
"In post","2023","Central Civil Service Fast Stream","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Unknown","Unknown","555","555","29920","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Communications","Unknown","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Unknown","25","20","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Other","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Other","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Unknown","25","20","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Heterosexual / straight","170","165","35830","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","LGBO","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Undeclared","25","25","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Unknown","240","235","35710","30820"
"In post","2023","Charity Commission","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Charity Commission","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","Heterosexual / straight","30","30","39520","38800"
"In post","2023","Charity Commission","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2023","Charity Commission","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","Charity Commission","Human Resources","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Charity Commission","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Intelligence Analysis","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Charity Commission","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
