"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","70","70","40430","40750"
"In post","2023","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs","EO","30","25","28530","28130"
"In post","2023","Commercial","HM Revenue and Customs","G6/G7","15","15","65520","65550"
"In post","2023","Commercial","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs","SEO/HEO","95","95","39700","41780"
"In post","2023","Commercial","HM Treasury","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","EO","20","20","27770","25880"
"In post","2023","Commercial","Home Office","G6/G7","15","15","59500","59290"
"In post","2023","Commercial","Home Office","SEO/HEO","90","90","40590","41060"
"In post","2023","Commercial","Ministry of Defence","AA/AO","160","155","23500","22320"
"In post","2023","Commercial","Ministry of Defence","EO","305","295","27340","27140"
"In post","2023","Commercial","Ministry of Defence","G6/G7","330","315","58600","55500"
"In post","2023","Commercial","Ministry of Defence","SCS level","20","20","94130","95390"
"In post","2023","Commercial","Ministry of Defence","SEO/HEO","1235","1190","38580","37640"
"In post","2023","Commercial","Ministry of Defence","Unknown","165","160","43020","42620"
"In post","2023","Commercial","Ministry of Justice","AA/AO","25","25","21700","21780"
"In post","2023","Commercial","Ministry of Justice","EO","55","50","26560","26010"
"In post","2023","Commercial","Ministry of Justice","G6/G7","10","10","61160","61390"
"In post","2023","Commercial","Ministry of Justice","SEO/HEO","195","190","39010","37680"
"In post","2023","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","SEO/HEO","15","15","45040","44140"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scottish Government","AA/AO","50","45","26660","28490"
"In post","2023","Commercial","Scottish Government","EO","15","15","33930","34070"
"In post","2023","Commercial","Scottish Government","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Scottish Government","SEO/HEO","30","30","43210","42590"
"In post","2023","Commercial","The National Archives","AA/AO","20","20","23800","23460"
"In post","2023","Commercial","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","The National Archives","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","The National Archives","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","EO","25","25","32400","32300"
"In post","2023","Commercial","UK Export Finance","G6/G7","95","90","63140","61320"
"In post","2023","Commercial","UK Export Finance","SCS level","10","10","118720","117760"
"In post","2023","Commercial","UK Export Finance","SEO/HEO","100","100","43070","43210"
"In post","2023","Commercial","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","G6/G7","15","15","57740","56340"
"In post","2023","Commercial","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","SEO/HEO","15","15","34920","35200"
"In post","2023","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Departments","EO","5","5","[c]","[c]"
"In post","2023","Communications","Attorney General's Departments","G6/G7","20","20","59660","55850"
"In post","2023","Communications","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Departments","SEO/HEO","55","55","38360","40120"
"In post","2023","Communications","Cabinet Office","EO","15","15","28360","28370"
"In post","2023","Communications","Cabinet Office","G6/G7","105","100","59730","56430"
"In post","2023","Communications","Cabinet Office","SCS level","20","20","97240","87400"
"In post","2023","Communications","Cabinet Office","SEO/HEO","130","125","38990","40450"
"In post","2023","Communications","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Chancellor's other departments","G6/G7","10","10","56770","55480"
"In post","2023","Communications","Chancellor's other departments","SEO/HEO","10","10","39730","38500"
"In post","2023","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Charity Commission","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Charity Commission","SEO/HEO","15","15","34350","32060"
"In post","2023","Communications","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","SEO/HEO","15","15","40360","42540"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy","EO","30","25","27460","28180"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy","G6/G7","60","60","60430","59760"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy","SEO/HEO","155","150","39550","39690"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport","G6/G7","25","25","61110","59030"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","25","25","38790","37720"
"In post","2023","Communications","Department for Education","AA/AO","20","20","22880","22020"
"In post","2023","Communications","Department for Education","EO","50","45","28610","29530"
"In post","2023","Communications","Department for Education","G6/G7","65","60","57830","55350"
"In post","2023","Communications","Department for Education","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for Education","SEO/HEO","145","135","38700","37870"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","EO","25","20","26870","26120"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","G6/G7","70","70","54330","54330"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","SEO/HEO","180","165","35740","37300"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","EO","10","10","[c]","[c]"
"In post","2023","Communications","Department for International Trade","G6/G7","30","30","60160","58280"
"In post","2023","Communications","Department for International Trade","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for International Trade","SEO/HEO","55","55","39490","41550"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities","EO","20","20","30000","29030"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities","G6/G7","35","35","58440","55370"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities","SEO/HEO","40","40","39420","40590"
"In post","2023","Communications","Department for Transport","AA/AO","15","15","22500","22500"
"In post","2023","Communications","Department for Transport","EO","50","45","27590","26960"
"In post","2023","Communications","Department for Transport","G6/G7","45","45","58890","56240"
"In post","2023","Communications","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Transport","SEO/HEO","105","100","37150","35760"
"In post","2023","Communications","Department for Work and Pensions","AA/AO","10","10","[c]","[c]"
"In post","2023","Communications","Department for Work and Pensions","EO","40","35","31700","32520"
"In post","2023","Communications","Department for Work and Pensions","G6/G7","50","50","59770","57240"
"In post","2023","Communications","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Work and Pensions","SEO/HEO","150","140","41650","40790"
"In post","2023","Communications","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department of Health and Social Care","EO","25","25","28620","28610"
"In post","2023","Communications","Department of Health and Social Care","G6/G7","75","70","59950","58470"
"In post","2023","Communications","Department of Health and Social Care","SCS level","15","15","88420","79530"
"In post","2023","Communications","Department of Health and Social Care","SEO/HEO","115","110","38860","40880"
"In post","2023","Communications","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Food Standards Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Food Standards Agency","SEO/HEO","40","40","37010","38100"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","EO","10","10","31120","30030"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","G6/G7","40","40","61460","60970"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","SEO/HEO","70","65","42820","42700"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
