"Status","Year","Age","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Education","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","Heterosexual / straight","40","40","20810","20750"
"In post","2023","16-19","Department for Transport","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","Unknown","35","30","20540","19000"
"In post","2023","16-19","Department for Transport","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Heterosexual / straight","35","35","23160","21690"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Heterosexual / straight","60","55","22960","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","Unknown","55","55","22680","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","HM Treasury","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","Unknown","110","100","23630","22400"
"In post","2023","16-19","Home Office","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","Unknown","35","35","19480","17650"
"In post","2023","16-19","Ministry of Defence","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
