"Status","Year","Disability","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","East of England","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","East of England","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","Female","140","135","47640","43650"
"In post","2023","Declared disabled","Finance","London","Male","120","120","48970","43760"
"In post","2023","Declared disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","North East (England)","Female","45","40","39480","37300"
"In post","2023","Declared disabled","Finance","North East (England)","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Finance","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","North West (England)","Female","120","110","33990","34170"
"In post","2023","Declared disabled","Finance","North West (England)","Male","95","90","37400","34970"
"In post","2023","Declared disabled","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","Female","65","55","27660","22520"
"In post","2023","Declared disabled","Finance","Scotland","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","South East (England)","Female","70","65","34580","29730"
"In post","2023","Declared disabled","Finance","South East (England)","Male","50","45","33990","31440"
"In post","2023","Declared disabled","Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","South West (England)","Female","75","70","39040","35200"
"In post","2023","Declared disabled","Finance","South West (England)","Male","55","55","41320","36460"
"In post","2023","Declared disabled","Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Wales","Female","30","25","32270","31360"
"In post","2023","Declared disabled","Finance","Wales","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","West Midlands (England)","Female","40","40","39930","37590"
"In post","2023","Declared disabled","Finance","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","Female","110","95","35870","34170"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","Male","75","70","38560","37020"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","North East (England)","Female","50","45","26370","22150"
"In post","2023","Declared disabled","Grants Management","North East (England)","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","North West (England)","Female","115","100","25430","22150"
"In post","2023","Declared disabled","Grants Management","North West (England)","Male","55","50","23910","22150"
"In post","2023","Declared disabled","Grants Management","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","South East (England)","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","South East (England)","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","South West (England)","Female","30","25","25690","22150"
"In post","2023","Declared disabled","Grants Management","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","West Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","West Midlands (England)","Male","5","5","[c]","[c]"
