"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Office","Attorney General's Departments","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","25","25","27120","27230"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","25","25","64870","64480"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","90","90","53920","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","80","80","35260","35330"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AO","420","390","22590","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","755","725","27090","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6","615","605","67160","66530"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G7","1650","1605","56150","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","HEO","1125","1095","34730","35240"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","455","445","95560","84660"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO","890","875","41090","41870"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","HEO","1660","1660","30710","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","20","20","21750","22150"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","150","140","25990","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","25","25","64010","60300"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","110","105","50100","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","190","180","30550","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","160","150","37850","37310"
"In post","2023","Charity Commission","Charity Commission","AO","20","20","21520","21100"
"In post","2023","Charity Commission","Charity Commission","EO","120","115","25720","25300"
"In post","2023","Charity Commission","Charity Commission","G6","25","25","64840","63870"
"In post","2023","Charity Commission","Charity Commission","G7","55","55","53170","52240"
"In post","2023","Charity Commission","Charity Commission","HEO","170","160","30490","30170"
"In post","2023","Charity Commission","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SEO","105","100","39420","38800"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AO","430","385","22640","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","EO","295","280","28070","26060"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G6","35","35","66780","64470"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G7","70","65","54070","50930"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","HEO","205","195","36020","36930"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","SEO","165","160","44020","42990"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","AO","25","25","23310","23200"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","EO","60","60","28730","28760"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","G6","225","220","77260","76720"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","G7","245","235","58310","57540"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","HEO","160","155","35460","34620"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","SCS level","125","120","109770","102320"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","SEO","65","65","44850","44000"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","AA","10","10","19930","19930"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","AO","125","115","21780","21780"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","EO","90","85","25990","25830"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","G7","10","10","57400","59590"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","HEO","80","80","31640","31270"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","SEO","15","15","38420","37680"
"In post","2023","Crown Commercial Service","Cabinet Office","AO","20","20","21580","21040"
"In post","2023","Crown Commercial Service","Cabinet Office","EO","95","90","26550","26410"
"In post","2023","Crown Commercial Service","Cabinet Office","G6","55","55","65450","65880"
"In post","2023","Crown Commercial Service","Cabinet Office","G7","135","135","53090","52990"
"In post","2023","Crown Commercial Service","Cabinet Office","HEO","185","180","32300","32110"
"In post","2023","Crown Commercial Service","Cabinet Office","SCS level","20","20","88540","76170"
"In post","2023","Crown Commercial Service","Cabinet Office","SEO","250","245","40000","40570"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","AO","775","710","24000","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","EO","405","395","30260","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","G6","215","205","74110","74000"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","G7","525","495","56790","52360"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","HEO","425","405","36200","36330"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","25","25","89240","85200"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","SEO","75","75","45790","43440"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","AA","10","10","20520","21050"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","AO","1580","1460","23180","22870"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","EO","1560","1460","28420","28200"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","G6","245","245","75410","73160"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","G7","2885","2670","57090","56450"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","HEO","620","595","33330","32980"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","SCS level","90","90","95890","88340"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","SEO","525","515","40230","39710"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","AA","35","35","17940","18640"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","AO","65","60","22690","22210"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","EO","235","225","28980","28710"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","G6","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","G7","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","HEO","80","80","34920","34680"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","SEO","20","20","44570","43690"
"In post","2023","Defence Equipment and Support","Ministry of Defence","AO","1670","1600","22590","21680"
"In post","2023","Defence Equipment and Support","Ministry of Defence","EO","745","715","27400","26940"
"In post","2023","Defence Equipment and Support","Ministry of Defence","G6","480","465","70220","70710"
"In post","2023","Defence Equipment and Support","Ministry of Defence","G7","1470","1425","54570","54510"
"In post","2023","Defence Equipment and Support","Ministry of Defence","HEO","2865","2750","33130","32500"
"In post","2023","Defence Equipment and Support","Ministry of Defence","SCS level","115","110","102800","95370"
"In post","2023","Defence Equipment and Support","Ministry of Defence","SEO","3375","3260","42380","42620"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","AA","40","40","19320","19280"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","AO","110","105","21260","19430"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","EO","280","265","24740","24630"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","G6","200","190","71370","70550"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","G7","2030","1940","52220","49260"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","HEO","1130","1100","30070","30650"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","SEO","1170","1130","39620","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","65","65","24980","25900"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","380","370","28360","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6","770","745","68460","66790"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G7","2155","2105","56160","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","HEO","1110","1095","35000","34670"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","345","330","85540","77700"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO","1465","1445","42340","41360"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","AO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","EO","145","145","27990","27780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","G6","210","200","65470","64420"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","G7","615","605","54790","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","HEO","625","615","37020","35620"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","SCS level","110","105","87220","78390"
"In post","2023","Department for Education (excl. agencies)","Department for Education","AO","75","70","23010","22020"
"In post","2023","Department for Education (excl. agencies)","Department for Education","EO","675","650","27550","26940"
"In post","2023","Department for Education (excl. agencies)","Department for Education","G6","880","840","66340","65780"
"In post","2023","Department for Education (excl. agencies)","Department for Education","G7","1970","1900","53740","52150"
"In post","2023","Department for Education (excl. agencies)","Department for Education","HEO","1345","1295","32250","31080"
"In post","2023","Department for Education (excl. agencies)","Department for Education","SCS level","260","245","84530","76510"
"In post","2023","Department for Education (excl. agencies)","Department for Education","SEO","1950","1885","40020","38070"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AO","115","105","23370","22150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","540","515","27210","26070"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6","620","600","62620","63150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G7","1775","1720","52010","50500"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","HEO","1335","1300","32060","30990"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","210","205","83780","78170"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO","1725","1660","38930","37820"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","20","20","[c]","[c]"
"In post","2023","Department for International Trade","Department for International Trade","AO","25","25","27960","28660"
"In post","2023","Department for International Trade","Department for International Trade","EO","300","295","29030","29280"
"In post","2023","Department for International Trade","Department for International Trade","G6","350","345","67810","65980"
"In post","2023","Department for International Trade","Department for International Trade","G7","1010","995","56260","55390"
"In post","2023","Department for International Trade","Department for International Trade","HEO","700","695","35010","35010"
"In post","2023","Department for International Trade","Department for International Trade","SCS level","190","185","88250","78430"
"In post","2023","Department for International Trade","Department for International Trade","SEO","960","950","42070","41550"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AA","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AO","50","45","26210","27870"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","255","245","29040","28850"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6","415","400","65740","64970"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G7","1020","995","54400","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","HEO","675","655","33620","33880"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","175","170","87410","79290"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO","665","655","40530","40710"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","AO","155","135","30410","34390"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","EO","335","325","30350","30920"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","G6","485","470","69890","68020"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","G7","1105","1085","57760","55740"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","HEO","725","710","35630","35760"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","SCS level","245","235","89120","80830"
"In post","2023","Department for Transport (excl. agencies)","Department for Transport","SEO","740","730","43760","43750"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA","250","205","21310","21250"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","25310","21720","22020","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","42845","38310","28810","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6","1030","990","70550","68600"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G7","2800","2690","53730","52170"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","HEO","8575","8065","35170","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","280","275","90980","82120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO","3855","3680","40230","38470"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","45","40","23550","24750"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","365","355","28010","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6","495","475","68360","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G7","1115","1070","54340","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","HEO","615","600","33440","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","260","250","90710","82210"
"In post","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO","775","745","41090","41950"
"In post","2023","Disclosure Scotland","Scottish Government","AA","190","180","23980","23340"
"In post","2023","Disclosure Scotland","Scottish Government","AO","25","25","27530","27740"
"In post","2023","Disclosure Scotland","Scottish Government","EO","60","55","31820","31940"
"In post","2023","Disclosure Scotland","Scottish Government","G6","5","5","[c]","[c]"
"In post","2023","Disclosure Scotland","Scottish Government","G7","15","15","59940","58850"
"In post","2023","Disclosure Scotland","Scottish Government","HEO","35","35","37070","38330"
"In post","2023","Disclosure Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","Scottish Government","SEO","30","30","47240","47860"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","AA","1145","915","19310","19000"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","AO","2835","2480","22590","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","EO","905","855","27290","27190"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","G6","95","90","79750","84590"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","G7","205","195","58430","55440"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","HEO","565","540","33350","31940"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Department for Transport","SEO","470","460","43550","42050"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","AA","10","10","19320","19000"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","AO","1130","1055","25390","24900"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","EO","2620","2430","28740","27450"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","G6","20","20","65720","64750"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","G7","110","110","53970","51780"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","HEO","705","690","33510","32930"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Department for Transport","SEO","295","290","41900","41130"
"In post","2023","Education Scotland","Scottish Government","AA","35","30","23890","24890"
"In post","2023","Education Scotland","Scottish Government","AO","5","5","[c]","[c]"
"In post","2023","Education Scotland","Scottish Government","EO","25","20","30710","29450"
"In post","2023","Education Scotland","Scottish Government","G6","160","155","78190","81110"
"In post","2023","Education Scotland","Scottish Government","G7","70","65","59640","58850"
"In post","2023","Education Scotland","Scottish Government","HEO","25","20","36640","36330"
"In post","2023","Education Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Education Scotland","Scottish Government","SEO","40","40","48130","49860"
"In post","2023","Education and Skills Funding Agency","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2023","Education and Skills Funding Agency","Department for Education","EO","55","55","27480","26940"
"In post","2023","Education and Skills Funding Agency","Department for Education","G6","55","55","65160","63510"
"In post","2023","Education and Skills Funding Agency","Department for Education","G7","170","165","52670","51910"
"In post","2023","Education and Skills Funding Agency","Department for Education","HEO","205","195","31860","31080"
"In post","2023","Education and Skills Funding Agency","Department for Education","SCS level","20","20","85490","78380"
"In post","2023","Education and Skills Funding Agency","Department for Education","SEO","265","255","39620","38070"
"In post","2023","Estyn","Estyn","AO","15","10","24680","25620"
"In post","2023","Estyn","Estyn","EO","25","20","29990","30610"
"In post","2023","Estyn","Estyn","G6","70","65","78150","78500"
"In post","2023","Estyn","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Estyn","HEO","5","5","[c]","[c]"
"In post","2023","Estyn","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Estyn","SEO","5","5","[c]","[c]"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","AO","135","130","27920","26100"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","EO","215","210","30100","29400"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","G6","40","40","76110","74310"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","G7","185","165","61300","60140"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","HEO","225","220","37510","37170"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","SCS level","10","10","112250","107050"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","SEO","240","235","46440","45500"
"In post","2023","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","65","65","24490","23800"
"In post","2023","Food Standards Agency","Food Standards Agency","AO","10","10","[c]","[c]"
"In post","2023","Food Standards Agency","Food Standards Agency","EO","435","410","28330","28090"
"In post","2023","Food Standards Agency","Food Standards Agency","G6","70","65","64750","62430"
"In post","2023","Food Standards Agency","Food Standards Agency","G7","235","230","54490","53110"
"In post","2023","Food Standards Agency","Food Standards Agency","HEO","370","365","32310","31730"
"In post","2023","Food Standards Agency","Food Standards Agency","SCS level","30","25","89040","84460"
"In post","2023","Food Standards Agency","Food Standards Agency","SEO","435","425","39880","38670"
"In post","2023","Food Standards Scotland","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Scotland","Scottish Government","AO","10","10","[c]","[c]"
"In post","2023","Food Standards Scotland","Scottish Government","EO","95","90","30710","31190"
"In post","2023","Food Standards Scotland","Scottish Government","G6","5","5","[c]","[c]"
"In post","2023","Food Standards Scotland","Scottish Government","G7","20","20","57770","58850"
"In post","2023","Food Standards Scotland","Scottish Government","HEO","100","95","35720","34730"
"In post","2023","Food Standards Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Scotland","Scottish Government","SEO","55","50","46010","44890"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AO","350","340","26700","25700"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","640","625","30940","31260"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6","1100","1075","68520","67650"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G7","2140","2095","56700","56100"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","HEO","1970","1945","36840","36620"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","575","570","87030","79230"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO","820","810","44060","44450"
"In post","2023","Forestry and Land Scotland","Scottish Government","AA","25","25","22150","22460"
"In post","2023","Forestry and Land Scotland","Scottish Government","AO","485","470","28220","28140"
"In post","2023","Forestry and Land Scotland","Scottish Government","EO","290","280","33480","33260"
"In post","2023","Forestry and Land Scotland","Scottish Government","G6","10","10","74130","75960"
"In post","2023","Forestry and Land Scotland","Scottish Government","G7","25","25","59850","60270"
"In post","2023","Forestry and Land Scotland","Scottish Government","HEO","165","160","40260","40510"
"In post","2023","Forestry and Land Scotland","Scottish Government","SCS level","5","5","[c]","[c]"
"In post","2023","Forestry and Land Scotland","Scottish Government","SEO","95","90","47900","49370"
"In post","2023","Government Actuary's Department","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","Chancellor's other departments","EO","25","25","30590","30090"
"In post","2023","Government Actuary's Department","Chancellor's other departments","G6","105","95","92440","84840"
"In post","2023","Government Actuary's Department","Chancellor's other departments","G7","15","15","59400","58970"
"In post","2023","Government Actuary's Department","Chancellor's other departments","HEO","30","30","37120","36780"
"In post","2023","Government Actuary's Department","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Government Actuary's Department","Chancellor's other departments","SEO","25","25","49330","48870"
"In post","2023","Government Commercial Organisation","Cabinet Office","G6","380","380","77440","75000"
"In post","2023","Government Commercial Organisation","Cabinet Office","G7","810","800","63300","65500"
