"Status","Year","Function_of_post","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Central Civil Service Fast Stream","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Tower Hamlets","London","10","10","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Westminster","London","65","65","31130","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset","Outside London","135","130","34820","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk CC","Outside London","345","325","36460","32080"
"In post","2023","Analysis","Charity Commission","Sefton","Outside London","10","10","31600","30170"
"In post","2023","Analysis","Charity Commission","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Cardiff and Vale of Glamorgan","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","City of Edinburgh","Outside London","10","10","47640","34370"
"In post","2023","Analysis","Competition and Markets Authority","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Tower Hamlets","London","125","120","64110","58050"
"In post","2023","Analysis","Defence Electronics and Components Agency","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Central Hampshire","Outside London","530","510","45550","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Wiltshire","Outside London","510","495","43400","39890"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester South West","Outside London","20","20","35200","31120"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Westminster","London","180","180","43090","36230"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Manchester","Outside London","10","10","44990","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Westminster","London","110","105","51870","56760"
"In post","2023","Analysis","Department for Education (excl. agencies)","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Bristol, City of","Outside London","50","50","42410","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Coventry","Outside London","20","20","42700","41510"
"In post","2023","Analysis","Department for Education (excl. agencies)","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Darlington","Outside London","45","40","44630","43490"
"In post","2023","Analysis","Department for Education (excl. agencies)","Leeds","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Manchester","Outside London","65","60","40120","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Nottingham","Outside London","20","15","46720","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Sheffield","Outside London","140","130","46090","43690"
"In post","2023","Analysis","Department for Education (excl. agencies)","Tyneside","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Westminster","London","220","210","51070","47410"
"In post","2023","Analysis","Department for International Trade","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Darlington","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Westminster","London","245","240","49200","55370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Darlington","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Westminster","London","210","205","49480","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Wolverhampton","Outside London","20","20","36460","31290"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Birmingham","Outside London","15","15","38540","39430"
"In post","2023","Analysis","Department for Transport (excl. agencies)","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Leeds","Outside London","20","20","38570","39430"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Westminster","London","320","310","51160","55500"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Glasgow City","Outside London","10","10","35010","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Gwynedd","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Isle of Anglesey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Leeds","Outside London","65","60","41790","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Manchester","Outside London","45","45","36240","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Sheffield","Outside London","125","115","48390","44730"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Tyneside","Outside London","100","95","43190","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Westminster","London","220","210","50320","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Leeds","Outside London","55","55","45810","50830"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Liverpool","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Westminster","London","80","75","51800","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Bristol, City of","Outside London","10","10","34790","32950"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Leeds","Outside London","10","10","25650","22500"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Sandwell","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Coventry","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Sheffield","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Westminster","London","5","5","[c]","[c]"
"In post","2023","Analysis","Estyn","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Powys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Westminster","London","10","10","39220","33780"
"In post","2023","Analysis","Food Standards Agency","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","South Lanarkshire","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","London","45","40","53970","55850"
"In post","2023","Analysis","Government Actuary's Department","Camden and City of London","London","170","160","72380","67430"
"In post","2023","Analysis","Government Actuary's Department","City of Edinburgh","Outside London","15","10","70680","70000"
"In post","2023","Analysis","Government Legal Department","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Westminster","London","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
