"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","Heterosexual / straight","85","80","28650","28120"
"In post","2023","Declared disabled","Black","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","Heterosexual / straight","75","70","31110","31280"
"In post","2023","Declared disabled","Black","East of England","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","London","Heterosexual / straight","1215","1155","36200","32520"
"In post","2023","Declared disabled","Black","London","LGBO","55","55","41080","37190"
"In post","2023","Declared disabled","Black","London","Undeclared","90","85","35800","32520"
"In post","2023","Declared disabled","Black","London","Unknown","70","65","33860","32520"
"In post","2023","Declared disabled","Black","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","Heterosexual / straight","80","75","32220","28120"
"In post","2023","Declared disabled","Black","North West (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","Undeclared","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","Heterosexual / straight","80","75","32770","31280"
"In post","2023","Declared disabled","Black","South East (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","Heterosexual / straight","50","50","32080","30930"
"In post","2023","Declared disabled","Black","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","Heterosexual / straight","190","175","29890","28120"
"In post","2023","Declared disabled","Black","West Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","Heterosexual / straight","70","65","29120","27400"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","Heterosexual / straight","45","40","27630","26840"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","Heterosexual / straight","65","65","33860","30810"
"In post","2023","Declared disabled","Mixed","East of England","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","London","Heterosexual / straight","375","360","41820","36180"
"In post","2023","Declared disabled","Mixed","London","LGBO","90","85","43590","39100"
"In post","2023","Declared disabled","Mixed","London","Undeclared","50","50","36490","32540"
"In post","2023","Declared disabled","Mixed","London","Unknown","30","30","36220","30130"
"In post","2023","Declared disabled","Mixed","North East (England)","Heterosexual / straight","35","30","30250","27890"
"In post","2023","Declared disabled","Mixed","North East (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","Heterosexual / straight","130","120","30700","28120"
"In post","2023","Declared disabled","Mixed","North West (England)","LGBO","30","30","30660","28120"
"In post","2023","Declared disabled","Mixed","North West (England)","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","Heterosexual / straight","30","30","36530","30360"
"In post","2023","Declared disabled","Mixed","Scotland","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","Heterosexual / straight","110","100","33890","30650"
"In post","2023","Declared disabled","Mixed","South East (England)","LGBO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South West (England)","Heterosexual / straight","95","90","36490","32920"
"In post","2023","Declared disabled","Mixed","South West (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South West (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Wales","Heterosexual / straight","55","50","29050","28120"
"In post","2023","Declared disabled","Mixed","Wales","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Wales","Undeclared","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","West Midlands (England)","Heterosexual / straight","70","65","28730","28120"
"In post","2023","Declared disabled","Mixed","West Midlands (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","West Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","West Midlands (England)","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Yorkshire and The Humber","Heterosexual / straight","90","80","33050","28120"
"In post","2023","Declared disabled","Mixed","Yorkshire and The Humber","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Yorkshire and The Humber","Undeclared","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Yorkshire and The Humber","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East of England","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","London","Heterosexual / straight","125","120","41700","36620"
"In post","2023","Declared disabled","Other ethnicity","London","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","London","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North East (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North West (England)","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North West (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Scotland","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South East (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South East (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South West (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","West Midlands (England)","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","West Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Yorkshire and The Humber","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Yorkshire and The Humber","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","East Midlands (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","East Midlands (England)","Undeclared","90","80","30880","28120"
"In post","2023","Declared disabled","Undeclared","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","East of England","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","East of England","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","East of England","Undeclared","65","60","30930","31280"
"In post","2023","Declared disabled","Undeclared","East of England","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","London","Heterosexual / straight","120","115","39450","33800"
"In post","2023","Declared disabled","Undeclared","London","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","London","Undeclared","260","250","41290","34460"
"In post","2023","Declared disabled","Undeclared","London","Unknown","55","50","38240","32520"
"In post","2023","Declared disabled","Undeclared","North East (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","North East (England)","Undeclared","90","80","31330","28120"
"In post","2023","Declared disabled","Undeclared","North East (England)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","North West (England)","Heterosexual / straight","40","35","29050","28120"
"In post","2023","Declared disabled","Undeclared","North West (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","North West (England)","Undeclared","195","175","30940","28120"
"In post","2023","Declared disabled","Undeclared","North West (England)","Unknown","35","30","29050","28120"
"In post","2023","Declared disabled","Undeclared","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Northern Ireland","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Overseas","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Scotland","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Scotland","Undeclared","80","70","32630","28120"
"In post","2023","Declared disabled","Undeclared","Scotland","Unknown","35","30","33790","37060"
"In post","2023","Declared disabled","Undeclared","South East (England)","Heterosexual / straight","45","40","33070","29730"
"In post","2023","Declared disabled","Undeclared","South East (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","South East (England)","Undeclared","145","130","32860","31270"
"In post","2023","Declared disabled","Undeclared","South East (England)","Unknown","55","50","42400","49260"
"In post","2023","Declared disabled","Undeclared","South West (England)","Heterosexual / straight","35","35","33150","30360"
"In post","2023","Declared disabled","Undeclared","South West (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","South West (England)","Undeclared","200","185","35890","32700"
"In post","2023","Declared disabled","Undeclared","South West (England)","Unknown","95","90","42740","39890"
"In post","2023","Declared disabled","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Wales","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Wales","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Wales","Undeclared","90","85","31690","28470"
"In post","2023","Declared disabled","Undeclared","Wales","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","West Midlands (England)","Heterosexual / straight","40","35","29780","28120"
"In post","2023","Declared disabled","Undeclared","West Midlands (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","West Midlands (England)","Undeclared","95","85","30040","28120"
"In post","2023","Declared disabled","Undeclared","West Midlands (England)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Yorkshire and The Humber","Heterosexual / straight","35","30","29020","28120"
"In post","2023","Declared disabled","Undeclared","Yorkshire and The Humber","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Yorkshire and The Humber","Undeclared","115","105","32240","28120"
"In post","2023","Declared disabled","Undeclared","Yorkshire and The Humber","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East Midlands (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East Midlands (England)","Unknown","35","30","30030","28120"
"In post","2023","Declared disabled","Unknown","East of England","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East of England","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East of England","Unknown","30","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","Heterosexual / straight","55","55","39900","36450"
"In post","2023","Declared disabled","Unknown","London","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","Unknown","190","185","42170","36180"
"In post","2023","Declared disabled","Unknown","North East (England)","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","North East (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","North East (England)","Unknown","50","45","27640","23520"
"In post","2023","Declared disabled","Unknown","North West (England)","Heterosexual / straight","45","40","31560","29390"
"In post","2023","Declared disabled","Unknown","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","North West (England)","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","North West (England)","Unknown","120","110","28740","27120"
"In post","2023","Declared disabled","Unknown","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
