"Status","Year","Age","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","16-19","Northumberland, and Tyne and Wear","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - East and North East","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - East and North East","London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - East and North East","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - South","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - South","London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - South","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - West and North West","London","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outer London - West and North West","London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Shropshire and Staffordshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Shropshire and Staffordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Shropshire and Staffordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","South Yorkshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","South Yorkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","South Yorkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Southern Scotland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Southern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Southern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Surrey, East and West Sussex","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Surrey, East and West Sussex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Surrey, East and West Sussex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Tees Valley and Durham","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Tees Valley and Durham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Tees Valley and Durham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Central Scotland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Central Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Central Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Midlands","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Midlands","Outside London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Midlands","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Wales and The Valleys","Outside London","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Wales and The Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Wales and The Valleys","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Wales and The Valleys","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Yorkshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Yorkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","West Yorkshire","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","95","[c]","27370","27570"
"Leaver CS","2023","20-29","Bedfordshire and Hertfordshire","Outside London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Bedfordshire and Hertfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Bedfordshire and Hertfordshire","Outside London","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","195","[c]","28010","27680"
