"Status","Year","Function_of_post","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","G6","10","10","65220","63900"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","G7","50","50","57360","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","HEO","40","40","40390","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North West (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Midlands (England)","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","EO","10","10","31810","30560"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","G6","25","25","68410","67010"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","G7","65","60","56480","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","HEO","35","35","38050","37870"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","SEO","75","70","46670","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","North East (England)","G7","15","15","52140","51360"
"In post","2023","Analysis","Department for Education (excl. agencies)","North East (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","North East (England)","SEO","20","20","43240","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","North West (England)","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","North West (England)","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","North West (England)","HEO","20","20","33700","33950"
"In post","2023","Analysis","Department for Education (excl. agencies)","North West (England)","SEO","25","25","42730","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","South West (England)","G7","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","South West (England)","HEO","10","10","33940","33950"
"In post","2023","Analysis","Department for Education (excl. agencies)","South West (England)","SEO","25","25","42480","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands (England)","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","G6","10","10","63310","62540"
"In post","2023","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","G7","40","40","53030","51910"
"In post","2023","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","HEO","30","25","33280","33950"
