"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","65","65","38370","37350"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","110","110","38790","37210"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Female","30","30","58640","57230"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Male","45","45","58560","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","35","35","39150","39040"
"In post","2023","Analysis","Department for Education","EO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","G6/G7","Female","100","90","57140","55020"
"In post","2023","Analysis","Department for Education","G6/G7","Male","100","95","57120","55020"
"In post","2023","Analysis","Department for Education","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","SEO/HEO","Female","220","205","40970","43250"
"In post","2023","Analysis","Department for Education","SEO/HEO","Male","140","140","40710","43250"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","EO","Female","65","60","25970","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","EO","Male","60","60","26040","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Female","35","30","52580","49400"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Male","70","65","53560","49400"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","145","135","33370","30820"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","150","145","34010","31270"
"In post","2023","Analysis","Department for International Trade","EO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6/G7","Female","40","35","60340","57960"
"In post","2023","Analysis","Department for International Trade","G6/G7","Male","85","85","58800","55740"
"In post","2023","Analysis","Department for International Trade","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO/HEO","Female","45","45","37660","35010"
"In post","2023","Analysis","Department for International Trade","SEO/HEO","Male","50","50","37680","35010"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","Female","55","50","58270","55100"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","Male","80","80","58470","55150"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","Female","45","45","36040","34310"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","Male","55","55","36450","34310"
"In post","2023","Analysis","Department for Transport","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","EO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Transport","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","G6/G7","Female","80","75","60010","56340"
"In post","2023","Analysis","Department for Transport","G6/G7","Male","105","105","58900","56290"
"In post","2023","Analysis","Department for Transport","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","SEO/HEO","Female","65","65","39120","39730"
"In post","2023","Analysis","Department for Transport","SEO/HEO","Male","95","95","37430","35920"
"In post","2023","Analysis","Department for Work and Pensions","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","EO","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","EO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","G6/G7","Female","115","105","59930","58370"
"In post","2023","Analysis","Department for Work and Pensions","G6/G7","Male","115","110","60770","58370"
"In post","2023","Analysis","Department for Work and Pensions","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SEO/HEO","Female","175","160","38420","38470"
"In post","2023","Analysis","Department for Work and Pensions","SEO/HEO","Male","205","200","38190","38470"
"In post","2023","Analysis","Department of Health and Social Care","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","EO","Female","30","30","27820","27840"
"In post","2023","Analysis","Department of Health and Social Care","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","G6/G7","Female","50","45","58400","54690"
"In post","2023","Analysis","Department of Health and Social Care","G6/G7","Male","50","50","58280","54690"
"In post","2023","Analysis","Department of Health and Social Care","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","SEO/HEO","Female","35","35","37360","38120"
"In post","2023","Analysis","Department of Health and Social Care","SEO/HEO","Male","45","45","36680","34550"
"In post","2023","Analysis","Estyn","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","EO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","EO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","G6/G7","Female","130","120","63300","63990"
"In post","2023","Analysis","HM Revenue and Customs","G6/G7","Male","165","160","64660","64800"
"In post","2023","Analysis","HM Revenue and Customs","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","SEO/HEO","Female","195","185","40490","41500"
"In post","2023","Analysis","HM Revenue and Customs","SEO/HEO","Male","275","270","40430","39790"
"In post","2023","Analysis","HM Treasury","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Treasury","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","HM Treasury","EO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","HM Treasury","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury","G6/G7","Female","40","35","58210","54810"
"In post","2023","Analysis","HM Treasury","G6/G7","Male","60","60","58750","54440"
"In post","2023","Analysis","HM Treasury","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","HM Treasury","SEO/HEO","Female","30","30","[c]","[c]"
"In post","2023","Analysis","HM Treasury","SEO/HEO","Male","55","55","36050","35590"
"In post","2023","Analysis","Home Office","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Home Office","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","EO","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Home Office","EO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Home Office","G6/G7","Female","75","70","62960","61540"
"In post","2023","Analysis","Home Office","G6/G7","Male","95","95","63010","61540"
"In post","2023","Analysis","Home Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Home Office","SEO/HEO","Female","160","155","39980","39270"
"In post","2023","Analysis","Home Office","SEO/HEO","Male","155","150","39020","37840"
"In post","2023","Analysis","Home Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","AA/AO","Male","30","30","23390","23340"
"In post","2023","Analysis","Ministry of Defence","EO","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","EO","Male","50","50","28000","27080"
"In post","2023","Analysis","Ministry of Defence","G6/G7","Female","150","135","55040","49260"
"In post","2023","Analysis","Ministry of Defence","G6/G7","Male","445","425","55040","49260"
"In post","2023","Analysis","Ministry of Defence","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","SEO/HEO","Female","235","225","36460","38030"
"In post","2023","Analysis","Ministry of Defence","SEO/HEO","Male","420","420","37140","39890"
"In post","2023","Analysis","Ministry of Justice","EO","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","EO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","G6/G7","Female","140","130","60650","60570"
"In post","2023","Analysis","Ministry of Justice","G6/G7","Male","125","120","61060","61530"
"In post","2023","Analysis","Ministry of Justice","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","SEO/HEO","Female","215","210","38580","37680"
"In post","2023","Analysis","Ministry of Justice","SEO/HEO","Male","220","215","38870","37680"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Female","55","50","36960","36330"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Male","55","55","37680","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","G6/G7","Male","60","60","60750","60000"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SEO/HEO","Male","35","35","36320","35200"
"In post","2023","Analysis","Office of Rail and Road","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Scottish Government","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Scottish Government","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","EO","Female","95","85","25680","24840"
"In post","2023","Analysis","UK Statistics Authority","EO","Male","70","65","25580","24840"
"In post","2023","Analysis","UK Statistics Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","G6/G7","Female","230","220","54040","51460"
"In post","2023","Analysis","UK Statistics Authority","G6/G7","Male","185","180","55800","52490"
"In post","2023","Analysis","UK Statistics Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","SCS level","Male","25","25","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","SEO/HEO","Female","720","685","35630","35290"
"In post","2023","Analysis","UK Statistics Authority","SEO/HEO","Male","525","515","35380","34560"
"In post","2023","Analysis","UK Statistics Authority","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","EO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Welsh Government","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Government","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Government","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Government","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","EO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Cabinet Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office","EO","Female","30","30","26620","26410"
"In post","2023","Commercial","Cabinet Office","EO","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Cabinet Office","G6/G7","Female","650","635","65610","65500"
"In post","2023","Commercial","Cabinet Office","G6/G7","Male","680","675","67950","66270"
"In post","2023","Commercial","Cabinet Office","SCS level","Female","95","95","112470","103500"
"In post","2023","Commercial","Cabinet Office","SCS level","Male","140","140","126380","123850"
"In post","2023","Commercial","Cabinet Office","SEO/HEO","Female","290","285","36120","36990"
"In post","2023","Commercial","Cabinet Office","SEO/HEO","Male","230","225","36560","38050"
"In post","2023","Commercial","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chancellor's other departments","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Chancellor's other departments","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","EO","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","Female","50","50","51360","47960"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","Male","55","50","52750","48540"
