"Status","Year","Disability","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East of England","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East of England","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","London","Female","435","425","44300","35650"
"In post","2023","Declared disabled","Cabinet Office","London","Male","295","295","50620","43470"
"In post","2023","Declared disabled","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","North East (England)","Female","50","45","31560","26300"
"In post","2023","Declared disabled","Cabinet Office","North East (England)","Male","30","30","33040","26300"
"In post","2023","Declared disabled","Cabinet Office","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","North West (England)","Female","75","75","41810","39860"
"In post","2023","Declared disabled","Cabinet Office","North West (England)","Male","50","50","52810","51020"
"In post","2023","Declared disabled","Cabinet Office","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Scotland","Female","35","35","36470","33020"
"In post","2023","Declared disabled","Cabinet Office","Scotland","Male","35","35","42210","32990"
"In post","2023","Declared disabled","Cabinet Office","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","South East (England)","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","South East (England)","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","South West (England)","Female","30","30","48490","38420"
"In post","2023","Declared disabled","Cabinet Office","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Wales","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Wales","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","West Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","West Midlands (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Yorkshire and The Humber","Female","100","95","38130","34180"
"In post","2023","Declared disabled","Cabinet Office","Yorkshire and The Humber","Male","70","70","41200","36510"
"In post","2023","Declared disabled","Cabinet Office","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","North West (England)","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Female","320","310","48740","44010"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Male","240","240","49790","50140"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Female","65","60","39080","35190"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Male","30","30","38990","37470"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Female","35","30","33660","32110"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","Female","125","115","36690","37420"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","Male","120","120","35270","33430"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","Female","135","120","33040","29320"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","Male","100","95","37640","32710"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Female","60","55","34470","32110"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Male","30","30","38760","37750"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","London","Female","90","90","49810","52760"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","London","Male","60","60","47580","44480"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","East Midlands (England)","Female","30","30","40190","37740"
"In post","2023","Declared disabled","Department for Education","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","East of England","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","London","Female","150","140","52410","55020"
"In post","2023","Declared disabled","Department for Education","London","Male","80","75","50890","51720"
"In post","2023","Declared disabled","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","North East (England)","Female","60","60","37300","32710"
"In post","2023","Declared disabled","Department for Education","North East (England)","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","North West (England)","Female","95","90","41660","37660"
"In post","2023","Declared disabled","Department for Education","North West (England)","Male","55","55","41890","37590"
"In post","2023","Declared disabled","Department for Education","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","South West (England)","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","West Midlands (England)","Female","70","65","39400","37590"
"In post","2023","Declared disabled","Department for Education","West Midlands (England)","Male","40","40","42890","37590"
"In post","2023","Declared disabled","Department for Education","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Yorkshire and The Humber","Female","105","95","41600","37590"
"In post","2023","Declared disabled","Department for Education","Yorkshire and The Humber","Male","75","70","40830","37590"
"In post","2023","Declared disabled","Department for Education","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","East Midlands (England)","Female","30","30","35460","30670"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","East of England","Female","55","55","33990","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","East of England","Male","40","40","33530","30350"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","London","Female","185","175","45640","40260"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","London","Male","140","135","44880","40320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","North East (England)","Female","80","75","30240","25920"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","North East (England)","Male","45","40","30700","26690"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","North West (England)","Female","210","185","28940","25920"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","North West (England)","Male","110","105","31150","25920"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Scotland","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Scotland","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","South East (England)","Female","125","115","35150","32250"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","South East (England)","Male","75","70","35280","30430"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","South West (England)","Female","170","160","33980","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","South West (England)","Male","120","120","37570","35620"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Wales","Female","35","35","30090","26850"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Wales","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","West Midlands (England)","Female","70","65","32810","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","West Midlands (England)","Male","35","35","33270","26850"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Female","125","115","34560","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Male","80","75","33440","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","Female","115","115","47880","42170"
"In post","2023","Declared disabled","Department for International Trade","London","Male","100","100","48920","41550"
"In post","2023","Declared disabled","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","North East (England)","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","North East (England)","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Northern Ireland","Male","[c]","[c]","[c]","[c]"
