"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","Female","10","10","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","Male","15","15","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Female","70","70","40700","35330"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Male","85","85","42850","39000"
"In post","2023","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","Female","180","160","44270","43250"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","Male","175","170","46570","43700"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","Female","125","115","41570","38950"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","Male","135","130","41850","38470"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Female","75","70","41660","39520"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Male","40","40","49760","46780"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","Female","135","125","43920","40620"
"In post","2023","Commercial","East of England","East Anglia","Male","90","85","48590","40690"
"In post","2023","Commercial","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","Female","125","120","47850","44100"
"In post","2023","Commercial","London","Inner London - East","Male","100","100","49420","46000"
"In post","2023","Commercial","London","Inner London - West","Female","660","650","57040","55740"
"In post","2023","Commercial","London","Inner London - West","Male","770","765","65180","57990"
"In post","2023","Commercial","London","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","Female","50","50","51850","43650"
"In post","2023","Commercial","London","Outer London - South","Male","40","40","51080","46270"
"In post","2023","Commercial","London","Outer London - West and North West","Female","25","25","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","Male","35","30","39660","34940"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","Female","35","35","43700","37700"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","Male","40","35","50330","48700"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","Female","40","35","44630","39140"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","Male","30","30","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","Female","20","20","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cumbria","Female","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cumbria","Male","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester","Female","180","170","47870","42070"
"In post","2023","Commercial","North West (England)","Greater Manchester","Male","190","185","48600","41780"
"In post","2023","Commercial","North West (England)","Lancashire","Female","30","25","[c]","[c]"
"In post","2023","Commercial","North West (England)","Lancashire","Male","25","25","[c]","[c]"
"In post","2023","Commercial","North West (England)","Merseyside","Female","185","180","42080","39860"
"In post","2023","Commercial","North West (England)","Merseyside","Male","120","120","45700","40450"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","Eastern Scotland","Female","50","45","37420","34000"
"In post","2023","Commercial","Scotland","Eastern Scotland","Male","55","55","40490","37740"
"In post","2023","Commercial","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","Female","40","40","50530","46000"
"In post","2023","Commercial","Scotland","Southern Scotland","Male","30","30","[c]","[c]"
"In post","2023","Commercial","Scotland","West Central Scotland","Female","105","105","39280","35490"
"In post","2023","Commercial","Scotland","West Central Scotland","Male","100","95","44350","37300"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","105","100","41540","38160"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","80","80","45680","42620"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","Female","180","170","40140","38510"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","Male","125","125","45640","41000"
"In post","2023","Commercial","South East (England)","Kent","Female","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","Female","45","40","34320","31620"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","Male","20","20","[c]","[c]"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon","Female","115","105","41580","39650"
"In post","2023","Commercial","South West (England)","Devon","Male","85","85","47540","47960"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","Female","35","35","40200","42620"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","Male","15","15","[c]","[c]"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","835","785","41630","39890"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","755","745","45820","42620"
"In post","2023","Commercial","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","East Wales","Female","90","85","38850","35810"
"In post","2023","Commercial","Wales","East Wales","Male","90","90","41360","37680"
"In post","2023","Commercial","Wales","West Wales and The Valleys","Female","120","105","34330","31660"
"In post","2023","Commercial","Wales","West Wales and The Valleys","Male","105","100","35440","31660"
"In post","2023","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","15","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","10","5","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Shropshire and Staffordshire","Female","90","90","37530","34300"
"In post","2023","Commercial","West Midlands (England)","Shropshire and Staffordshire","Male","90","90","39490","33830"
"In post","2023","Commercial","West Midlands (England)","West Midlands","Female","90","85","51130","43300"
"In post","2023","Commercial","West Midlands (England)","West Midlands","Male","85","85","59850","52140"
"In post","2023","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","North Yorkshire","Female","70","65","45820","49400"
"In post","2023","Commercial","Yorkshire and The Humber","North Yorkshire","Male","40","35","51350","41200"
"In post","2023","Commercial","Yorkshire and The Humber","South Yorkshire","Female","75","70","47410","41480"
"In post","2023","Commercial","Yorkshire and The Humber","South Yorkshire","Male","60","60","49750","43060"
"In post","2023","Commercial","Yorkshire and The Humber","West Yorkshire","Female","150","145","48010","38120"
"In post","2023","Commercial","Yorkshire and The Humber","West Yorkshire","Male","125","125","50890","51300"
"In post","2023","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","Female","65","60","41010","37710"
"In post","2023","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","Male","35","35","41820","40670"
"In post","2023","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Lincolnshire","Female","5","5","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2023","Communications","East of England","Bedfordshire and Hertfordshire","Female","15","15","[c]","[c]"
"In post","2023","Communications","East of England","Bedfordshire and Hertfordshire","Male","10","10","[c]","[c]"
"In post","2023","Communications","East of England","East Anglia","Female","25","25","[c]","[c]"
"In post","2023","Communications","East of England","East Anglia","Male","15","15","[c]","[c]"
"In post","2023","Communications","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Inner London - East","Female","145","140","47240","42230"
"In post","2023","Communications","London","Inner London - East","Male","70","70","51300","42920"
"In post","2023","Communications","London","Inner London - West","Female","1140","1105","49160","45200"
"In post","2023","Communications","London","Inner London - West","Male","780","775","50240","45280"
"In post","2023","Communications","London","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Outer London - South","Female","15","15","[c]","[c]"
"In post","2023","Communications","London","Outer London - South","Male","15","15","[c]","[c]"
"In post","2023","Communications","London","Outer London - West and North West","Female","20","20","[c]","[c]"
"In post","2023","Communications","London","Outer London - West and North West","Male","15","15","[c]","[c]"
"In post","2023","Communications","North East (England)","Northumberland, and Tyne and Wear","Female","55","50","37990","37300"
"In post","2023","Communications","North East (England)","Northumberland, and Tyne and Wear","Male","35","35","41000","41640"
"In post","2023","Communications","North East (England)","Tees Valley and Durham","Female","35","30","33780","31200"
"In post","2023","Communications","North East (England)","Tees Valley and Durham","Male","15","15","[c]","[c]"
"In post","2023","Communications","North West (England)","Cheshire","Female","15","15","[c]","[c]"
"In post","2023","Communications","North West (England)","Cheshire","Male","5","5","[c]","[c]"
"In post","2023","Communications","North West (England)","Cumbria","Female","20","20","[c]","[c]"
"In post","2023","Communications","North West (England)","Cumbria","Male","5","5","[c]","[c]"
"In post","2023","Communications","North West (England)","Greater Manchester","Female","70","65","38870","34660"
"In post","2023","Communications","North West (England)","Greater Manchester","Male","40","40","40160","36400"
"In post","2023","Communications","North West (England)","Lancashire","Female","30","25","38650","35850"
"In post","2023","Communications","North West (England)","Lancashire","Male","10","10","[c]","[c]"
"In post","2023","Communications","North West (England)","Merseyside","Female","50","45","40580","38800"
"In post","2023","Communications","North West (England)","Merseyside","Male","35","35","42070","40790"
"In post","2023","Communications","Northern Ireland","Northern Ireland","Female","20","20","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2023","Communications","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Eastern Scotland","Female","30","30","[c]","[c]"
"In post","2023","Communications","Scotland","Eastern Scotland","Male","20","15","[c]","[c]"
"In post","2023","Communications","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","West Central Scotland","Female","25","25","[c]","[c]"
"In post","2023","Communications","Scotland","West Central Scotland","Male","20","20","[c]","[c]"
"In post","2023","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","55","50","34870","33830"
"In post","2023","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","50","50","36510","33990"
"In post","2023","Communications","South East (England)","Hampshire and Isle of Wight","Female","95","90","35550","33990"
"In post","2023","Communications","South East (England)","Hampshire and Isle of Wight","Male","70","65","35630","33830"
"In post","2023","Communications","South East (England)","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Surrey, East and West Sussex","Female","15","10","[c]","[c]"
"In post","2023","Communications","South East (England)","Surrey, East and West Sussex","Male","5","5","[c]","[c]"
"In post","2023","Communications","South West (England)","Cornwall and Isles of Scilly","Female","5","5","[c]","[c]"
"In post","2023","Communications","South West (England)","Cornwall and Isles of Scilly","Male","5","5","[c]","[c]"
"In post","2023","Communications","South West (England)","Devon","Female","30","30","34560","33830"
"In post","2023","Communications","South West (England)","Devon","Male","20","20","[c]","[c]"
"In post","2023","Communications","South West (England)","Dorset and Somerset","Female","25","25","[c]","[c]"
"In post","2023","Communications","South West (England)","Dorset and Somerset","Male","20","20","[c]","[c]"
"In post","2023","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","115","105","39520","37720"
"In post","2023","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","85","85","40180","37730"
"In post","2023","Communications","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","East Wales","Female","120","110","39250","37760"
"In post","2023","Communications","Wales","East Wales","Male","65","65","41190","37690"
"In post","2023","Communications","Wales","West Wales and The Valleys","Female","50","45","33070","27450"
"In post","2023","Communications","Wales","West Wales and The Valleys","Male","35","35","33800","31350"
"In post","2023","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","10","10","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","10","10","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Shropshire and Staffordshire","Female","40","40","37520","34140"
"In post","2023","Communications","West Midlands (England)","Shropshire and Staffordshire","Male","15","15","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","West Midlands","Female","45","40","43120","40990"
"In post","2023","Communications","West Midlands (England)","West Midlands","Male","25","25","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","North Yorkshire","Female","10","10","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","North Yorkshire","Male","10","10","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","South Yorkshire","Female","55","45","42020","39730"
"In post","2023","Communications","Yorkshire and The Humber","South Yorkshire","Male","35","35","39840","38470"
"In post","2023","Communications","Yorkshire and The Humber","West Yorkshire","Female","50","45","44650","43700"
"In post","2023","Communications","Yorkshire and The Humber","West Yorkshire","Male","25","25","[c]","[c]"
"In post","2023","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","Female","415","375","33640","34170"
"In post","2023","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","Male","440","420","36330","34700"
"In post","2023","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","65","55","28780","28120"
"In post","2023","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","30","25","[c]","[c]"
"In post","2023","Counter Fraud","East Midlands (England)","Lincolnshire","Female","25","20","[c]","[c]"
"In post","2023","Counter Fraud","East Midlands (England)","Lincolnshire","Male","20","15","[c]","[c]"
"In post","2023","Counter Fraud","East of England","Bedfordshire and Hertfordshire","Female","65","55","29530","30700"
"In post","2023","Counter Fraud","East of England","Bedfordshire and Hertfordshire","Male","45","45","31200","31280"
"In post","2023","Counter Fraud","East of England","East Anglia","Female","245","215","29460","28130"
"In post","2023","Counter Fraud","East of England","East Anglia","Male","235","220","30630","28130"
"In post","2023","Counter Fraud","East of England","Essex","Female","100","90","31650","31280"
"In post","2023","Counter Fraud","East of England","Essex","Male","50","50","33990","31330"
"In post","2023","Counter Fraud","London","Inner London - East","Female","785","740","38260","34700"
"In post","2023","Counter Fraud","London","Inner London - East","Male","855","835","41200","39450"
"In post","2023","Counter Fraud","London","Inner London - West","Female","190","175","43870","39150"
"In post","2023","Counter Fraud","London","Inner London - West","Male","190","190","49920","43000"
"In post","2023","Counter Fraud","London","Outer London - East and North East","Female","290","255","30170","32520"
"In post","2023","Counter Fraud","London","Outer London - East and North East","Male","180","175","30870","32520"
"In post","2023","Counter Fraud","London","Outer London - South","Female","455","425","38470","34370"
"In post","2023","Counter Fraud","London","Outer London - South","Male","505","490","41600","39450"
"In post","2023","Counter Fraud","London","Outer London - West and North West","Female","95","85","33170","32520"
"In post","2023","Counter Fraud","London","Outer London - West and North West","Male","65","65","34310","32520"
"In post","2023","Counter Fraud","North East (England)","Northumberland, and Tyne and Wear","Female","580","535","32740","28130"
"In post","2023","Counter Fraud","North East (England)","Northumberland, and Tyne and Wear","Male","460","450","34420","29730"
"In post","2023","Counter Fraud","North East (England)","Tees Valley and Durham","Female","150","130","26580","28120"
"In post","2023","Counter Fraud","North East (England)","Tees Valley and Durham","Male","70","65","27190","28120"
"In post","2023","Counter Fraud","North West (England)","Cheshire","Female","20","15","[c]","[c]"
"In post","2023","Counter Fraud","North West (England)","Cheshire","Male","5","5","[c]","[c]"
"In post","2023","Counter Fraud","North West (England)","Cumbria","Female","15","10","[c]","[c]"
"In post","2023","Counter Fraud","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","North West (England)","Greater Manchester","Female","645","585","34480","29730"
"In post","2023","Counter Fraud","North West (England)","Greater Manchester","Male","745","720","36400","34700"
"In post","2023","Counter Fraud","North West (England)","Lancashire","Female","130","115","29680","28120"
"In post","2023","Counter Fraud","North West (England)","Lancashire","Male","100","95","31060","28120"
"In post","2023","Counter Fraud","North West (England)","Merseyside","Female","510","460","32900","28130"
"In post","2023","Counter Fraud","North West (England)","Merseyside","Male","395","385","35800","34170"
"In post","2023","Counter Fraud","Northern Ireland","Northern Ireland","Female","210","195","34230","34400"
"In post","2023","Counter Fraud","Northern Ireland","Northern Ireland","Male","240","235","35050","34700"
"In post","2023","Counter Fraud","Scotland","Eastern Scotland","Female","200","180","31770","28130"
"In post","2023","Counter Fraud","Scotland","Eastern Scotland","Male","195","185","33320","29730"
"In post","2023","Counter Fraud","Scotland","Highlands and Islands","Female","10","5","[c]","[c]"
"In post","2023","Counter Fraud","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Scotland","North Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Scotland","North Eastern Scotland","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Scotland","Southern Scotland","Female","195","175","26400","28120"
"In post","2023","Counter Fraud","Scotland","Southern Scotland","Male","105","105","27790","25320"
"In post","2023","Counter Fraud","Scotland","West Central Scotland","Female","455","415","31950","28130"
"In post","2023","Counter Fraud","Scotland","West Central Scotland","Male","420","395","33530","29730"
"In post","2023","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","120","110","31160","31280"
"In post","2023","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","70","65","34180","32520"
"In post","2023","Counter Fraud","South East (England)","Hampshire and Isle of Wight","Female","185","155","30380","28120"
"In post","2023","Counter Fraud","South East (England)","Hampshire and Isle of Wight","Male","115","105","34770","28130"
"In post","2023","Counter Fraud","South East (England)","Kent","Female","305","280","29760","29370"
"In post","2023","Counter Fraud","South East (England)","Kent","Male","205","200","31510","29730"
